	SP
120m_AUC_EGF=0.001+I=0.1_1	1.0
120m_AUC_EGF=0.001+I=0.1_10	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_11	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_12	1.0
120m_AUC_EGF=0.001+I=0.1_13	0.3076923076923077
120m_AUC_EGF=0.001+I=0.1_14	0.46153846153846156
120m_AUC_EGF=0.001+I=0.1_15	1.0
120m_AUC_EGF=0.001+I=0.1_16	1.0
120m_AUC_EGF=0.001+I=0.1_17	1.0
120m_AUC_EGF=0.001+I=0.1_18	1.0
120m_AUC_EGF=0.001+I=0.1_19	0.9230769230769231
120m_AUC_EGF=0.001+I=0.1_2	1.0
120m_AUC_EGF=0.001+I=0.1_20	0.9230769230769231
120m_AUC_EGF=0.001+I=0.1_21	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_22	0.38461538461538464
120m_AUC_EGF=0.001+I=0.1_23	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_24	1.0
120m_AUC_EGF=0.001+I=0.1_25	1.0
120m_AUC_EGF=0.001+I=0.1_26	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_27	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_28	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_29	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_3	0.07692307692307693
120m_AUC_EGF=0.001+I=0.1_30	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_31	0.38461538461538464
120m_AUC_EGF=0.001+I=0.1_32	0.3076923076923077
120m_AUC_EGF=0.001+I=0.1_33	0.38461538461538464
120m_AUC_EGF=0.001+I=0.1_34	0.3076923076923077
120m_AUC_EGF=0.001+I=0.1_35	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_36	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_37	0.5384615384615384
120m_AUC_EGF=0.001+I=0.1_38	0.38461538461538464
120m_AUC_EGF=0.001+I=0.1_39	1.0
120m_AUC_EGF=0.001+I=0.1_4	0.38461538461538464
120m_AUC_EGF=0.001+I=0.1_40	1.0
120m_AUC_EGF=0.001+I=0.1_41	1.0
120m_AUC_EGF=0.001+I=0.1_42	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_43	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_44	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_45	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_46	1.0
120m_AUC_EGF=0.001+I=0.1_47	1.0
120m_AUC_EGF=0.001+I=0.1_48	0.9230769230769231
120m_AUC_EGF=0.001+I=0.1_49	0.9230769230769231
120m_AUC_EGF=0.001+I=0.1_5	1.0
120m_AUC_EGF=0.001+I=0.1_50	0.9230769230769231
120m_AUC_EGF=0.001+I=0.1_51	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_52	1.0
120m_AUC_EGF=0.001+I=0.1_53	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_54	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_55	1.0
120m_AUC_EGF=0.001+I=0.1_56	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_57	0.6153846153846154
120m_AUC_EGF=0.001+I=0.1_58	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_59	1.0
120m_AUC_EGF=0.001+I=0.1_6	1.0
120m_AUC_EGF=0.001+I=0.1_60	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_61	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_62	0.7692307692307693
120m_AUC_EGF=0.001+I=0.1_63	0.5384615384615384
120m_AUC_EGF=0.001+I=0.1_64	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_65	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_66	0.8461538461538461
120m_AUC_EGF=0.001+I=0.1_7	1.0
120m_AUC_EGF=0.001+I=0.1_8	0.6923076923076923
120m_AUC_EGF=0.001+I=0.1_9	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_1	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_10	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_11	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_12	0.7692307692307693
120m_AUC_EGF=0.001+I=1000_13	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_14	0.46153846153846156
120m_AUC_EGF=0.001+I=1000_15	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_16	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_17	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_18	0.7692307692307693
120m_AUC_EGF=0.001+I=1000_19	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_2	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_20	1.0
120m_AUC_EGF=0.001+I=1000_21	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_22	1.0
120m_AUC_EGF=0.001+I=1000_23	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_24	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_25	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_26	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_27	0.7692307692307693
120m_AUC_EGF=0.001+I=1000_28	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_29	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_3	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_30	0.46153846153846156
120m_AUC_EGF=0.001+I=1000_31	1.0
120m_AUC_EGF=0.001+I=1000_32	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_33	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_34	0.7692307692307693
120m_AUC_EGF=0.001+I=1000_35	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_36	0.7692307692307693
120m_AUC_EGF=0.001+I=1000_37	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_38	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_39	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_4	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_40	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_41	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_42	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_43	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_44	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_45	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_46	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_47	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_48	0.6153846153846154
120m_AUC_EGF=0.001+I=1000_49	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_5	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_50	1.0
120m_AUC_EGF=0.001+I=1000_51	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_52	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_53	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_54	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_55	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_56	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_57	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_58	0.8461538461538461
120m_AUC_EGF=0.001+I=1000_59	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_6	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_60	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_61	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_62	0.6153846153846154
120m_AUC_EGF=0.001+I=1000_63	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_64	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_65	0.6923076923076923
120m_AUC_EGF=0.001+I=1000_66	1.0
120m_AUC_EGF=0.001+I=1000_7	0.9230769230769231
120m_AUC_EGF=0.001+I=1000_8	0.5384615384615384
120m_AUC_EGF=0.001+I=1000_9	0.6923076923076923
120m_AUC_EGF=0.001+I=100_1	0.9230769230769231
120m_AUC_EGF=0.001+I=100_10	0.9230769230769231
120m_AUC_EGF=0.001+I=100_11	0.9230769230769231
120m_AUC_EGF=0.001+I=100_12	0.7692307692307693
120m_AUC_EGF=0.001+I=100_13	0.9230769230769231
120m_AUC_EGF=0.001+I=100_14	0.46153846153846156
120m_AUC_EGF=0.001+I=100_15	0.9230769230769231
120m_AUC_EGF=0.001+I=100_16	0.9230769230769231
120m_AUC_EGF=0.001+I=100_17	0.9230769230769231
120m_AUC_EGF=0.001+I=100_18	0.7692307692307693
120m_AUC_EGF=0.001+I=100_19	0.9230769230769231
120m_AUC_EGF=0.001+I=100_2	0.9230769230769231
120m_AUC_EGF=0.001+I=100_20	1.0
120m_AUC_EGF=0.001+I=100_21	0.9230769230769231
120m_AUC_EGF=0.001+I=100_22	1.0
120m_AUC_EGF=0.001+I=100_23	0.9230769230769231
