,count,mean,std,min,25%,50%,75%,max
120m_AUC_EGF=0.01+I=100,10000.0,0.5666822843822843,0.02836485743231453,0.45104895104895104,0.5477855477855478,0.5664335664335665,0.5862470862470862,0.6771561771561772
30m_SS_EGF=0.01+I=100,10000.0,0.5347920745920747,0.030207504803873582,0.43006993006993005,0.513986013986014,0.5337995337995338,0.5547785547785548,0.6713286713286714
30m_AUC_EGF=0.1+I=0.1,10000.0,0.5629131701631701,0.03173942455075485,0.4428904428904429,0.541958041958042,0.5629370629370629,0.583916083916084,0.6876456876456877
120m_AUC_EGF=1+I=1,10000.0,0.5620278554778555,0.027824341508257598,0.45454545454545453,0.5431235431235432,0.5617715617715617,0.5804195804195804,0.6678321678321678
30m_AUC_EGF=10+I=1000,10000.0,0.5576237762237761,0.02868419161287067,0.4533799533799534,0.5384615384615384,0.5571095571095571,0.5769230769230769,0.6608391608391608
30m_AUC_EGF=0.001+I=10,10000.0,0.5686490675990676,0.030709239560520653,0.4557109557109557,0.548951048951049,0.5699300699300699,0.5897435897435898,0.6655011655011654
30m_SS_EGF=0.1+I=100,10000.0,0.5345360139860139,0.02740668736009618,0.40442890442890445,0.5163170163170163,0.534965034965035,0.5536130536130536,0.6375291375291375
60m_SS_EGF=0.001+I=10,10000.0,0.543545104895105,0.028120026216122408,0.4428904428904429,0.5244755244755245,0.5431235431235432,0.5629370629370629,0.6561771561771562
120m_AUC_EGF=0.01+I=0.1,10000.0,0.564436013986014,0.02963024615019554,0.44638694638694637,0.5454545454545454,0.5652680652680653,0.585081585081585,0.6666666666666666
15m_AUC_EGF=0.1+I=10,10000.0,0.566990909090909,0.029100392780796343,0.44755244755244755,0.5477855477855478,0.5675990675990676,0.5862470862470862,0.6783216783216783
30m_SS_EGF=0.1+I=1000,10000.0,0.5313334498834499,0.027096975188848564,0.4254079254079254,0.5128205128205128,0.5314685314685315,0.548951048951049,0.6468531468531469
15m_AUC_EGF=10+I=1000,10000.0,0.5642106060606061,0.030876329836455725,0.4557109557109557,0.5442890442890443,0.5652680652680653,0.585081585081585,0.6678321678321678
60m_AUC_EGF=0.01+I=0.1,10000.0,0.5702834498834499,0.029168657111041683,0.458041958041958,0.5512820512820513,0.5699300699300699,0.5897435897435898,0.6713286713286714
60m_AUC_EGF=0.01+I=1000,10000.0,0.5620620046620046,0.02852371160522229,0.4603729603729604,0.5431235431235432,0.5617715617715617,0.5815850815850816,0.6853146853146853
15m_SS_EGF=0.001+I=1000,10000.0,0.5627101398601397,0.03273789025880828,0.4405594405594406,0.5407925407925408,0.5629370629370629,0.585081585081585,0.682983682983683
30m_AUC_EGF=0.1+I=1,10000.0,0.569148951048951,0.028794042239300804,0.458041958041958,0.5501165501165501,0.5687645687645687,0.5885780885780886,0.6818181818181818
60m_AUC_EGF=10+I=100,10000.0,0.5554841491841492,0.02874054741258383,0.4405594405594406,0.5361305361305362,0.5559440559440559,0.5745920745920746,0.6678321678321678
30m_SS_EGF=0.001+I=10,10000.0,0.5447066433566434,0.0322715505776494,0.4149184149184149,0.5233100233100233,0.5454545454545454,0.5664335664335665,0.6491841491841492
60m_AUC_EGF=0.001+I=1,10000.0,0.5787317016317017,0.030251163374936985,0.4557109557109557,0.5582750582750583,0.5792540792540792,0.5990675990675991,0.675990675990676
60m_AUC_EGF=0.1+I=1,10000.0,0.5608130536130536,0.02816765476511699,0.46153846153846156,0.541958041958042,0.5617715617715617,0.5792540792540792,0.6713286713286714
15m_AUC_EGF=0.001+I=1000,10000.0,0.5721826340326339,0.03171592775172082,0.45104895104895104,0.5512820512820513,0.5734265734265734,0.5944055944055944,0.675990675990676
15m_AUC_EGF=0.01+I=1000,10000.0,0.5728967365967367,0.03171058518489429,0.4557109557109557,0.5512820512820513,0.5734265734265734,0.5944055944055944,0.682983682983683
120m_SS_EGF=0.001+I=10,10000.0,0.5584854312354313,0.028645299788918267,0.4557109557109557,0.5396270396270396,0.5582750582750583,0.578088578088578,0.6783216783216783
60m_SS_EGF=1+I=1,10000.0,0.5542516317016317,0.028669542794348635,0.44405594405594406,0.534965034965035,0.5547785547785548,0.5734265734265734,0.6538461538461539
15m_AUC_EGF=1+I=1,10000.0,0.5641906759906761,0.03019702663641522,0.4417249417249417,0.5442890442890443,0.5641025641025641,0.585081585081585,0.675990675990676
15m_AUC_EGF=1+I=10,10000.0,0.5640472027972028,0.028986229473107535,0.4592074592074592,0.5442890442890443,0.5641025641025641,0.583916083916084,0.6783216783216783
60m_AUC_EGF=1+I=0.1,10000.0,0.5641982517482518,0.027511769923706575,0.458041958041958,0.5466200466200466,0.5641025641025641,0.5827505827505828,0.6713286713286714
60m_AUC_EGF=1+I=1,10000.0,0.562951048951049,0.027968444827908227,0.4568764568764569,0.5442890442890443,0.5629370629370629,0.5815850815850816,0.6713286713286714
30m_SS_EGF=1+I=0.1,10000.0,0.5318460372960373,0.026293703300868936,0.43356643356643354,0.513986013986014,0.5326340326340326,0.548951048951049,0.6433566433566433
120m_AUC_EGF=10+I=100,10000.0,0.5585581585081586,0.027842814627223926,0.4522144522144522,0.5396270396270396,0.5582750582750583,0.5769230769230769,0.662004662004662
30m_AUC_EGF=0.01+I=1,10000.0,0.5770300699300699,0.030737695881342494,0.4627039627039627,0.5559440559440559,0.5769230769230769,0.5979020979020979,0.6853146853146853
15m_SS_EGF=1+I=1,10000.0,0.5338785547785547,0.02974428696391203,0.42424242424242425,0.513986013986014,0.5337995337995338,0.5536130536130536,0.655011655011655
120m_AUC_EGF=0.001+I=0.1,10000.0,0.5413548951048951,0.0324613033270744,0.4184149184149184,0.5209790209790209,0.541958041958042,0.5629370629370629,0.6480186480186481
30m_AUC_EGF=10+I=1,10000.0,0.568881351981352,0.028491169288094132,0.4405594405594406,0.5501165501165501,0.5687645687645687,0.5885780885780886,0.6748251748251748
60m_AUC_EGF=10+I=0.1,10000.0,0.5580475524475524,0.027798753959216476,0.4417249417249417,0.5396270396270396,0.5582750582750583,0.5769230769230769,0.668997668997669
30m_SS_EGF=1+I=10,10000.0,0.5214397435897435,0.02971267853007024,0.3962703962703963,0.5023310023310024,0.5221445221445221,0.541958041958042,0.627039627039627
60m_SS_EGF=0.001+I=1,10000.0,0.5881137529137529,0.032590056664782506,0.46736596736596736,0.5652680652680653,0.5874125874125874,0.6107226107226107,0.6981351981351981
60m_SS_EGF=0.1+I=100,10000.0,0.5502636363636364,0.0277239743564449,0.44988344988344986,0.5314685314685315,0.5501165501165501,0.5687645687645687,0.6748251748251748
60m_AUC_EGF=10+I=1000,10000.0,0.5604842657342657,0.02879720195455948,0.4522144522144522,0.5407925407925408,0.5617715617715617,0.5792540792540792,0.6631701631701632
30m_AUC_EGF=0.01+I=1000,10000.0,0.568148951048951,0.029236720000527718,0.45454545454545453,0.548951048951049,0.5687645687645687,0.5874125874125874,0.6806526806526807
30m_SS_EGF=10+I=100,10000.0,0.5117639860139861,0.029807298998843157,0.3927738927738928,0.49184149184149184,0.5128205128205128,0.5314685314685315,0.627039627039627
30m_SS_EGF=0.001+I=100,10000.0,0.5447066433566434,0.0322715505776494,0.4149184149184149,0.5233100233100233,0.5454545454545454,0.5664335664335665,0.6491841491841492
60m_SS_EGF=10+I=0.1,10000.0,0.5513381118881119,0.02748977785800582,0.44755244755244755,0.5326340326340326,0.5512820512820513,0.5699300699300699,0.6468531468531469
60m_SS_EGF=0.1+I=0.1,10000.0,0.5481899766899767,0.026934038360809556,0.4522144522144522,0.5303030303030303,0.5477855477855478,0.5664335664335665,0.6398601398601399
30m_AUC_EGF=0.001+I=0.1,10000.0,0.542108041958042,0.032639979579820004,0.4219114219114219,0.5209790209790209,0.5431235431235432,0.5641025641025641,0.6515151515151515
30m_AUC_EGF=1+I=10,10000.0,0.5619750582750583,0.02800348475157427,0.44638694638694637,0.5431235431235432,0.5629370629370629,0.5804195804195804,0.675990675990676
60m_AUC_EGF=0.001+I=0.1,10000.0,0.539101515151515,0.032062415246674913,0.42424242424242425,0.5174825174825175,0.5384615384615384,0.5606060606060606,0.6678321678321678
60m_SS_EGF=10+I=1,10000.0,0.5507136363636363,0.028791362634652814,0.4382284382284382,0.5314685314685315,0.5512820512820513,0.5699300699300699,0.6538461538461539
15m_AUC_EGF=0.01+I=0.1,10000.0,0.5593741258741258,0.030375645365196227,0.44405594405594406,0.5396270396270396,0.5606060606060606,0.5804195804195804,0.668997668997669
