,count,mean,std,min,25%,50%,75%,max
60m_AUC_I=50,10000.0,0.5779369047619047,0.051416561205704266,0.39285714285714285,0.5416666666666666,0.5773809523809523,0.6130952380952381,0.7678571428571429
120m_SS_I=1,10000.0,0.5509416666666667,0.05196842264648957,0.3392857142857143,0.5178571428571429,0.5535714285714286,0.5892857142857143,0.7619047619047619
60m_AUC_I=800,10000.0,0.5722208333333334,0.05351950813907063,0.35714285714285715,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.7738095238095238
300m_SS_I=20,10000.0,0.5679517857142857,0.05532018884530168,0.3392857142857143,0.5297619047619048,0.5654761904761905,0.6071428571428571,0.7678571428571429
300m_AUC_I=200,10000.0,0.5704755952380953,0.04870246771587754,0.38095238095238093,0.5357142857142857,0.5714285714285714,0.6011904761904762,0.75
240m_AUC_I=20,10000.0,0.5689196428571429,0.049820839472226715,0.375,0.5357142857142857,0.5714285714285714,0.6011904761904762,0.7440476190476191
120m_AUC_I=20,10000.0,0.5689196428571429,0.049820839472226715,0.375,0.5357142857142857,0.5714285714285714,0.6011904761904762,0.7440476190476191
300m_SS_I=100,10000.0,0.5692595238095238,0.05211236518339859,0.34523809523809523,0.5357142857142857,0.5654761904761905,0.6071428571428571,0.7619047619047619
120m_SS_I=100,10000.0,0.5757791666666667,0.0485876738869255,0.4166666666666667,0.5416666666666666,0.5773809523809523,0.6071428571428571,0.7440476190476191
60m_SS_I=100,10000.0,0.5740803571428571,0.04973961837579174,0.375,0.5416666666666666,0.5773809523809523,0.6071428571428571,0.7678571428571429
300m_SS_I=400,10000.0,0.5622261904761905,0.05392209647513504,0.3333333333333333,0.5238095238095238,0.5595238095238095,0.6011904761904762,0.7678571428571429
60m_AUC_I=200,10000.0,0.5755023809523809,0.05108605160846828,0.38095238095238093,0.5416666666666666,0.5773809523809523,0.6130952380952381,0.7738095238095238
180m_SS_I=50,10000.0,0.570220238095238,0.04801011168976176,0.39285714285714285,0.5357142857142857,0.5714285714285714,0.6011904761904762,0.7321428571428571
120m_AUC_I=200,10000.0,0.5755023809523809,0.05108605160846828,0.38095238095238093,0.5416666666666666,0.5773809523809523,0.6130952380952381,0.7738095238095238
120m_AUC_I=400,10000.0,0.5774970238095237,0.05123922438118185,0.3869047619047619,0.5416666666666666,0.5773809523809523,0.6130952380952381,0.7797619047619048
180m_SS_I=20,10000.0,0.5643904761904761,0.049774620574406674,0.375,0.5297619047619048,0.5654761904761905,0.6011904761904762,0.7321428571428571
60m_SS_I=800,10000.0,0.5722208333333334,0.05351950813907063,0.35714285714285715,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.7738095238095238
300m_AUC_I=1,10000.0,0.5686107142857143,0.0533732221598418,0.36904761904761907,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.7916666666666666
