,count,mean,std,min,25%,50%,75%,max
16h_SS_TNF=0.02,10000.0,0.5846706790123457,0.04259509714296435,0.4351851851851852,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.75
8h_AUC_TNF=2,10000.0,0.5784817901234568,0.04046909800043349,0.4382716049382716,0.5524691358024691,0.5771604938271605,0.6049382716049383,0.7160493827160493
1h_SS_TNF=2,10000.0,0.5526135802469136,0.03882797454243967,0.39814814814814814,0.5277777777777778,0.5524691358024691,0.5802469135802469,0.6944444444444444
4h_SS_TNF=2,10000.0,0.5712077160493827,0.03919613881124146,0.43209876543209874,0.5432098765432098,0.5709876543209876,0.5987654320987654,0.7253086419753086
2h_SS_TNF=0.02,10000.0,0.5042182098765432,0.03636859715772903,0.3734567901234568,0.4783950617283951,0.5030864197530864,0.5277777777777778,0.6327160493827161
1h_SS_TNF=0.02,10000.0,0.502187037037037,0.03616357047972322,0.36419753086419754,0.4783950617283951,0.5030864197530864,0.5254629629629629,0.6296296296296297
8h_SS_TNF=20,10000.0,0.5555854938271606,0.0396367318906757,0.41975308641975306,0.5277777777777778,0.5555555555555556,0.5833333333333334,0.6944444444444444
2h_AUC_TNF=2,10000.0,0.5854725308641975,0.03978685136574653,0.44753086419753085,0.558641975308642,0.5864197530864198,0.6111111111111112,0.7098765432098766
8h_SS_TNF=200,10000.0,0.5636743827160495,0.04074417735805589,0.42592592592592593,0.5370370370370371,0.5648148148148148,0.5925925925925926,0.7222222222222222
1h_SS_TNF=0.2,10000.0,0.545666049382716,0.03738330581761256,0.4104938271604938,0.5208333333333334,0.5462962962962963,0.5709876543209876,0.6790123456790124
2h_SS_TNF=0.2,10000.0,0.5393006172839506,0.03637620528403763,0.41358024691358025,0.5154320987654321,0.5401234567901234,0.5648148148148148,0.6635802469135802
4h_AUC_TNF=20,10000.0,0.5811166666666666,0.03850770402745932,0.44753086419753085,0.5555555555555556,0.5833333333333334,0.6080246913580247,0.7253086419753086
2h_AUC_TNF=200,10000.0,0.585482098765432,0.03889817020575921,0.44135802469135804,0.558641975308642,0.5864197530864198,0.6111111111111112,0.7222222222222222
8h_AUC_TNF=0.02,10000.0,0.5631719135802469,0.04141491873342071,0.4012345679012346,0.5339506172839507,0.5648148148148148,0.5925925925925926,0.7129629629629629
4h_SS_TNF=20,10000.0,0.5741503086419752,0.03813410630257462,0.4537037037037037,0.5493827160493827,0.5740740740740741,0.5987654320987654,0.7006172839506173
16h_AUC_TNF=200,10000.0,0.5739049382716049,0.04124298229614906,0.4351851851851852,0.5462962962962963,0.5740740740740741,0.6018518518518519,0.7222222222222222
4h_SS_TNF=0.2,10000.0,0.5364500000000001,0.03936003146274135,0.39814814814814814,0.5092592592592593,0.5370370370370371,0.5617283950617284,0.6790123456790124
16h_SS_TNF=2,10000.0,0.585975,0.04220266044901781,0.43209876543209874,0.558641975308642,0.5864197530864198,0.6141975308641975,0.7345679012345679
2h_SS_TNF=20,10000.0,0.5154882716049383,0.03832049397168998,0.36728395061728397,0.4876543209876543,0.5154320987654321,0.5432098765432098,0.6419753086419753
16h_AUC_TNF=0.02,10000.0,0.5672265432098765,0.04105016054567652,0.4166666666666667,0.5401234567901234,0.5679012345679012,0.595679012345679,0.7283950617283951
1h_AUC_TNF=0.2,10000.0,0.5577728395061728,0.03858875626322504,0.4074074074074074,0.5308641975308642,0.558641975308642,0.5833333333333334,0.6851851851851852
16h_SS_TNF=200,10000.0,0.5825364197530863,0.04018543231236011,0.41358024691358025,0.5555555555555556,0.5833333333333334,0.6111111111111112,0.7253086419753086
1h_AUC_TNF=2,10000.0,0.582162962962963,0.03940253399429258,0.42901234567901236,0.5555555555555556,0.5833333333333334,0.6080246913580247,0.7376543209876543
4h_SS_TNF=200,10000.0,0.587825,0.03903678018714757,0.4382716049382716,0.5617283950617284,0.5895061728395061,0.6141975308641975,0.7222222222222222
8h_SS_TNF=0.2,10000.0,0.5484583333333334,0.04210770385577999,0.3734567901234568,0.5185185185185185,0.5493827160493827,0.5771604938271605,0.7098765432098766
1h_AUC_TNF=20,10000.0,0.5885891975308641,0.0374468266009971,0.44753086419753085,0.5617283950617284,0.5895061728395061,0.6141975308641975,0.7407407407407407
2h_SS_TNF=200,10000.0,0.5491456790123457,0.041299549483026714,0.4012345679012346,0.5216049382716049,0.5493827160493827,0.5771604938271605,0.7067901234567902
8h_SS_TNF=2,10000.0,0.5628246913580247,0.03800913066196272,0.4166666666666667,0.5370370370370371,0.5648148148148148,0.5895061728395061,0.6975308641975309
2h_AUC_TNF=0.2,10000.0,0.5610922839506173,0.03868483756411905,0.4074074074074074,0.5339506172839507,0.5617283950617284,0.5864197530864198,0.6820987654320988
1h_SS_TNF=200,10000.0,0.5671604938271605,0.040498604419081104,0.41975308641975306,0.5401234567901234,0.5679012345679012,0.595679012345679,0.7191358024691358
8h_AUC_TNF=20,10000.0,0.5716444444444445,0.039042504486843044,0.4382716049382716,0.5462962962962963,0.5709876543209876,0.5987654320987654,0.7098765432098766
2h_AUC_TNF=20,10000.0,0.5880243827160494,0.038298377920168165,0.4351851851851852,0.5617283950617284,0.5895061728395061,0.6141975308641975,0.7129629629629629
8h_AUC_TNF=200,10000.0,0.5827438271604938,0.037839197720299346,0.44135802469135804,0.5555555555555556,0.5833333333333334,0.6080246913580247,0.7376543209876543
16h_AUC_TNF=0.2,10000.0,0.5798737654320987,0.039671673587672936,0.4104938271604938,0.5524691358024691,0.5802469135802469,0.6080246913580247,0.7283950617283951
1h_SS_TNF=20,10000.0,0.5626691358024692,0.03927268578507113,0.4228395061728395,0.5370370370370371,0.5617283950617284,0.5895061728395061,0.7037037037037037
16h_AUC_TNF=2,10000.0,0.575398148148148,0.0403666731641346,0.41358024691358025,0.5493827160493827,0.5740740740740741,0.6018518518518519,0.7160493827160493
1h_AUC_TNF=0.02,10000.0,0.5606527777777778,0.04160867272367339,0.39814814814814814,0.5308641975308642,0.5617283950617284,0.5895061728395061,0.7129629629629629
4h_AUC_TNF=0.2,10000.0,0.5722833333333334,0.04112838461035407,0.39814814814814814,0.5455246913580247,0.5740740740740741,0.5987654320987654,0.7314814814814815
1h_AUC_TNF=200,10000.0,0.5857604938271604,0.03768482916692086,0.45987654320987653,0.5617283950617284,0.5864197530864198,0.6111111111111112,0.7253086419753086
4h_SS_TNF=0.02,10000.0,0.5424283950617284,0.039095245991794765,0.3950617283950617,0.5154320987654321,0.5432098765432098,0.5679012345679012,0.6944444444444444
