,count,mean,std,min,25%,50%,75%,max
60m_SS_EGF=1+I=10,10000.0,0.5770132867132867,0.09651265344094055,0.1993006993006993,0.5058275058275058,0.5804195804195804,0.6608391608391608,0.7925407925407926
120m_SS_EGF=0.1+I=0.1,10000.0,0.563444289044289,0.09211468134179401,0.175990675990676,0.49184149184149184,0.5734265734265734,0.6410256410256411,0.7995337995337995
15m_AUC_EGF=1+I=10,10000.0,0.5875505827505828,0.11431804410421471,0.1853146853146853,0.493006993006993,0.6002331002331003,0.6841491841491841,0.8344988344988346
60m_AUC_EGF=1+I=1,10000.0,0.5826771561771562,0.1046564713037199,0.1864801864801865,0.5023310023310024,0.5920745920745921,0.675990675990676,0.7995337995337995
30m_SS_EGF=0.001+I=100,10000.0,0.5522892773892774,0.07882392825567007,0.21445221445221446,0.4976689976689977,0.5466200466200466,0.6188811188811189,0.7715617715617715
60m_SS_EGF=10+I=0.1,10000.0,0.572225641025641,0.0978239514249344,0.1888111888111888,0.49533799533799533,0.5804195804195804,0.6573426573426573,0.7948717948717948
60m_SS_EGF=10+I=10,10000.0,0.574879020979021,0.09343785338430584,0.20279720279720279,0.5058275058275058,0.578088578088578,0.6538461538461539,0.7902097902097902
30m_SS_EGF=0.001+I=10,10000.0,0.5512004662004663,0.07829542049697404,0.20396270396270397,0.4976689976689977,0.5466200466200466,0.6177156177156177,0.7564102564102564
60m_AUC_EGF=0.01+I=1000,10000.0,0.5769061771561772,0.10096812796497974,0.19696969696969696,0.4988344988344988,0.5815850815850816,0.6678321678321678,0.8006993006993007
30m_SS_EGF=1+I=10,10000.0,0.5699480186480187,0.08702050863033384,0.17715617715617715,0.5034965034965035,0.583916083916084,0.6375291375291375,0.7773892773892774
15m_AUC_EGF=0.1+I=1,10000.0,0.5862786713286714,0.1117157795863295,0.20279720279720279,0.49417249417249415,0.6013986013986014,0.6818181818181818,0.8251748251748252
120m_AUC_EGF=10+I=1,10000.0,0.57764662004662,0.10068086837924506,0.18997668997668998,0.4976689976689977,0.585081585081585,0.6678321678321678,0.7983682983682984
15m_AUC_EGF=0.001+I=1,10000.0,0.5585741258741259,0.09123648198492128,0.19347319347319347,0.48951048951048953,0.5606060606060606,0.6328671328671329,0.7762237762237763
15m_AUC_EGF=10+I=10,10000.0,0.585361655011655,0.11449903659326549,0.17132867132867133,0.49184149184149184,0.6002331002331003,0.6818181818181818,0.8041958041958042
15m_SS_EGF=0.1+I=10,10000.0,0.5570351981351982,0.07895182499603914,0.20512820512820512,0.5023310023310024,0.5501165501165501,0.6247086247086248,0.7575757575757576
15m_AUC_EGF=0.001+I=0.1,10000.0,0.5509728438228438,0.07855706299317684,0.18764568764568765,0.49067599067599066,0.5547785547785548,0.6153846153846154,0.7599067599067599
