,count,mean,std,min,25%,50%,75%,max
15m_SS_EGF=1+I=10,10000.0,0.7298132867132866,0.026899826003793228,0.6328671328671329,0.7132867132867133,0.7284382284382285,0.7447552447552448,0.8321678321678322
15m_AUC_EGF=0.01+I=1000,10000.0,0.7856325174825174,0.028829500037093867,0.6841491841491841,0.7668997668997669,0.7867132867132867,0.8041958041958042,0.8752913752913752
15m_AUC_EGF=1+I=1000,10000.0,0.7996925407925408,0.024677677794326783,0.7074592074592074,0.7832167832167832,0.8006993006993007,0.817016317016317,0.8694638694638694
30m_SS_EGF=10+I=1000,10000.0,0.6722066433566434,0.024336854390821984,0.5874125874125874,0.6561771561771562,0.6713286713286714,0.6864801864801865,0.7703962703962703
30m_AUC_EGF=0.01+I=10,10000.0,0.7715582750582751,0.02408626240959747,0.6573426573426573,0.7564102564102564,0.7727272727272727,0.7867132867132867,0.8508158508158508
30m_AUC_EGF=0.01+I=100,10000.0,0.7717581585081585,0.02384509898179182,0.6736596736596736,0.7575757575757576,0.7727272727272727,0.7867132867132867,0.8531468531468531
15m_SS_EGF=0.001+I=1,10000.0,0.7942311188811189,0.025314827682522932,0.6993006993006993,0.7773892773892774,0.7948717948717948,0.8123543123543123,0.8682983682983683
60m_AUC_EGF=0.01+I=0.1,10000.0,0.783329020979021,0.02282724371524593,0.7016317016317016,0.7680652680652681,0.7832167832167832,0.7983682983682984,0.8636363636363636
30m_AUC_EGF=0.1+I=1,10000.0,0.8026779720279721,0.022813458860504097,0.7156177156177156,0.7867132867132867,0.8041958041958042,0.8193473193473193,0.8706293706293706
120m_AUC_EGF=0.1+I=0.1,10000.0,0.7353327505827507,0.027721095003971623,0.6410256410256411,0.7156177156177156,0.7365967365967366,0.7564102564102564,0.8286713286713286
15m_AUC_EGF=0.001+I=0.1,10000.0,0.7062191142191143,0.021275419338004635,0.6328671328671329,0.6923076923076923,0.7062937062937062,0.7202797202797203,0.7762237762237763
15m_AUC_EGF=0.01+I=1,10000.0,0.7877068764568765,0.02643554456881455,0.6923076923076923,0.7703962703962703,0.7878787878787878,0.8041958041958042,0.8787878787878788
60m_SS_EGF=0.1+I=10,10000.0,0.7649548951048951,0.02737981603093045,0.6526806526806527,0.747086247086247,0.7645687645687645,0.7832167832167832,0.865967365967366
