,KORKUT_2015A
1,0.6397725734398267
2,0.5986191958846623
3,0.6239339379991877
4,0.6220387166644105
5,0.6572356843102748
6,0.6285366183836469
7,0.6302964667659402
8,0.6717205902260728
9,0.6252876675240286
10,0.6457289833491269
11,0.64451062677677
12,0.6239339379991877
13,0.6305672126709083
14,0.6223094625693787
15,0.6543928523081088
16,0.5919859212129417
17,0.6569649384053066
18,0.6201434953296331
19,0.6615676187897658
20,0.6374712332475971
21,0.6424800324895086
22,0.6217679707594422
23,0.622850954379315
24,0.608501421416001
25,0.6147285772302694
26,0.656017327737918
27,0.591038310545553
28,0.6621091105997022
29,0.6500609178286179
30,0.6526330039258156
31,0.6001082983619873
32,0.6558819547854339
33,0.5988899417896304
34,0.6554758359279816
35,0.6366589955326926
36,0.6464058481115473
37,0.631514823338297
38,0.641667794774604
39,0.6447813726817382
40,0.6573710572627589
41,0.6307025856233924
42,0.6174360362799513
43,0.6332746717205903
44,0.6267767700013537
45,0.6596723974549885
46,0.6174360362799513
47,0.6163530526600786
48,0.6147285772302694
49,0.5888723433058075
50,0.6461351022065791
51,0.6275890077162583
52,0.6407201841072154
53,0.5991606876945986
54,0.6451874915391904
55,0.6151346960877216
56,0.6106673886557465
57,0.6307025856233924
58,0.611344253418167
59,0.6279951265737106
60,0.6634628401245432
61,0.653174495735752
62,0.6190605117097604
63,0.6759171517530798
64,0.6424800324895086
65,0.625693786381481
66,0.6181129010423717
67,0.6244754298091242
68,0.579396236631921
69,0.6279951265737106
70,0.6227155814268309
71,0.6396372004873426
72,0.660349262217409
73,0.645999729254095
74,0.6274536347637742
75,0.6206849871395695
76,0.6538513604981725
77,0.650331663733586
78,0.6121564911330716
79,0.6432922702044132
80,0.6348991471503993
81,0.6553404629754975
82,0.6152700690402058
83,0.6713144713686205
84,0.6370651143901449
85,0.6082306755110329
86,0.6059293353188033
87,0.6581832949776635
88,0.6219033437119263
89,0.6508731555435224
90,0.6076891837010965
91,0.6742926763232706
92,0.6149993231352375
93,0.6289427372410993
94,0.6137809665628807
95,0.6167591715175308
96,0.6260999052389332
97,0.6282658724786787
98,0.6193312576147286
99,0.6711790984161364
100,0.6496547989711655
101,0.6110735075131989
102,0.6240693109516718
103,0.6259645322864492
104,0.6523622580208475
105,0.62136185190199
106,0.6204142412346013
107,0.6354406389603358
108,0.593881142547719
109,0.6145932042777853
110,0.6178421551374036
111,0.6438337620143495
112,0.651685393258427
113,0.607012318938676
114,0.6335454176255584
115,0.5899553269256802
116,0.630025720860972
117,0.6377419791525654
118,0.6166237985650467
119,0.5999729254095032
120,0.6419385406795722
121,0.6631920942195749
122,0.648977934208745
123,0.6101258968458102
124,0.6588601597400839
125,0.6635982130770272
126,0.6393664545823744
127,0.6378773521050494
128,0.6196020035196967
129,0.6579125490726953
130,0.6359821307702721
131,0.625693786381481
132,0.6588601597400839
133,0.5972654663598214
134,0.6302964667659402
135,0.6194666305672126
136,0.6075538107486125
137,0.6811966968999594
138,0.5636929741437661
139,0.6641397048869636
140,0.651820766210911
141,0.6446459997292541
142,0.6308379585758765
143,0.6160823067551103
144,0.6453228644916745
145,0.6208203600920537
146,0.6658995532692568
147,0.6313794503858129
148,0.6550697170705293
149,0.6634628401245432
150,0.6749695410856911
151,0.5899553269256802
152,0.617029917422499
153,0.6476242046839041
154,0.6197373764721809
155,0.6468119669689996
156,0.6649519426018682
157,0.650331663733586
158,0.6220387166644105
159,0.6298903479084879
160,0.6396372004873426
161,0.6068769459861919
162,0.5927981589278463
163,0.6596723974549885
164,0.6420739136320563
165,0.6372004873426289
166,0.6520915121158792
167,0.6481656964938405
168,0.6451874915391904
169,0.6432922702044132
170,0.6260999052389332
