,count,mean,std,min,25%,50%,75%,max
60m_AUC_I=1,10000.0,0.5537839285714284,0.02817335900234554,0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6428571428571429
240m_AUC_I=800,10000.0,0.5677767857142857,0.02993795988120822,0.43452380952380953,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6607142857142857
120m_AUC_I=400,10000.0,0.5809380952380953,0.030953284326240046,0.48214285714285715,0.5595238095238095,0.5833333333333334,0.6011904761904762,0.7023809523809523
300m_AUC_I=10,10000.0,0.5537815476190475,0.028181425157481732,0.44047619047619047,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6428571428571429
240m_SS_I=50,10000.0,0.6110154761904761,0.03262541422725609,0.47023809523809523,0.5952380952380952,0.6130952380952381,0.6369047619047619,0.6964285714285714
60m_SS_I=800,10000.0,0.5796648809523809,0.0299202934140448,0.44642857142857145,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.6726190476190477
300m_AUC_I=20,10000.0,0.5532529761904762,0.027943776583284438,0.43452380952380953,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6309523809523809
120m_AUC_I=200,10000.0,0.5807476190476191,0.030716223370008712,0.47023809523809523,0.5595238095238095,0.5773809523809523,0.6011904761904762,0.6964285714285714
180m_AUC_I=50,10000.0,0.5664595238095237,0.029153974322172378,0.47023809523809523,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6845238095238095
60m_AUC_I=20,10000.0,0.5650339285714285,0.027934227576603476,0.44047619047619047,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6428571428571429
180m_AUC_I=100,10000.0,0.5678642857142857,0.029690465792099968,0.4583333333333333,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6785714285714286
120m_AUC_I=800,10000.0,0.5796648809523809,0.0299202934140448,0.44642857142857145,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.6726190476190477
180m_AUC_I=1,10000.0,0.6166005952380952,0.035703914515697835,0.48214285714285715,0.6011904761904762,0.6190476190476191,0.6428571428571429,0.7083333333333334
120m_AUC_I=20,10000.0,0.5590815476190476,0.027934227576603483,0.43452380952380953,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6369047619047619
300m_AUC_I=100,10000.0,0.5609761904761904,0.028940588775461382,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6666666666666666
60m_AUC_I=800,10000.0,0.5796648809523809,0.0299202934140448,0.44642857142857145,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.6726190476190477
300m_AUC_I=50,10000.0,0.5605071428571429,0.029153974322172385,0.4642857142857143,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6785714285714286
180m_AUC_I=200,10000.0,0.5688595238095239,0.030732845086376893,0.4583333333333333,0.5476190476190477,0.5654761904761905,0.5892857142857143,0.6845238095238095
180m_AUC_I=800,10000.0,0.5737125000000001,0.0299202934140448,0.44047619047619047,0.5535714285714286,0.5714285714285714,0.5892857142857143,0.6666666666666666
60m_AUC_I=50,10000.0,0.5812785714285714,0.03151561734027756,0.48214285714285715,0.5595238095238095,0.5833333333333334,0.6011904761904762,0.7142857142857143
180m_AUC_I=400,10000.0,0.5745375,0.031187777052195696,0.4880952380952381,0.5535714285714286,0.5714285714285714,0.5892857142857143,0.6964285714285714
180m_SS_I=20,10000.0,0.5585,0.0283897315272445,0.44047619047619047,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
240m_AUC_I=400,10000.0,0.5686017857142855,0.03120405814666601,0.48214285714285715,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6904761904761905
180m_SS_I=800,10000.0,0.5592797619047619,0.02854563496041936,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
240m_SS_I=1,10000.0,0.6362476190476191,0.049910507568452146,0.5178571428571429,0.6130952380952381,0.6309523809523809,0.6845238095238095,0.7738095238095238
300m_AUC_I=1,10000.0,0.6575029761904762,0.046216728378702256,0.5238095238095238,0.6309523809523809,0.6547619047619048,0.7023809523809523,0.7857142857142857
240m_SS_I=800,10000.0,0.5800357142857143,0.03044321351663958,0.4642857142857143,0.5654761904761905,0.5833333333333334,0.6011904761904762,0.6726190476190477
240m_SS_I=20,10000.0,0.6303535714285715,0.0366637065843661,0.49404761904761907,0.6190476190476191,0.6369047619047619,0.6607142857142857,0.7261904761904762
120m_AUC_I=100,10000.0,0.574317261904762,0.030948080721610628,0.47619047619047616,0.5535714285714286,0.5714285714285714,0.5892857142857143,0.6904761904761905
60m_AUC_I=200,10000.0,0.5802958333333332,0.03095272319510708,0.48214285714285715,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.6964285714285714
120m_SS_I=800,10000.0,0.5658708333333334,0.028773615605385744,0.4523809523809524,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6547619047619048
60m_AUC_I=10,10000.0,0.5592964285714286,0.02854266913429722,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
300m_AUC_I=400,10000.0,0.5626494047619047,0.031204058146666016,0.47619047619047616,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6845238095238095
240m_AUC_I=50,10000.0,0.5602083333333333,0.029536190054733652,0.47619047619047616,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6785714285714286
120m_AUC_I=10,10000.0,0.5592964285714286,0.02854266913429722,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
120m_AUC_I=50,10000.0,0.5671690476190476,0.03002423724847949,0.48214285714285715,0.5476190476190477,0.5714285714285714,0.5833333333333334,0.6904761904761905
60m_SS_I=1,10000.0,0.5533142857142856,0.02844442090891789,0.4583333333333333,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6488095238095238
120m_SS_I=200,10000.0,0.5654559523809524,0.028664597281064498,0.47023809523809523,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6607142857142857
300m_SS_I=800,10000.0,0.6349535714285713,0.043667166876750735,0.5059523809523809,0.6190476190476191,0.6309523809523809,0.6785714285714286,0.7559523809523809
180m_SS_I=10,10000.0,0.5984755952380952,0.030843189811895676,0.47023809523809523,0.5833333333333334,0.6011904761904762,0.6190476190476191,0.6964285714285714
300m_SS_I=200,10000.0,0.6353779761904762,0.043312561458504886,0.49404761904761907,0.6190476190476191,0.6309523809523809,0.6785714285714286,0.7559523809523809
180m_SS_I=200,10000.0,0.5591684523809523,0.027976915532969153,0.44047619047619047,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
240m_SS_I=100,10000.0,0.6041702380952381,0.03152088033546322,0.48214285714285715,0.5892857142857143,0.6071428571428571,0.625,0.7202380952380952
300m_SS_I=10,10000.0,0.6401898809523809,0.04799553845611219,0.5,0.6190476190476191,0.6369047619047619,0.6904761904761905,0.7678571428571429
300m_SS_I=20,10000.0,0.6338309523809524,0.04821101221585552,0.48214285714285715,0.6130952380952381,0.6309523809523809,0.6845238095238095,0.7619047619047619
180m_SS_I=50,10000.0,0.5539041666666666,0.028341236776726755,0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6666666666666666
240m_SS_I=10,10000.0,0.6227089285714286,0.03741056137039628,0.4880952380952381,0.6130952380952381,0.6190476190476191,0.6547619047619048,0.7321428571428571
180m_SS_I=100,10000.0,0.5601232142857143,0.0287075659920305,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6845238095238095
120m_SS_I=400,10000.0,0.5667142857142857,0.028755896225083837,0.4583333333333333,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6845238095238095
300m_AUC_I=200,10000.0,0.5618755952380953,0.02969938999789063,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6904761904761905
180m_AUC_I=20,10000.0,0.5589613095238095,0.02795717169361465,0.43452380952380953,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6488095238095238
240m_AUC_I=100,10000.0,0.5668839285714286,0.028951424837449575,0.4583333333333333,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6904761904761905
240m_SS_I=400,10000.0,0.5858857142857141,0.029985510169271586,0.4523809523809524,0.5714285714285714,0.5892857142857143,0.6071428571428571,0.6726190476190477
60m_SS_I=100,10000.0,0.5735630952380952,0.029463658113577207,0.4642857142857143,0.5535714285714286,0.5714285714285714,0.5892857142857143,0.6964285714285714
300m_AUC_I=800,10000.0,0.5674916666666666,0.029886685472057514,0.43452380952380953,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6726190476190477
60m_AUC_I=100,10000.0,0.5805488095238095,0.030693873674932228,0.47023809523809523,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.7142857142857143
120m_SS_I=20,10000.0,0.5597160714285715,0.028330283188037365,0.44047619047619047,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6726190476190477
240m_AUC_I=1,10000.0,0.6589839285714286,0.041263525555984025,0.5178571428571429,0.6369047619047619,0.6607142857142857,0.6964285714285714,0.7797619047619048
120m_AUC_I=1,10000.0,0.5537458333333332,0.028163053821507696,0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6607142857142857
300m_SS_I=100,10000.0,0.6368190476190475,0.04394253977825144,0.5119047619047619,0.6190476190476191,0.6369047619047619,0.6785714285714286,0.7559523809523809
60m_SS_I=10,10000.0,0.5593857142857143,0.02852647661472228,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
120m_SS_I=10,10000.0,0.5593857142857143,0.02852647661472228,0.4523809523809524,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
300m_SS_I=1,10000.0,0.6427648809523809,0.05185307894581487,0.5119047619047619,0.6190476190476191,0.6369047619047619,0.6904761904761905,0.8035714285714286
240m_AUC_I=200,10000.0,0.5685779761904761,0.03112195336725332,0.4642857142857143,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6904761904761905
300m_SS_I=50,10000.0,0.6447517857142858,0.04855794629860873,0.4880952380952381,0.625,0.6369047619047619,0.6964285714285714,0.7738095238095238
60m_SS_I=400,10000.0,0.5806964285714287,0.031351210893355234,0.4880952380952381,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.7083333333333334
240m_AUC_I=10,10000.0,0.5535833333333332,0.028560326594185857,0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5714285714285714,0.6488095238095238
240m_SS_I=200,10000.0,0.5975041666666666,0.03157432678338876,0.47619047619047616,0.5833333333333334,0.6011904761904762,0.6190476190476191,0.6845238095238095
120m_SS_I=100,10000.0,0.5661863095238096,0.02930753866385166,0.47619047619047616,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6845238095238095
240m_AUC_I=20,10000.0,0.5587660714285715,0.02835368649618953,0.44047619047619047,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6428571428571429
180m_SS_I=400,10000.0,0.5585464285714286,0.02839598549665457,0.43452380952380953,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6428571428571429
120m_SS_I=50,10000.0,0.5606297619047619,0.029907858155684284,0.47619047619047616,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6904761904761905
180m_AUC_I=10,10000.0,0.5593797619047619,0.028540976735383063,0.44642857142857145,0.5416666666666666,0.5595238095238095,0.5773809523809523,0.6547619047619048
180m_SS_I=1,10000.0,0.6410476190476191,0.046576651398016436,0.5178571428571429,0.6130952380952381,0.6428571428571429,0.6845238095238095,0.7916666666666666
60m_SS_I=20,10000.0,0.5655517857142857,0.028666049913645738,0.4583333333333333,0.5476190476190477,0.5654761904761905,0.5833333333333334,0.6666666666666666
60m_AUC_I=400,10000.0,0.5806964285714287,0.031351210893355234,0.4880952380952381,0.5595238095238095,0.5773809523809523,0.5952380952380952,0.7083333333333334
300m_SS_I=400,10000.0,0.6343494047619048,0.0437249270435093,0.4880952380952381,0.6190476190476191,0.6309523809523809,0.6785714285714286,0.75
