,count,mean,std,min,25%,50%,75%,max
60m_AUC_I=1,10000.0,0.6469303571428572,0.0197562878595244,0.5595238095238095,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
240m_AUC_I=800,10000.0,0.6438851190476191,0.01444634853948739,0.5714285714285714,0.6369047619047619,0.6488095238095238,0.6488095238095238,0.7023809523809523
120m_AUC_I=400,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
300m_AUC_I=10,10000.0,0.6469303571428572,0.0197562878595244,0.5595238095238095,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
240m_SS_I=50,10000.0,0.7060113095238093,0.019034728343071912,0.6190476190476191,0.700892857142857,0.7142857142857143,0.7142857142857143,0.7321428571428571
60m_SS_I=800,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
300m_AUC_I=20,10000.0,0.6469303571428572,0.0197562878595244,0.5595238095238095,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
120m_AUC_I=200,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
180m_AUC_I=50,10000.0,0.6586815476190476,0.019696870855237594,0.5714285714285714,0.6547619047619048,0.6666666666666666,0.6666666666666666,0.7202380952380952
60m_AUC_I=20,10000.0,0.6586815476190476,0.019696870855237594,0.5714285714285714,0.6547619047619048,0.6666666666666666,0.6666666666666666,0.7202380952380952
180m_AUC_I=100,10000.0,0.6487065476190477,0.015949180851139555,0.5773809523809523,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
120m_AUC_I=800,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
180m_AUC_I=1,10000.0,0.7177410714285714,0.019682331486295886,0.625,0.7083333333333334,0.7261904761904762,0.7261904761904762,0.7678571428571429
120m_AUC_I=20,10000.0,0.6528827380952381,0.019756287859524397,0.5654761904761905,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
300m_AUC_I=100,10000.0,0.6480773809523811,0.01756743368476299,0.5714285714285714,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
60m_AUC_I=800,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
300m_AUC_I=50,10000.0,0.6528827380952381,0.019756287859524397,0.5654761904761905,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
180m_AUC_I=200,10000.0,0.6438851190476191,0.01444634853948739,0.5714285714285714,0.6369047619047619,0.6488095238095238,0.6488095238095238,0.7023809523809523
180m_AUC_I=800,10000.0,0.649594642857143,0.014512945853713481,0.5773809523809523,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
60m_AUC_I=50,10000.0,0.6553934523809525,0.014573541700944324,0.5833333333333334,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
180m_AUC_I=400,10000.0,0.64955,0.014361785051001063,0.5833333333333334,0.6428571428571429,0.6547619047619048,0.6547619047619048,0.7083333333333334
180m_SS_I=20,10000.0,0.6528446428571429,0.01969513821220422,0.5654761904761905,0.6488095238095238,0.6607142857142857,0.6607142857142857,0.7142857142857143
