,count,mean,std,min,25%,50%,75%,max
8h_AUC_TNF=200,10000.0,0.5081336419753086,0.06833460982930717,0.0030864197530864196,0.45987654320987653,0.5092592592592593,0.5555555555555556,0.75
16h_SS_TNF=0.2,10000.0,0.5139052469135802,0.07305136277909635,0.006172839506172839,0.45987654320987653,0.5092592592592593,0.5679012345679012,0.7839506172839507
8h_SS_TNF=0.02,10000.0,0.5007898148148149,0.0672571657355884,0.006172839506172839,0.4537037037037037,0.5030864197530864,0.5432098765432098,0.75
8h_SS_TNF=20,10000.0,0.4959601851851852,0.0628382882791472,0.006172839506172839,0.4537037037037037,0.49691358024691357,0.5339506172839507,0.7407407407407407
8h_SS_TNF=2,10000.0,0.5058672839506174,0.069585072237247,0.006172839506172839,0.4567901234567901,0.5061728395061729,0.5524691358024691,0.7901234567901234
1h_AUC_TNF=20,10000.0,0.4977598765432099,0.06674423777779205,0.0030864197530864196,0.4506172839506173,0.5061728395061729,0.5401234567901234,0.7345679012345679
1h_SS_TNF=20,10000.0,0.4955820987654321,0.06371752780094393,0.006172839506172839,0.4537037037037037,0.5030864197530864,0.5370370370370371,0.7160493827160493
2h_AUC_TNF=0.02,10000.0,0.5023462962962963,0.06676369595572068,0.0030864197530864196,0.4567901234567901,0.5,0.5462962962962963,0.7623456790123457
16h_SS_TNF=2,10000.0,0.5083746913580247,0.06696834887701993,0.006172839506172839,0.46296296296296297,0.5061728395061729,0.5524691358024691,0.7530864197530864
16h_AUC_TNF=0.2,10000.0,0.5116462962962962,0.07290093679862579,0.006172839506172839,0.45987654320987653,0.5092592592592593,0.5617283950617284,0.7993827160493827
4h_AUC_TNF=200,10000.0,0.5035108024691359,0.064378994977298,0.0030864197530864196,0.45987654320987653,0.5092592592592593,0.5432098765432098,0.7530864197530864
2h_AUC_TNF=2,10000.0,0.4991175925925926,0.06391793110074111,0.006172839506172839,0.4567901234567901,0.5,0.5401234567901234,0.7469135802469136
4h_SS_TNF=0.2,10000.0,0.4766358024691358,0.05557262425653509,0.0030864197530864196,0.4444444444444444,0.47530864197530864,0.5092592592592593,0.7037037037037037
1h_SS_TNF=200,10000.0,0.4860608024691358,0.06227125806341422,0.006172839506172839,0.4506172839506173,0.49382716049382713,0.5216049382716049,0.7067901234567902
16h_SS_TNF=200,10000.0,0.5181833333333334,0.07460981942574496,0.006172839506172839,0.46296296296296297,0.5185185185185185,0.5709876543209876,0.7993827160493827
2h_AUC_TNF=20,10000.0,0.49705370370370366,0.0617302269183529,0.0030864197530864196,0.4567901234567901,0.5,0.5339506172839507,0.7438271604938271
1h_AUC_TNF=200,10000.0,0.4980243827160493,0.06071994742499911,0.0030864197530864196,0.4567901234567901,0.5030864197530864,0.5370370370370371,0.7438271604938271
4h_SS_TNF=200,10000.0,0.5004858024691358,0.06396489903935368,0.006172839506172839,0.4567901234567901,0.5030864197530864,0.5401234567901234,0.7530864197530864
4h_SS_TNF=0.02,10000.0,0.49625524691358025,0.06780810605981319,0.0030864197530864196,0.44753086419753085,0.49382716049382713,0.5401234567901234,0.7561728395061729
8h_AUC_TNF=20,10000.0,0.501806172839506,0.06679929243063663,0.0030864197530864196,0.4537037037037037,0.5092592592592593,0.5432098765432098,0.7469135802469136
4h_SS_TNF=2,10000.0,0.539029012345679,0.07759614463094197,0.015432098765432098,0.48148148148148145,0.5339506172839507,0.6018518518518519,0.7561728395061729
1h_SS_TNF=0.2,10000.0,0.5098185185185186,0.054894905946061445,0.012345679012345678,0.48148148148148145,0.5123456790123457,0.5462962962962963,0.6635802469135802
8h_AUC_TNF=0.2,10000.0,0.5140719135802471,0.058686535895766154,0.015432098765432098,0.48148148148148145,0.5154320987654321,0.5555555555555556,0.6790123456790124
16h_AUC_TNF=200,10000.0,0.5445888888888889,0.0778484020148332,0.015432098765432098,0.4876543209876543,0.5370370370370371,0.6080246913580247,0.7654320987654321
2h_SS_TNF=0.02,10000.0,0.48849382716049383,0.0629663243810145,0.0030864197530864196,0.4444444444444444,0.49074074074074076,0.5339506172839507,0.654320987654321
8h_SS_TNF=0.2,10000.0,0.509042901234568,0.05811168911964364,0.012345679012345678,0.4783950617283951,0.5123456790123457,0.5493827160493827,0.6728395061728395
4h_AUC_TNF=0.02,10000.0,0.5347320987654323,0.07212055546742704,0.015432098765432098,0.4845679012345679,0.5339506172839507,0.5895061728395061,0.7438271604938271
4h_AUC_TNF=2,10000.0,0.5423123456790123,0.07797573421015377,0.015432098765432098,0.4845679012345679,0.5370370370370371,0.6049382716049383,0.7746913580246914
8h_SS_TNF=200,10000.0,0.5289382716049383,0.06534419667179699,0.015432098765432098,0.4845679012345679,0.5277777777777778,0.5771604938271605,0.7407407407407407
2h_SS_TNF=200,10000.0,0.5131077160493828,0.0633950714627095,0.015432098765432098,0.47530864197530864,0.5246913580246914,0.558641975308642,0.6728395061728395
4h_AUC_TNF=20,10000.0,0.5247061728395063,0.06443384213848165,0.018518518518518517,0.48148148148148145,0.5277777777777778,0.5709876543209876,0.7037037037037037
1h_SS_TNF=0.02,10000.0,0.4867549382716049,0.06184923687243123,0.0030864197530864196,0.4444444444444444,0.4876543209876543,0.5308641975308642,0.6512345679012346
16h_AUC_TNF=2,10000.0,0.5425885802469136,0.0785481485340872,0.015432098765432098,0.4845679012345679,0.5339506172839507,0.6049382716049383,0.7654320987654321
4h_AUC_TNF=0.2,10000.0,0.5151154320987654,0.056045579571025794,0.015432098765432098,0.4845679012345679,0.5185185185185185,0.5524691358024691,0.6820987654320988
8h_AUC_TNF=2,10000.0,0.540637037037037,0.0800471858584273,0.015432098765432098,0.48148148148148145,0.5385802469135803,0.6049382716049383,0.7623456790123457
2h_SS_TNF=2,10000.0,0.5185626543209876,0.06980268668154806,0.015432098765432098,0.4691358024691358,0.5308641975308642,0.5709876543209876,0.691358024691358
1h_AUC_TNF=2,10000.0,0.5245364197530864,0.07037015808707182,0.018518518518518517,0.4783950617283951,0.5246913580246914,0.5740740740740741,0.7222222222222222
8h_AUC_TNF=0.02,10000.0,0.5347407407407407,0.0737929353398901,0.015432098765432098,0.48148148148148145,0.5370370370370371,0.5925925925925926,0.7314814814814815
1h_AUC_TNF=0.2,10000.0,0.5106635802469136,0.054811348806287005,0.015432098765432098,0.4783950617283951,0.5092592592592593,0.5462962962962963,0.6604938271604939
2h_AUC_TNF=0.2,10000.0,0.5123586419753087,0.05411164769974249,0.015432098765432098,0.48148148148148145,0.5123456790123457,0.5462962962962963,0.6635802469135802
2h_AUC_TNF=200,10000.0,0.5356120370370371,0.07123226764624287,0.009259259259259259,0.4845679012345679,0.5370370370370371,0.5895061728395061,0.7592592592592593
16h_AUC_TNF=0.02,10000.0,0.5432638888888889,0.0801009800851439,0.009259259259259259,0.48148148148148145,0.5401234567901234,0.6080246913580247,0.7839506172839507
2h_SS_TNF=0.2,10000.0,0.4994172839506173,0.049338262060356596,0.012345679012345678,0.4722222222222222,0.5030864197530864,0.5308641975308642,0.6851851851851852
1h_SS_TNF=2,10000.0,0.5116512345679012,0.06527849343147554,0.012345679012345678,0.4691358024691358,0.5154320987654321,0.5555555555555556,0.6944444444444444
4h_SS_TNF=20,10000.0,0.5254033950617284,0.06826640020805647,0.015432098765432098,0.4783950617283951,0.5308641975308642,0.5771604938271605,0.7222222222222222
16h_SS_TNF=0.02,10000.0,0.5428037037037038,0.07394602373897238,0.006172839506172839,0.49074074074074076,0.5462962962962963,0.5987654320987654,0.7654320987654321
