,count,mean,std,min,25%,50%,75%,max
8h_SS_TNF=200,10000.0,0.6959308641975308,0.022192287683601444,0.6265432098765432,0.6790123456790124,0.6944444444444444,0.7098765432098766,0.7777777777777778
4h_SS_TNF=0.2,10000.0,0.6438984567901235,0.020504715061978665,0.5771604938271605,0.6296296296296297,0.6419753086419753,0.6574074074074074,0.7191358024691358
16h_AUC_TNF=0.02,10000.0,0.7180086419753087,0.021694604432932325,0.6512345679012346,0.7037037037037037,0.7160493827160493,0.7314814814814815,0.7932098765432098
4h_AUC_TNF=20,10000.0,0.6804827160493827,0.020460946650327893,0.6203703703703703,0.6666666666666666,0.6790123456790124,0.6944444444444444,0.7654320987654321
1h_SS_TNF=20,10000.0,0.6704611111111112,0.01618170888535808,0.6234567901234568,0.6604938271604939,0.6697530864197531,0.6820987654320988,0.7345679012345679
1h_AUC_TNF=0.2,10000.0,0.6479407407407408,0.018679482293252062,0.595679012345679,0.6358024691358025,0.6481481481481481,0.6604938271604939,0.7129629629629629
2h_SS_TNF=0.2,10000.0,0.6195641975308641,0.02214856711887665,0.5524691358024691,0.6049382716049383,0.6188271604938271,0.6358024691358025,0.6975308641975309
2h_AUC_TNF=20,10000.0,0.682945061728395,0.022943527790612716,0.6172839506172839,0.6666666666666666,0.6820987654320988,0.7006172839506173,0.7777777777777778
4h_AUC_TNF=200,10000.0,0.6846253086419752,0.021974303585418683,0.6172839506172839,0.6666666666666666,0.6820987654320988,0.7006172839506173,0.7685185185185185
8h_AUC_TNF=0.2,10000.0,0.670537037037037,0.019969891986522298,0.6049382716049383,0.6574074074074074,0.6697530864197531,0.6820987654320988,0.7407407407407407
16h_SS_TNF=0.2,10000.0,0.7267728395061729,0.020766048526533118,0.6604938271604939,0.7129629629629629,0.7253086419753086,0.7407407407407407,0.7962962962962963
4h_SS_TNF=0.02,10000.0,0.6795802469135802,0.02053607573373367,0.6141975308641975,0.6635802469135802,0.6790123456790124,0.6944444444444444,0.7530864197530864
