	SFK	SHC	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	EGF	I
1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.01
2	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0.01
3	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0.01
4	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0.01
5	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.01
6	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0.01
7	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0.01
8	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0.01
9	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0.01
10	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0.01
11	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0.01
12	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0.01
13	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0.01
14	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0.01
15	-1	0	-1	0	0	0	0	0	0	0	0	0	0	1	0.01
16	-1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0.01
17	-1	0	0	0	-1	0	0	0	0	0	0	0	0	1	0.01
18	-1	0	0	0	0	-1	0	0	0	0	0	0	0	1	0.01
19	-1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0.01
20	-1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0.01
21	-1	0	0	0	0	0	0	0	-1	0	0	0	0	1	0.01
22	-1	0	0	0	0	0	0	0	0	-1	0	0	0	1	0.01
23	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0.01
24	-1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0.01
25	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1	0.01
26	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0.01
27	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0.01
28	0	-1	0	0	-1	0	0	0	0	0	0	0	0	1	0.01
29	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0.01
30	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	0.01
31	0	-1	0	0	0	0	0	-1	0	0	0	0	0	1	0.01
32	0	-1	0	0	0	0	0	0	-1	0	0	0	0	1	0.01
33	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0.01
34	0	-1	0	0	0	0	0	0	0	0	-1	0	0	1	0.01
35	0	-1	0	0	0	0	0	0	0	0	0	-1	0	1	0.01
36	0	-1	0	0	0	0	0	0	0	0	0	0	-1	1	0.01
37	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0.01
38	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0.01
39	0	0	-1	0	0	-1	0	0	0	0	0	0	0	1	0.01
40	0	0	-1	0	0	0	-1	0	0	0	0	0	0	1	0.01
41	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	0.01
42	0	0	-1	0	0	0	0	0	-1	0	0	0	0	1	0.01
43	0	0	-1	0	0	0	0	0	0	-1	0	0	0	1	0.01
44	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0.01
45	0	0	-1	0	0	0	0	0	0	0	0	-1	0	1	0.01
46	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	0.01
47	0	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0.01
48	0	0	0	-1	0	-1	0	0	0	0	0	0	0	1	0.01
49	0	0	0	-1	0	0	-1	0	0	0	0	0	0	1	0.01
