1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	7.64E-03	3.43E-02	-1.76E+00	-1.80E+00	3.84E-03	-2.26E-01	8.54E-01	1.92E+00	2.43E+00	-9.11E-01	0.00E+00	8.95E-03	6.87E-03	4.25E-02	-1.75E+00	-1.80E+00	1.13E-02	-2.18E-01	8.58E-01	1.93E+00	2.43E+00	-9.09E-01	7.64E-03	1.66E-02	1.45E-02	-1.73E+00	-2.03E+00	2.66E-02	-2.07E-01	8.86E-01	1.95E+00	2.45E+00	-8.10E-01	3.43E-02	4.31E-02	4.23E-02	-3.70E+00	-1.75E+00	-2.87E+00	-4.27E-01	6.85E-03	-6.73E-02	-1.87E+00	-1.76E+00	-1.76E+00	-1.75E+00	-1.80E+00	-2.68E+00	-1.42E+00	-1.40E+00	-1.41E+00	-1.71E+00	-1.80E+00	-1.80E+00	-1.80E+00	-2.03E-01	8.55E-01	1.92E+00	2.43E+00	-9.18E-01	3.84E-03	9.64E-03	6.62E-03	4.08E-01	1.81E+00	2.42E+00	-1.71E+00	-2.26E-01	-2.13E-01	-2.18E-01	2.57E+00	2.53E+00	-5.55E-01	8.54E-01	8.59E-01	8.61E-01	2.60E+00	-6.12E-01	1.92E+00	1.93E+00	1.93E+00	-5.99E-01	2.43E+00	2.44E+00	2.44E+00	-9.11E-01	-9.12E-01	-9.11E-01	8.95E-03	6.87E-03	8.96E-03
GAB1	2.67E-03	1.32E-01	1.20E+00	-6.32E+00	3.55E-03	-2.45E-01	6.59E-01	1.43E+00	1.75E+00	-1.85E-01	0.00E+00	1.96E-02	1.74E-02	1.34E-01	1.20E+00	-6.32E+00	6.10E-03	-2.42E-01	6.61E-01	1.43E+00	1.75E+00	-1.88E-01	2.67E-03	2.22E-02	2.01E-02	1.32E+00	-6.26E+00	1.31E-01	-1.28E-01	7.55E-01	1.48E+00	1.78E+00	-3.56E-01	1.32E-01	1.51E-01	1.49E-01	-5.98E+00	1.21E+00	2.01E-01	2.33E+00	2.74E+00	2.66E+00	1.31E+00	1.20E+00	1.21E+00	1.21E+00	-6.53E+00	-6.24E+00	-6.45E+00	-6.46E+00	-6.45E+00	-7.95E+00	-6.32E+00	-6.31E+00	-6.31E+00	-2.35E-01	6.63E-01	1.43E+00	1.76E+00	-1.79E-01	3.55E-03	1.30E-02	8.23E-03	2.25E-01	1.35E+00	1.75E+00	-5.85E-01	-2.45E-01	-2.20E-01	-2.24E-01	1.84E+00	1.82E+00	-2.06E+00	6.59E-01	6.70E-01	6.71E-01	1.86E+00	-2.41E+00	1.43E+00	1.44E+00	1.44E+00	-2.32E+00	1.75E+00	1.77E+00	1.77E+00	-1.85E-01	-1.83E-01	-1.84E-01	1.96E-02	1.74E-02	1.96E-02
IRS	-8.28E-04	-4.16E-02	-2.16E-01	-6.06E-01	-2.90E+00	2.59E-02	-2.58E-01	-3.09E-01	-3.11E-01	2.38E-01	0.00E+00	1.33E+00	1.27E+00	-4.20E-02	-2.16E-01	-6.07E-01	-2.90E+00	2.47E-02	-2.58E-01	-3.09E-01	-3.11E-01	2.36E-01	-8.28E-04	1.33E+00	1.27E+00	-1.88E-01	-4.79E-01	-2.92E+00	2.84E-02	-2.38E-01	-2.75E-01	-2.77E-01	2.09E-01	-4.16E-02	1.44E+00	1.36E+00	-4.51E-01	-3.05E+00	1.08E-01	-2.29E-01	-2.24E-01	-2.25E-01	8.84E-01	-2.16E-01	1.71E+00	1.55E+00	-2.62E+00	-5.35E-01	-6.75E-01	-6.80E-01	-6.78E-01	-3.14E+00	-6.06E-01	-6.04E-01	-6.05E-01	-2.88E+00	-3.07E+00	-3.11E+00	-3.11E+00	-1.48E+00	-2.90E+00	-3.15E-01	-8.49E-01	-1.18E-01	-3.08E-01	-3.11E-01	8.81E-02	2.59E-02	1.21E+00	1.15E+00	-3.10E-01	-3.10E-01	-7.37E-01	-2.58E-01	1.56E+00	1.43E+00	-3.10E-01	-9.43E-01	-3.09E-01	1.80E+00	1.58E+00	-8.89E-01	-3.11E-01	1.88E+00	1.64E+00	2.38E-01	2.42E-01	2.40E-01	1.33E+00	1.27E+00	1.33E+00
RasGAP	4.18E-04	5.93E-02	-1.64E-01	9.28E-01	8.25E-03	-3.16E+00	-2.65E-01	-3.29E-01	-2.19E-01	-2.60E-03	0.00E+00	-2.69E-02	-2.59E-02	5.97E-02	-1.63E-01	9.28E-01	8.70E-03	-3.16E+00	-2.64E-01	-3.27E-01	-2.19E-01	-1.11E-03	4.18E-04	-2.65E-02	-2.55E-02	-9.71E-02	1.04E+00	6.54E-02	-3.09E+00	-1.96E-01	-2.58E-01	-1.63E-01	2.41E-01	5.93E-02	3.13E-02	3.27E-02	1.01E+00	-1.62E-01	-3.16E+00	1.39E-01	4.20E-01	3.64E-01	-1.82E-01	-1.64E-01	-1.74E-01	-1.74E-01	9.44E-01	-2.35E+00	8.93E-01	8.90E-01	8.92E-01	1.07E+00	9.28E-01	9.28E-01	9.28E-01	-3.15E+00	-2.63E-01	-3.27E-01	-2.17E-01	-3.21E-03	8.25E-03	-2.29E-03	1.96E-03	-3.35E+00	-3.67E+00	-3.54E+00	-3.23E+00	-3.16E+00	-3.19E+00	-3.19E+00	-1.76E-01	-1.90E-01	5.38E-01	-2.65E-01	-2.80E-01	-2.79E-01	-1.66E-01	6.12E-01	-3.29E-01	-3.30E-01	-3.29E-01	5.94E-01	-2.19E-01	-2.14E-01	-2.16E-01	-2.60E-03	-3.71E-03	-2.69E-03	-2.69E-02	-2.59E-02	-2.70E-02
RAS	6.94E-03	-4.25E-02	-2.67E+00	-3.11E+00	2.06E-03	1.52E+00	-2.29E+00	2.04E+00	2.37E+00	-1.72E+00	0.00E+00	1.30E-02	1.10E-02	-3.48E-02	-2.67E+00	-3.11E+00	8.87E-03	1.52E+00	-2.29E+00	2.05E+00	2.37E+00	-1.72E+00	6.94E-03	1.99E-02	1.79E-02	-2.74E+00	-3.78E+00	-4.82E-02	1.42E+00	-2.33E+00	2.01E+00	2.36E+00	-1.94E+00	-4.25E-02	-2.96E-02	-3.09E-02	-5.27E+00	-2.67E+00	1.71E-01	-3.47E+00	-1.27E+00	-1.29E+00	-2.75E+00	-2.67E+00	-2.67E+00	-2.66E+00	-3.12E+00	1.51E-02	-4.77E+00	-2.84E+00	-2.85E+00	-3.16E+00	-3.11E+00	-3.11E+00	-3.11E+00	1.51E+00	-2.29E+00	2.05E+00	2.38E+00	-1.73E+00	2.06E-03	9.36E-03	6.21E-03	-1.39E+00	2.72E+00	2.73E+00	1.40E+00	1.52E+00	1.54E+00	1.53E+00	-1.14E+00	-1.16E+00	-3.83E+00	-2.29E+00	-2.29E+00	-2.28E+00	2.42E+00	-1.97E+00	2.04E+00	2.05E+00	2.05E+00	-1.95E+00	2.37E+00	2.38E+00	2.38E+00	-1.72E+00	-1.72E+00	-1.72E+00	1.30E-02	1.10E-02	1.30E-02
RAF	1.10E-02	-5.72E-02	-1.61E+00	-1.99E+00	-6.04E-04	9.18E-01	-1.25E+00	-1.87E+00	1.52E+00	-7.17E-01	0.00E+00	1.76E-02	1.21E-02	-4.65E-02	-1.59E+00	-1.97E+00	1.03E-02	9.25E-01	-1.23E+00	-1.86E+00	1.52E+00	-7.03E-01	1.10E-02	2.85E-02	2.32E-02	-1.67E+00	-2.62E+00	-5.93E-02	8.09E-01	-1.29E+00	-1.89E+00	1.51E+00	-9.32E-01	-5.72E-02	-3.85E-02	-4.44E-02	-4.07E+00	-1.60E+00	4.49E-02	-2.37E+00	-3.54E+00	-4.12E-01	-1.65E+00	-1.61E+00	-1.59E+00	-1.59E+00	-2.00E+00	1.62E-01	-3.58E+00	-4.82E+00	-1.74E+00	-2.04E+00	-1.99E+00	-1.99E+00	-1.99E+00	9.16E-01	-1.25E+00	-1.87E+00	1.52E+00	-7.18E-01	-6.04E-04	9.67E-03	3.07E-03	-4.63E-01	-1.71E+00	1.60E+00	1.06E+00	9.18E-01	9.35E-01	9.33E-01	-3.44E+00	-2.96E-01	-2.70E+00	-1.25E+00	-1.23E+00	-1.24E+00	-1.78E+00	-4.06E+00	-1.87E+00	-1.86E+00	-1.87E+00	-9.32E-01	1.52E+00	1.52E+00	1.52E+00	-7.17E-01	-7.16E-01	-7.16E-01	1.76E-02	1.21E-02	1.76E-02
MEK	-1.65E-03	-6.42E-02	-1.12E+00	-1.50E+00	-1.16E-03	6.91E-01	-7.77E-01	-1.39E+00	-2.25E+00	-2.52E-01	0.00E+00	1.54E-02	1.23E-02	-6.56E-02	-1.12E+00	-1.50E+00	-2.80E-03	6.88E-01	-7.78E-01	-1.40E+00	-2.25E+00	-2.54E-01	-1.65E-03	1.38E-02	1.07E-02	-1.19E+00	-2.13E+00	-6.48E-02	5.82E-01	-8.15E-01	-1.41E+00	-2.25E+00	-4.69E-01	-6.42E-02	-4.74E-02	-5.12E-02	-3.58E+00	-1.12E+00	6.59E-03	-1.89E+00	-3.07E+00	-2.70E+00	-1.16E+00	-1.12E+00	-1.11E+00	-1.11E+00	-1.51E+00	2.23E-01	-3.10E+00	-4.34E+00	-3.39E+00	-1.55E+00	-1.50E+00	-1.50E+00	-1.50E+00	6.88E-01	-7.76E-01	-1.39E+00	-2.24E+00	-2.54E-01	-1.16E-03	6.46E-03	2.03E-03	-4.89E-02	-1.24E+00	-2.23E+00	8.34E-01	6.91E-01	7.03E-01	7.02E-01	-2.97E+00	-2.65E+00	-2.23E+00	-7.77E-01	-7.60E-01	-7.66E-01	-3.37E+00	-3.59E+00	-1.39E+00	-1.39E+00	-1.39E+00	-2.89E+00	-2.25E+00	-2.24E+00	-2.25E+00	-2.52E-01	-2.52E-01	-2.52E-01	1.54E-02	1.23E-02	1.55E-02
PI3K	1.48E-03	1.18E-01	8.73E-01	-4.11E+00	-7.41E-03	-2.32E-01	5.62E-01	1.18E+00	1.40E+00	-3.49E+00	0.00E+00	4.21E-02	3.89E-02	1.20E-01	8.74E-01	-4.11E+00	-5.98E-03	-2.30E-01	5.62E-01	1.19E+00	1.40E+00	-3.49E+00	1.48E-03	4.35E-02	4.03E-02	9.65E-01	-4.01E+00	1.10E-01	-1.26E-01	6.47E-01	1.22E+00	1.42E+00	-3.63E+00	1.18E-01	1.61E-01	1.57E-01	-3.95E+00	8.77E-01	2.51E-02	1.69E+00	1.90E+00	1.87E+00	-2.42E+00	8.73E-01	8.96E-01	8.95E-01	-4.33E+00	-4.05E+00	-4.18E+00	-4.19E+00	-4.18E+00	-7.85E+00	-4.11E+00	-4.11E+00	-4.11E+00	-2.39E-01	5.62E-01	1.18E+00	1.41E+00	-3.49E+00	-7.41E-03	1.15E-02	3.27E-03	1.57E-01	1.13E+00	1.40E+00	-3.81E+00	-2.32E-01	-1.84E-01	-1.89E-01	1.46E+00	1.44E+00	-5.03E+00	5.62E-01	5.91E-01	5.89E-01	1.47E+00	-5.31E+00	1.18E+00	1.20E+00	1.20E+00	-5.24E+00	1.40E+00	1.42E+00	1.42E+00	-3.49E+00	-3.48E+00	-3.49E+00	4.21E-02	3.89E-02	4.22E-02
PIP3	1.48E-03	1.18E-01	8.74E-01	-4.12E+00	-5.98E-03	-2.32E-01	5.62E-01	1.18E+00	1.41E+00	-3.50E+00	0.00E+00	4.27E-02	3.92E-02	1.20E-01	8.75E-01	-4.12E+00	-4.55E-03	-2.30E-01	5.63E-01	1.19E+00	1.40E+00	-3.50E+00	1.48E-03	4.41E-02	4.06E-02	9.66E-01	-4.02E+00	1.11E-01	-1.27E-01	6.47E-01	1.22E+00	1.42E+00	-3.65E+00	1.18E-01	1.61E-01	1.58E-01	-3.95E+00	8.79E-01	2.52E-02	1.70E+00	1.90E+00	1.87E+00	-2.43E+00	8.74E-01	8.97E-01	8.96E-01	-4.33E+00	-4.05E+00	-4.18E+00	-4.19E+00	-4.19E+00	-7.86E+00	-4.12E+00	-4.12E+00	-4.12E+00	-2.37E-01	5.63E-01	1.19E+00	1.41E+00	-3.49E+00	-5.98E-03	1.30E-02	4.72E-03	1.57E-01	1.13E+00	1.40E+00	-3.82E+00	-2.32E-01	-1.84E-01	-1.89E-01	1.46E+00	1.44E+00	-5.03E+00	5.62E-01	5.92E-01	5.90E-01	1.47E+00	-5.32E+00	1.18E+00	1.21E+00	1.20E+00	-5.24E+00	1.41E+00	1.42E+00	1.42E+00	-3.50E+00	-3.49E+00	-3.49E+00	4.27E-02	3.92E-02	4.27E-02
PDK1	3.71E-04	9.46E-02	5.84E-01	-3.50E+00	-2.49E-03	-2.26E-01	4.16E-01	8.06E-01	9.16E-01	-2.91E+00	0.00E+00	-3.29E+00	3.36E-02	9.50E-02	5.83E-01	-3.50E+00	-2.16E-03	-2.25E-01	4.16E-01	8.08E-01	9.16E-01	-2.91E+00	3.71E-04	-3.29E+00	3.40E-02	6.44E-01	-3.40E+00	9.30E-02	-1.36E-01	4.77E-01	8.26E-01	9.25E-01	-3.06E+00	9.46E-02	-3.19E+00	1.28E-01	-3.34E+00	5.89E-01	-5.89E-02	1.04E+00	1.12E+00	1.11E+00	-1.90E+00	5.84E-01	-2.72E+00	5.99E-01	-3.71E+00	-3.44E+00	-3.56E+00	-3.57E+00	-3.57E+00	-7.20E+00	-3.50E+00	-6.82E+00	-3.50E+00	-2.32E-01	4.20E-01	8.09E-01	9.20E-01	-2.91E+00	-2.49E-03	-3.31E+00	6.20E-03	7.59E-02	7.76E-01	9.15E-01	-3.22E+00	-2.26E-01	-3.50E+00	-1.85E-01	9.40E-01	9.33E-01	-4.40E+00	4.16E-01	-2.88E+00	4.36E-01	9.46E-01	-4.68E+00	8.06E-01	-2.50E+00	8.15E-01	-4.61E+00	9.16E-01	-2.40E+00	9.23E-01	-2.91E+00	-6.23E+00	-2.91E+00	-3.29E+00	3.36E-02	-3.29E+00
