1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	-2.31E-01	2.01E-03	-3.03E+00	-7.41E-01	-8.02E-01	-1.70E-01	1.93E-01	2.23E-01	2.11E-01	-4.12E-01	0.00E+00	1.14E+00	8.42E-01	-2.28E-01	-3.46E+00	-8.05E-01	-1.48E+00	-2.49E-01	-2.08E-01	-2.02E-01	-2.03E-01	-5.87E-01	-2.31E-01	1.16E+00	8.09E-01	-3.03E+00	-7.41E-01	-8.00E-01	-1.68E-01	1.96E-01	2.25E-01	2.14E-01	-4.10E-01	2.01E-03	1.14E+00	8.43E-01	-3.92E+00	-3.93E+00	-3.07E+00	-3.02E+00	-3.02E+00	-3.02E+00	-3.62E+00	-3.03E+00	-1.87E+00	-2.16E+00	-2.54E+00	-8.68E-01	-6.47E-01	-6.35E-01	-6.43E-01	-1.03E+00	-7.41E-01	7.91E-01	4.21E-01	-1.09E+00	-7.26E-01	-7.18E-01	-7.25E-01	-1.80E+00	-8.02E-01	-7.99E-01	-8.00E-01	4.85E-02	2.00E-01	2.02E-01	-4.21E-01	-1.70E-01	1.06E+00	7.53E-01	2.27E-01	2.24E-01	-3.91E-01	1.93E-01	1.34E+00	1.04E+00	2.27E-01	-3.83E-01	2.23E-01	1.41E+00	1.11E+00	-3.84E-01	2.11E-01	1.41E+00	1.10E+00	-4.12E-01	-4.10E-01	-4.12E-01	1.14E+00	8.42E-01	1.15E+00
GAB1	-6.09E-01	5.40E-03	4.05E-01	-2.29E+00	8.10E-02	-2.80E-01	2.51E-01	2.83E-01	2.70E-01	-5.30E-01	0.00E+00	2.29E-02	8.45E-03	-5.99E-01	-4.43E-01	-2.88E+00	-7.30E-01	-6.35E-01	-5.78E-01	-5.70E-01	-5.72E-01	-9.96E-01	-6.09E-01	-4.32E-01	-4.71E-01	4.10E-01	-2.28E+00	8.58E-02	-2.73E-01	2.57E-01	2.88E-01	2.76E-01	-5.22E-01	5.40E-03	2.89E-02	1.43E-02	-1.82E+00	2.56E-01	3.61E-01	4.09E-01	4.10E-01	4.09E-01	-3.30E-01	4.05E-01	5.75E-01	5.46E-01	-2.17E+00	-2.76E+00	-1.98E+00	-1.94E+00	-1.96E+00	-2.95E+00	-2.29E+00	-2.43E+00	-2.42E+00	-1.65E-01	1.37E-01	1.43E-01	1.38E-01	-8.00E-01	8.10E-02	8.14E-02	8.11E-02	6.55E-02	2.58E-01	2.61E-01	-5.40E-01	-2.80E-01	-1.20E-01	-1.54E-01	2.88E-01	2.85E-01	-5.07E-01	2.51E-01	3.41E-01	3.33E-01	2.88E-01	-4.99E-01	2.83E-01	4.39E-01	4.13E-01	-5.00E-01	2.70E-01	4.33E-01	4.04E-01	-5.30E-01	-5.31E-01	-5.32E-01	2.29E-02	8.45E-03	2.34E-02
IRS	2.46E-05	1.14E-07	3.10E-05	5.11E-04	-3.06E+00	1.98E-05	-2.22E-05	-2.63E-05	-2.51E-05	-2.46E-01	0.00E+00	1.84E+00	1.41E+00	2.46E-05	8.27E-05	5.14E-04	-3.06E+00	2.67E-05	2.22E-05	2.15E-05	2.17E-05	-2.46E-01	2.46E-05	1.84E+00	1.41E+00	3.10E-05	5.11E-04	-3.06E+00	1.99E-05	-2.22E-05	-2.63E-05	-2.51E-05	-2.46E-01	1.14E-07	1.84E+00	1.41E+00	5.67E-04	-3.05E+00	3.55E-05	3.03E-05	3.03E-05	3.03E-05	-2.46E-01	3.10E-05	1.84E+00	1.41E+00	-3.05E+00	5.21E-04	5.04E-04	5.03E-04	5.03E-04	-2.23E-01	5.11E-04	1.84E+00	1.41E+00	-3.06E+00	-3.06E+00	-3.06E+00	-3.06E+00	-5.55E+00	-3.06E+00	-3.03E+00	-3.03E+00	-8.18E-06	-2.31E-05	-2.39E-05	-2.47E-01	1.98E-05	1.84E+00	1.41E+00	-2.70E-05	-2.66E-05	-2.46E-01	-2.22E-05	1.84E+00	1.41E+00	-2.70E-05	-2.46E-01	-2.63E-05	1.84E+00	1.41E+00	-2.46E-01	-2.51E-05	1.84E+00	1.41E+00	-2.46E-01	-2.43E-01	-2.45E-01	1.84E+00	1.41E+00	1.85E+00
RasGAP	-6.87E-03	9.00E-05	6.50E-03	-1.54E-02	1.38E-01	-3.33E+00	3.80E-03	4.33E-03	4.13E-03	-1.48E+00	0.00E+00	-2.00E-01	-1.17E-01	-6.76E-03	-5.23E-03	-1.67E-02	1.30E-01	-3.33E+00	-6.58E-03	-6.50E-03	-6.52E-03	-1.49E+00	-6.87E-03	-2.06E-01	-1.23E-01	6.60E-03	-1.53E-02	1.38E-01	-3.33E+00	3.91E-03	4.45E-03	4.24E-03	-1.48E+00	9.00E-05	-2.00E-01	-1.17E-01	-1.37E-02	1.40E-01	-3.32E+00	6.58E-03	6.59E-03	6.58E-03	-1.47E+00	6.50E-03	-1.89E-01	-1.07E-01	1.23E-01	-3.34E+00	-1.44E-02	-1.42E-02	-1.43E-02	-1.51E+00	-1.54E-02	-2.18E-01	-1.34E-01	-3.19E+00	1.39E-01	1.39E-01	1.39E-01	1.01E-01	1.38E-01	1.37E-01	1.37E-01	-3.32E+00	-3.32E+00	-3.32E+00	-4.80E+00	-3.33E+00	-3.52E+00	-3.44E+00	4.42E-03	4.36E-03	-1.48E+00	3.80E-03	-1.94E-01	-1.12E-01	4.41E-03	-1.48E+00	4.33E-03	-1.92E-01	-1.10E-01	-1.48E+00	4.13E-03	-1.92E-01	-1.10E-01	-1.48E+00	-1.48E+00	-1.48E+00	-2.00E-01	-1.17E-01	-2.03E-01
RAS	-2.44E-01	2.20E-03	-3.10E+00	-7.49E-01	-9.39E-01	1.79E+00	-1.62E+00	2.11E-01	2.00E-01	5.85E-01	0.00E+00	1.35E+00	9.80E-01	-2.41E-01	-3.53E+00	-8.17E-01	-1.62E+00	1.62E+00	-2.01E+00	-2.17E-01	-2.18E-01	4.05E-01	-2.44E-01	1.36E+00	9.30E-01	-3.10E+00	-7.50E-01	-9.37E-01	1.79E+00	-1.62E+00	2.14E-01	2.03E-01	5.87E-01	2.20E-03	1.35E+00	9.81E-01	-3.98E+00	-4.10E+00	-1.35E+00	-4.81E+00	-3.10E+00	-3.10E+00	-2.70E+00	-3.10E+00	-1.79E+00	-2.14E+00	-2.69E+00	1.02E+00	-2.43E+00	-6.49E-01	-6.56E-01	-4.58E-02	-7.49E-01	9.81E-01	5.39E-01	6.69E-01	-2.61E+00	-8.58E-01	-8.64E-01	-1.93E+00	-9.39E-01	-9.35E-01	-9.36E-01	-5.61E-02	2.10E+00	2.10E+00	1.63E+00	1.79E+00	3.19E+00	2.85E+00	-1.59E+00	-1.59E+00	-1.22E+00	-1.62E+00	-3.77E-01	-7.09E-01	2.15E-01	6.12E-01	2.11E-01	1.63E+00	1.24E+00	6.11E-01	2.00E-01	1.62E+00	1.23E+00	5.85E-01	5.90E-01	5.88E-01	1.35E+00	9.80E-01	1.36E+00
RAF	4.00E-01	3.57E-03	-3.60E+00	-8.94E-01	-1.39E+00	1.68E+00	-2.02E+00	-3.54E+00	1.44E-01	7.83E-01	0.00E+00	1.27E+00	1.02E+00	4.05E-01	-3.26E+00	-1.17E-01	-1.45E+00	1.79E+00	-1.59E+00	-3.22E+00	4.13E-01	7.91E-01	4.00E-01	1.49E+00	1.30E+00	-3.60E+00	-8.94E-01	-1.38E+00	1.68E+00	-2.02E+00	-3.54E+00	1.48E-01	7.85E-01	3.57E-03	1.28E+00	1.03E+00	-4.46E+00	-4.73E+00	-1.73E+00	-5.34E+00	-6.70E+00	-3.60E+00	-2.57E+00	-3.60E+00	-2.25E+00	-2.61E+00	-3.28E+00	1.15E+00	-2.85E+00	-4.30E+00	-8.20E-01	2.67E-01	-8.94E-01	9.18E-01	5.57E-01	5.08E-01	-3.20E+00	-4.62E+00	-1.33E+00	-2.54E+00	-1.39E+00	-1.38E+00	-1.38E+00	-1.53E-01	-2.10E+00	1.77E+00	1.45E+00	1.68E+00	2.08E+00	2.02E+00	-5.22E+00	-2.00E+00	-9.85E-01	-2.02E+00	-6.37E-01	-9.89E-01	-3.54E+00	-2.71E+00	-3.54E+00	-2.41E+00	-2.69E+00	7.93E-01	1.44E-01	1.39E+00	1.15E+00	7.83E-01	7.89E-01	7.86E-01	1.27E+00	1.02E+00	1.28E+00
MEK	-1.17E+00	1.80E-03	-2.82E+00	-5.22E-01	-8.95E-01	4.96E-01	-1.39E+00	-2.76E+00	-1.79E+00	-1.39E+00	0.00E+00	3.12E-01	2.95E-01	-1.17E+00	-3.51E+00	-1.34E+00	-2.15E+00	-8.56E-01	-2.18E+00	-3.47E+00	-2.81E+00	-2.75E+00	-1.17E+00	-1.02E+00	-1.02E+00	-2.82E+00	-5.22E-01	-8.92E-01	4.97E-01	-1.39E+00	-2.76E+00	-1.79E+00	-1.39E+00	1.80E-03	3.13E-01	2.96E-01	-3.63E+00	-3.93E+00	-1.17E+00	-4.51E+00	-5.86E+00	-4.36E+00	-3.23E+00	-2.82E+00	-1.69E+00	-1.95E+00	-2.54E+00	3.91E-01	-2.11E+00	-3.47E+00	-2.22E+00	-1.54E+00	-5.22E-01	2.11E-01	1.53E-01	1.32E-01	-2.46E+00	-3.82E+00	-2.56E+00	-1.96E+00	-8.95E-01	-8.92E-01	-8.93E-01	-1.09E-01	-1.47E+00	-1.47E+00	-1.23E+00	4.96E-01	4.75E-01	4.97E-01	-4.40E+00	-3.00E+00	-2.15E+00	-1.39E+00	-4.86E-01	-6.53E-01	-4.30E+00	-3.30E+00	-2.76E+00	-1.82E+00	-2.02E+00	-3.03E+00	-1.79E+00	-1.60E+00	-1.61E+00	-1.39E+00	-1.40E+00	-1.40E+00	3.12E-01	2.95E-01	3.11E-01
PI3K	-1.49E-04	1.38E-06	2.14E-04	-1.65E-04	-2.28E+00	-1.06E-04	1.14E-04	1.29E-04	1.23E-04	-3.59E+00	0.00E+00	1.41E+00	1.15E+00	-1.47E-04	-7.53E-05	-1.96E-04	-2.28E+00	-1.55E-04	-1.41E-04	-1.39E-04	-1.39E-04	-3.59E+00	-1.49E-04	1.41E+00	1.15E+00	2.16E-04	-1.65E-04	-2.28E+00	-1.05E-04	1.16E-04	1.31E-04	1.25E-04	-3.59E+00	1.38E-06	1.41E+00	1.15E+00	-8.94E-05	-2.27E+00	1.91E-04	2.17E-04	2.17E-04	2.17E-04	-3.59E+00	2.14E-04	1.41E+00	1.15E+00	-2.28E+00	-1.95E-04	-1.38E-04	-1.34E-04	-1.36E-04	-3.57E+00	-1.65E-04	1.42E+00	1.15E+00	-2.28E+00	-2.27E+00	-2.27E+00	-2.27E+00	-6.73E+00	-2.28E+00	-2.26E+00	-2.26E+00	2.44E-05	1.17E-04	1.18E-04	-3.59E+00	-1.06E-04	1.41E+00	1.15E+00	1.31E-04	1.30E-04	-3.59E+00	1.14E-04	1.41E+00	1.15E+00	1.31E-04	-3.59E+00	1.29E-04	1.41E+00	1.15E+00	-3.59E+00	1.23E-04	1.41E+00	1.15E+00	-3.59E+00	-3.59E+00	-3.59E+00	1.41E+00	1.15E+00	1.42E+00
PIP3	-1.33E-04	1.35E-06	2.36E-04	7.30E-04	-2.28E+00	-1.14E-04	1.32E-04	1.51E-04	1.43E-04	-3.60E+00	0.00E+00	1.42E+00	1.15E+00	-1.31E-04	-5.33E-05	7.00E-04	-2.28E+00	-1.42E-04	-1.20E-04	-1.17E-04	-1.18E-04	-3.60E+00	-1.33E-04	1.42E+00	1.15E+00	2.38E-04	7.30E-04	-2.28E+00	-1.13E-04	1.34E-04	1.53E-04	1.45E-04	-3.60E+00	1.35E-06	1.42E+00	1.15E+00	8.07E-04	-2.28E+00	2.07E-04	2.39E-04	2.40E-04	2.39E-04	-3.60E+00	2.36E-04	1.42E+00	1.15E+00	-2.28E+00	6.98E-04	7.59E-04	7.62E-04	7.60E-04	-3.58E+00	7.30E-04	1.42E+00	1.15E+00	-2.28E+00	-2.28E+00	-2.28E+00	-2.28E+00	-6.76E+00	-2.28E+00	-2.26E+00	-2.26E+00	2.61E-05	1.35E-04	1.37E-04	-3.60E+00	-1.14E-04	1.42E+00	1.15E+00	1.54E-04	1.52E-04	-3.60E+00	1.32E-04	1.42E+00	1.15E+00	1.54E-04	-3.60E+00	1.51E-04	1.42E+00	1.15E+00	-3.60E+00	1.43E-04	1.42E+00	1.15E+00	-3.60E+00	-3.60E+00	-3.60E+00	1.42E+00	1.15E+00	1.42E+00
PDK1	-7.23E-05	5.51E-07	1.91E-04	2.76E-04	-1.70E+00	-1.06E-04	1.23E-04	1.40E-04	1.33E-04	-2.94E+00	0.00E+00	-2.46E+00	7.36E-01	-7.11E-05	-2.26E-05	2.58E-04	-1.70E+00	-8.08E-05	-6.05E-05	-5.74E-05	-5.83E-05	-2.94E+00	-7.23E-05	-2.46E+00	7.36E-01	1.92E-04	2.76E-04	-1.70E+00	-1.06E-04	1.24E-04	1.42E-04	1.34E-04	-2.94E+00	5.51E-07	-2.46E+00	7.36E-01	3.27E-04	-1.70E+00	1.63E-04	1.94E-04	1.94E-04	1.94E-04	-2.93E+00	1.91E-04	-2.46E+00	7.36E-01	-1.70E+00	2.46E-04	3.02E-04	3.06E-04	3.03E-04	-2.91E+00	2.76E-04	-2.46E+00	7.37E-01	-1.70E+00	-1.70E+00	-1.70E+00	-1.70E+00	-6.03E+00	-1.70E+00	-5.00E+00	-1.68E+00	2.27E-05	1.26E-04	1.27E-04	-2.94E+00	-1.06E-04	-2.46E+00	7.36E-01	1.43E-04	1.41E-04	-2.94E+00	1.23E-04	-2.46E+00	7.36E-01	1.43E-04	-2.93E+00	1.40E-04	-2.46E+00	7.36E-01	-2.93E+00	1.33E-04	-2.46E+00	7.36E-01	-2.94E+00	-6.25E+00	-2.93E+00	-2.46E+00	7.36E-01	-2.46E+00
