1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91
GS	-2.E-03	-4.E-01	-3.E+00	-5.E-01	9.E-01	2.E-04	3.E-09	3.E-09	3.E-09	-4.E-01	0.E+00	1.E-04	1.E-07	-4.E-01	-3.E+00	-5.E-01	9.E-01	-2.E-03	-2.E-03	-2.E-03	-2.E-03	-4.E-01	-2.E-03	-2.E-03	-2.E-03	-4.E+00	-1.E+00	7.E-01	-4.E-01	-4.E-01	-4.E-01	-4.E-01	-1.E+00	-4.E-01	-4.E-01	-4.E-01	-3.E+00	-2.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E-01	-5.E-01	-5.E-01	-5.E-01	-5.E-01	-5.E-01	-5.E-01	-5.E-01	-5.E-01	9.E-01	9.E-01	9.E-01	9.E-01	-2.E-01	9.E-01	9.E-01	9.E-01	2.E-04	2.E-04	2.E-04	-4.E-01	2.E-04	3.E-04	2.E-04	3.E-09	3.E-09	-4.E-01	3.E-09	1.E-04	1.E-07	3.E-09	-4.E-01	3.E-09	1.E-04	1.E-07	-4.E-01	3.E-09	1.E-04	1.E-07	-4.E-01	-4.E-01	-4.E-01	1.E-04	1.E-07	1.E-04
GAB1	-7.E-03	1.E-02	1.E-01	-3.E+00	2.E+00	2.E-04	8.E-09	8.E-09	7.E-09	-3.E+00	0.E+00	4.E-04	4.E-07	8.E-03	1.E-01	-3.E+00	2.E+00	-6.E-03	-7.E-03	-7.E-03	-7.E-03	-3.E+00	-7.E-03	-6.E-03	-7.E-03	1.E-01	-3.E+00	2.E+00	1.E-02	1.E-02	1.E-02	1.E-02	-3.E+00	1.E-02	1.E-02	1.E-02	-3.E+00	2.E+00	1.E-01	1.E-01	1.E-01	1.E-01	-3.E+00	1.E-01	1.E-01	1.E-01	-1.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-6.E+00	-3.E+00	-3.E+00	-3.E+00	2.E+00	2.E+00	2.E+00	2.E+00	-9.E-01	2.E+00	2.E+00	2.E+00	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	5.E-04	2.E-04	8.E-09	8.E-09	-3.E+00	8.E-09	4.E-04	4.E-07	8.E-09	-3.E+00	8.E-09	4.E-04	4.E-07	-3.E+00	7.E-09	4.E-04	4.E-07	-3.E+00	-3.E+00	-3.E+00	4.E-04	4.E-07	4.E-04
IRS	-7.E-05	2.E-04	1.E-03	2.E-02	6.E-01	2.E-06	2.E-10	2.E-10	2.E-10	-3.E+00	0.E+00	3.E-04	1.E-06	2.E-04	1.E-03	2.E-02	6.E-01	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	2.E-04	-7.E-05	2.E-03	2.E-02	6.E-01	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	5.E-04	2.E-04	2.E-02	6.E-01	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	2.E-03	1.E-03	6.E-01	2.E-02	2.E-02	2.E-02	2.E-02	-3.E+00	2.E-02	2.E-02	2.E-02	6.E-01	6.E-01	6.E-01	6.E-01	-2.E+00	6.E-01	6.E-01	6.E-01	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	3.E-04	3.E-06	2.E-10	2.E-10	-3.E+00	2.E-10	3.E-04	1.E-06	2.E-10	-3.E+00	2.E-10	3.E-04	1.E-06	-3.E+00	2.E-10	3.E-04	1.E-06	-3.E+00	-3.E+00	-3.E+00	3.E-04	1.E-06	3.E-04
RasGAP	-5.E-05	2.E-02	2.E-02	-9.E-03	1.E+00	-3.E+00	4.E-11	5.E-11	4.E-11	5.E-03	0.E+00	3.E-06	-3.E-09	2.E-02	2.E-02	-9.E-03	1.E+00	-3.E+00	-5.E-05	-5.E-05	-5.E-05	5.E-03	-5.E-05	-4.E-05	-5.E-05	3.E-02	7.E-03	1.E+00	-3.E+00	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	7.E-03	1.E+00	-3.E+00	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	2.E-02	1.E+00	-3.E+00	-9.E-03	-9.E-03	-9.E-03	4.E-03	-9.E-03	-9.E-03	-9.E-03	-2.E+00	1.E+00	1.E+00	1.E+00	1.E+00	1.E+00	1.E+00	1.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	5.E-11	5.E-11	5.E-03	4.E-11	3.E-06	-3.E-09	5.E-11	5.E-03	5.E-11	3.E-06	-3.E-09	5.E-03	4.E-11	3.E-06	-3.E-09	5.E-03	5.E-03	5.E-03	3.E-06	-3.E-09	3.E-06
RAS	-2.E-03	-4.E-01	-3.E+00	-4.E-01	8.E-01	2.E-02	-2.E+00	2.E-09	2.E-09	-4.E-01	0.E+00	1.E-04	1.E-07	-4.E-01	-3.E+00	-4.E-01	8.E-01	1.E-02	-2.E+00	-2.E-03	-2.E-03	-4.E-01	-2.E-03	-2.E-03	-2.E-03	-4.E+00	-1.E+00	6.E-01	-4.E-01	-2.E+00	-4.E-01	-4.E-01	-1.E+00	-4.E-01	-4.E-01	-4.E-01	-3.E+00	-2.E+00	-3.E+00	-4.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E-01	-4.E-01	-2.E+00	-4.E-01	-4.E-01	-5.E-01	-4.E-01	-4.E-01	-4.E-01	9.E-01	-9.E-01	8.E-01	8.E-01	-2.E-01	8.E-01	8.E-01	8.E-01	-2.E+00	2.E-02	2.E-02	-4.E-01	2.E-02	2.E-02	2.E-02	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	2.E-09	-4.E-01	2.E-09	1.E-04	1.E-07	-4.E-01	2.E-09	1.E-04	1.E-07	-4.E-01	-4.E-01	-4.E-01	1.E-04	1.E-07	1.E-04
RAF	3.E-03	-5.E-01	-2.E+00	-4.E-01	7.E-01	1.E-02	-2.E+00	-3.E+00	6.E-10	-3.E-01	0.E+00	2.E-04	1.E-07	-5.E-01	-2.E+00	-4.E-01	7.E-01	2.E-02	-2.E+00	-3.E+00	3.E-03	-3.E-01	3.E-03	3.E-03	3.E-03	-4.E+00	-1.E+00	5.E-01	-5.E-01	-2.E+00	-4.E+00	-5.E-01	-1.E+00	-5.E-01	-5.E-01	-5.E-01	-3.E+00	-2.E+00	-2.E+00	-4.E+00	-5.E+00	-2.E+00	-3.E+00	-2.E+00	-2.E+00	-2.E+00	-3.E-01	-4.E-01	-2.E+00	-3.E+00	-4.E-01	-4.E-01	-4.E-01	-4.E-01	-4.E-01	8.E-01	-1.E+00	-2.E+00	7.E-01	-2.E-01	7.E-01	7.E-01	7.E-01	-2.E+00	-3.E+00	1.E-02	-3.E-01	1.E-02	1.E-02	1.E-02	-5.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E-01	6.E-10	2.E-04	1.E-07	-3.E-01	-3.E-01	-3.E-01	2.E-04	1.E-07	2.E-04
MEK	-1.E+00	-5.E-01	-2.E+00	-3.E-01	2.E+00	1.E-02	-2.E+00	-3.E+00	-1.E+00	-3.E-01	0.E+00	2.E-04	9.E-08	-2.E+00	-4.E+00	-2.E+00	5.E-01	-1.E+00	-3.E+00	-4.E+00	-3.E+00	-2.E+00	-1.E+00	-1.E+00	-1.E+00	-4.E+00	-1.E+00	2.E+00	-4.E-01	-2.E+00	-3.E+00	-2.E+00	-9.E-01	-5.E-01	-5.E-01	-5.E-01	-3.E+00	-7.E-01	-2.E+00	-4.E+00	-5.E+00	-4.E+00	-3.E+00	-2.E+00	-2.E+00	-2.E+00	1.E+00	-3.E-01	-2.E+00	-3.E+00	-2.E+00	-3.E-01	-3.E-01	-3.E-01	-3.E-01	2.E+00	3.E-01	-1.E+00	4.E-01	1.E+00	2.E+00	2.E+00	2.E+00	-2.E+00	-3.E+00	-1.E+00	-3.E-01	1.E-02	1.E-02	1.E-02	-5.E+00	-3.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-4.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-2.E+00	-1.E+00	-1.E+00	-1.E+00	-3.E-01	-3.E-01	-3.E-01	2.E-04	9.E-08	2.E-04
PI3K	-7.E-05	2.E-04	1.E-03	-1.E-02	2.E+00	2.E-06	9.E-11	1.E-10	9.E-11	-3.E+00	0.E+00	3.E-05	8.E-08	2.E-04	1.E-03	-1.E-02	2.E+00	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	-4.E-05	-7.E-05	2.E-03	-1.E-02	2.E+00	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	2.E-04	2.E-04	-1.E-02	2.E+00	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	1.E-03	1.E-03	2.E+00	-1.E-02	-1.E-02	-1.E-02	-1.E-02	-3.E+00	-1.E-02	-1.E-02	-1.E-02	2.E+00	2.E+00	2.E+00	2.E+00	-1.E+00	2.E+00	2.E+00	2.E+00	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	3.E-05	2.E-06	1.E-10	1.E-10	-3.E+00	9.E-11	3.E-05	8.E-08	1.E-10	-3.E+00	1.E-10	3.E-05	8.E-08	-3.E+00	9.E-11	3.E-05	8.E-08	-3.E+00	-3.E+00	-3.E+00	3.E-05	8.E-08	3.E-05
PIP3	-7.E-05	2.E-04	1.E-03	2.E-02	2.E+00	2.E-06	2.E-10	2.E-10	2.E-10	-3.E+00	0.E+00	2.E-04	4.E-07	2.E-04	1.E-03	2.E-02	2.E+00	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	1.E-04	-7.E-05	2.E-03	2.E-02	2.E+00	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	4.E-04	2.E-04	2.E-02	2.E+00	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	2.E-03	1.E-03	2.E+00	2.E-02	2.E-02	2.E-02	2.E-02	-3.E+00	2.E-02	2.E-02	2.E-02	2.E+00	2.E+00	2.E+00	2.E+00	-1.E+00	2.E+00	2.E+00	2.E+00	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	2.E-04	3.E-06	3.E-10	2.E-10	-3.E+00	2.E-10	2.E-04	4.E-07	3.E-10	-3.E+00	2.E-10	2.E-04	4.E-07	-3.E+00	2.E-10	2.E-04	4.E-07	-3.E+00	-3.E+00	-3.E+00	2.E-04	4.E-07	2.E-04
PDK1	-7.E-05	2.E-04	1.E-03	2.E-02	2.E+00	2.E-06	2.E-10	2.E-10	2.E-10	-3.E+00	0.E+00	-3.E+00	4.E-07	2.E-04	1.E-03	2.E-02	2.E+00	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	-3.E+00	-7.E-05	2.E-03	2.E-02	2.E+00	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	-3.E+00	2.E-04	2.E-02	2.E+00	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	-3.E+00	1.E-03	2.E+00	2.E-02	2.E-02	2.E-02	2.E-02	-3.E+00	2.E-02	-3.E+00	2.E-02	2.E+00	2.E+00	2.E+00	2.E+00	-1.E+00	2.E+00	-1.E+00	2.E+00	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	-3.E+00	3.E-06	3.E-10	2.E-10	-3.E+00	2.E-10	-3.E+00	4.E-07	3.E-10	-3.E+00	2.E-10	-3.E+00	4.E-07	-3.E+00	2.E-10	-3.E+00	4.E-07	-3.E+00	-7.E+00	-3.E+00	-3.E+00	4.E-07	-3.E+00
mTOR	-7.E-05	2.E-04	1.E-03	2.E-02	2.E+00	2.E-06	2.E-10	2.E-10	2.E-10	-3.E+00	0.E+00	-3.E+00	-2.E+00	2.E-04	1.E-03	2.E-02	2.E+00	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	-3.E+00	-2.E+00	2.E-03	2.E-02	2.E+00	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	-3.E+00	-2.E+00	2.E-02	2.E+00	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	-3.E+00	-2.E+00	2.E+00	2.E-02	2.E-02	2.E-02	2.E-02	-3.E+00	2.E-02	-3.E+00	-2.E+00	2.E+00	2.E+00	2.E+00	2.E+00	-1.E+00	2.E+00	-1.E+00	-5.E-01	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	-3.E+00	-2.E+00	3.E-10	2.E-10	-3.E+00	2.E-10	-3.E+00	-2.E+00	3.E-10	-3.E+00	2.E-10	-3.E+00	-2.E+00	-3.E+00	2.E-10	-3.E+00	-2.E+00	-3.E+00	-7.E+00	-6.E+00	-3.E+00	-2.E+00	-6.E+00
ERK	-1.E+00	-5.E-01	-2.E+00	-3.E-01	2.E+00	1.E-02	-2.E+00	-3.E+00	-1.E+00	-3.E-01	0.E+00	2.E-04	9.E-08	-2.E+00	-4.E+00	-2.E+00	5.E-01	-1.E+00	-3.E+00	-4.E+00	-3.E+00	-2.E+00	-1.E+00	-1.E+00	-1.E+00	-4.E+00	-1.E+00	2.E+00	-5.E-01	-2.E+00	-3.E+00	-2.E+00	-9.E-01	-5.E-01	-5.E-01	-5.E-01	-3.E+00	-7.E-01	-2.E+00	-4.E+00	-5.E+00	-4.E+00	-3.E+00	-2.E+00	-2.E+00	-2.E+00	1.E+00	-3.E-01	-2.E+00	-3.E+00	-2.E+00	-3.E-01	-3.E-01	-3.E-01	-3.E-01	2.E+00	3.E-01	-1.E+00	4.E-01	1.E+00	2.E+00	2.E+00	2.E+00	-2.E+00	-3.E+00	-1.E+00	-3.E-01	1.E-02	1.E-02	1.E-02	-5.E+00	-3.E+00	-2.E+00	-2.E+00	-2.E+00	-2.E+00	-4.E+00	-3.E+00	-3.E+00	-3.E+00	-3.E+00	-2.E+00	-1.E+00	-1.E+00	-1.E+00	-3.E-01	-3.E-01	-3.E-01	2.E-04	9.E-08	2.E-04
AKT	-7.E-05	2.E-04	1.E-03	2.E-02	2.E+00	2.E-06	2.E-10	2.E-10	2.E-10	-3.E+00	0.E+00	-3.E+00	-3.E-07	2.E-04	1.E-03	2.E-02	2.E+00	-7.E-05	-7.E-05	-7.E-05	-7.E-05	-3.E+00	-7.E-05	-3.E+00	-7.E-05	2.E-03	2.E-02	2.E+00	2.E-04	2.E-04	2.E-04	2.E-04	-3.E+00	2.E-04	-3.E+00	2.E-04	2.E-02	2.E+00	1.E-03	1.E-03	1.E-03	1.E-03	-3.E+00	1.E-03	-3.E+00	1.E-03	2.E+00	2.E-02	2.E-02	2.E-02	2.E-02	-3.E+00	2.E-02	-3.E+00	2.E-02	2.E+00	2.E+00	2.E+00	2.E+00	-1.E+00	2.E+00	-1.E+00	2.E+00	2.E-06	2.E-06	2.E-06	-3.E+00	2.E-06	-3.E+00	2.E-06	3.E-10	2.E-10	-3.E+00	2.E-10	-3.E+00	-3.E-07	3.E-10	-3.E+00	2.E-10	-3.E+00	-3.E-07	-3.E+00	2.E-10	-3.E+00	-3.E-07	-3.E+00	-7.E+00	-3.E+00	-3.E+00	-3.E-07	-3.E+00
