1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	-9.73E-04	-2.21E-01	-9.36E-01	-2.87E-01	2.64E-01	-1.75E+00	1.38E+00	3.53E+00	4.81E+00	-1.32E-01	0.00E+00	-8.07E-01	-6.07E-01	-2.22E-01	-9.38E-01	-2.87E-01	2.62E-01	-1.75E+00	1.38E+00	3.56E+00	4.81E+00	-1.33E-01	-9.73E-04	-8.08E-01	-6.08E-01	-1.05E+00	-8.35E-01	1.20E-01	-2.15E+00	1.32E+00	3.57E+00	4.83E+00	-1.87E-01	-2.21E-01	-8.72E-01	-7.46E-01	-1.37E+00	-6.67E-01	-3.16E+00	1.42E+00	2.48E+00	2.31E+00	-6.54E-01	-9.36E-01	-1.21E+00	-1.22E+00	4.74E-01	-1.93E+00	8.86E-01	1.49E+00	1.54E+00	-1.16E-01	-2.87E-01	-1.14E+00	-9.01E-01	-1.62E+00	1.61E+00	3.57E+00	4.78E+00	3.43E-01	2.64E-01	1.69E-01	1.81E-01	-5.30E-01	3.23E+00	4.80E+00	-1.74E+00	-1.75E+00	-2.03E+00	-2.05E+00	5.11E+00	5.02E+00	1.63E+00	1.38E+00	9.12E-01	9.81E-01	5.20E+00	3.57E+00	3.53E+00	4.21E+00	3.95E+00	4.09E+00	4.81E+00	5.59E+00	5.34E+00	-1.32E-01	-1.34E-01	-1.33E-01	-8.07E-01	-6.07E-01	-8.14E-01
GAB1	-3.69E-04	1.87E-01	1.22E+00	-2.84E+00	3.67E-01	-8.69E-01	8.67E-01	2.19E+00	2.98E+00	9.68E-01	0.00E+00	-2.75E-01	-2.41E-01	1.87E-01	1.22E+00	-2.84E+00	3.65E-01	-8.70E-01	8.67E-01	2.21E+00	2.98E+00	9.67E-01	-3.69E-04	-2.78E-01	-2.43E-01	1.38E+00	-2.64E+00	5.63E-01	-5.99E-01	1.02E+00	2.28E+00	3.02E+00	1.21E+00	1.87E-01	1.08E-01	7.01E-02	-1.78E+00	1.57E+00	-1.88E-01	3.03E+00	3.98E+00	3.81E+00	2.03E+00	1.22E+00	1.28E+00	1.15E+00	-2.50E+00	-3.65E+00	-2.09E+00	-1.82E+00	-1.78E+00	-1.86E+00	-2.84E+00	-2.87E+00	-2.83E+00	-6.61E-01	1.14E+00	2.25E+00	2.96E+00	1.32E+00	3.67E-01	4.64E-01	3.99E-01	-1.42E-01	2.01E+00	2.98E+00	-9.05E-02	-8.69E-01	-1.25E+00	-1.27E+00	3.18E+00	3.12E+00	1.88E+00	8.67E-01	7.99E-01	7.56E-01	3.24E+00	2.49E+00	2.19E+00	2.79E+00	2.55E+00	2.45E+00	2.98E+00	3.76E+00	3.50E+00	9.68E-01	9.66E-01	9.66E-01	-2.75E-01	-2.41E-01	-2.78E-01
IRS	-4.48E-04	-6.12E-02	-5.05E-01	5.69E-01	-2.40E+00	1.09E-01	-3.86E-01	-8.36E-01	-8.86E-01	2.30E+00	0.00E+00	3.80E+00	2.82E+00	-6.16E-02	-5.06E-01	5.69E-01	-2.40E+00	1.09E-01	-3.87E-01	-8.38E-01	-8.85E-01	2.30E+00	-4.48E-04	3.80E+00	2.82E+00	-5.52E-01	5.49E-01	-2.54E+00	7.24E-02	-4.35E-01	-8.43E-01	-8.86E-01	2.36E+00	-6.12E-02	3.81E+00	2.83E+00	4.48E-01	-3.49E+00	8.18E-02	-9.99E-01	-9.81E-01	-9.88E-01	2.55E+00	-5.05E-01	3.87E+00	2.87E+00	-7.00E-01	5.99E-01	4.95E-01	4.58E-01	4.53E-01	1.78E+00	5.69E-01	3.75E+00	2.81E+00	-2.34E+00	-3.19E+00	-3.87E+00	-3.97E+00	-2.34E-01	-2.40E+00	1.54E-01	-4.25E-01	-1.30E-01	-8.36E-01	-8.85E-01	2.08E+00	1.09E-01	3.77E+00	2.78E+00	-8.90E-01	-8.89E-01	2.51E+00	-3.86E-01	3.84E+00	2.85E+00	-8.88E-01	2.65E+00	-8.36E-01	4.01E+00	3.00E+00	2.64E+00	-8.86E-01	4.13E+00	3.15E+00	2.30E+00	2.30E+00	2.30E+00	3.80E+00	2.82E+00	3.82E+00
RasGAP	4.09E-04	9.39E-02	-2.99E-01	2.36E-01	1.67E-01	-3.14E+00	-2.53E-01	-5.27E-01	-3.36E-01	-8.45E-01	0.00E+00	-1.79E+00	-1.19E+00	9.43E-02	-2.98E-01	2.36E-01	1.69E-01	-3.14E+00	-2.52E-01	-5.27E-01	-3.36E-01	-8.45E-01	4.09E-04	-1.79E+00	-1.19E+00	-2.27E-01	3.75E-01	2.23E-01	-3.03E+00	-1.67E-01	-4.35E-01	-2.72E-01	-7.45E-01	9.39E-02	-1.62E+00	-1.06E+00	2.21E-01	-2.89E-01	-3.25E+00	-2.76E-01	3.00E-01	1.79E-01	-7.85E-01	-2.99E-01	-1.45E+00	-1.10E+00	6.74E-01	-3.03E+00	1.44E-01	7.69E-02	6.88E-02	-4.15E-01	2.36E-01	-1.93E+00	-1.21E+00	-2.80E+00	-1.92E-01	-4.85E-01	-3.30E-01	-3.02E-01	1.67E-01	-1.60E-01	-3.93E-02	-3.27E+00	-3.86E+00	-3.66E+00	-4.04E+00	-3.14E+00	-5.19E+00	-4.50E+00	-2.40E-01	-2.72E-01	-8.42E-01	-2.53E-01	-1.62E+00	-1.18E+00	-2.08E-01	-6.96E-01	-5.27E-01	-7.21E-01	-7.41E-01	-7.25E-01	-3.36E-01	1.33E-02	-1.44E-01	-8.45E-01	-8.45E-01	-8.45E-01	-1.79E+00	-1.19E+00	-1.81E+00
RAS	-1.43E-03	-3.24E-01	-6.55E-01	-5.37E-01	1.00E-01	1.44E+00	-1.96E-01	4.86E+00	5.98E+00	7.41E-01	0.00E+00	1.02E+00	6.04E-01	-3.26E-01	-6.56E-01	-5.37E-01	9.73E-02	1.44E+00	-1.97E-01	4.90E+00	5.98E+00	7.40E-01	-1.43E-03	1.02E+00	6.02E-01	-8.46E-01	-1.24E+00	-1.06E-01	8.99E-01	-3.27E-01	4.78E+00	5.96E+00	5.78E-01	-3.24E-01	7.75E-01	3.23E-01	-1.62E+00	-3.89E-01	5.97E-02	-1.30E-01	2.35E+00	2.30E+00	1.34E-01	-6.55E-01	2.38E-01	-1.26E-01	-2.05E-01	1.14E+00	-1.05E+00	1.49E+00	1.56E+00	3.10E-01	-5.37E-01	8.18E-01	3.17E-01	1.23E+00	-3.20E-02	4.85E+00	5.96E+00	6.71E-01	1.00E-01	3.40E-01	2.28E-01	7.94E-01	6.32E+00	6.36E+00	2.45E+00	1.44E+00	3.51E+00	2.63E+00	2.50E+00	2.47E+00	5.73E-01	-1.96E-01	6.22E-01	2.92E-01	6.09E+00	5.17E+00	4.86E+00	5.86E+00	5.67E+00	5.77E+00	5.98E+00	6.14E+00	6.11E+00	7.41E-01	7.40E-01	7.40E-01	1.02E+00	6.04E-01	1.03E+00
RAF	1.39E-02	-3.31E-01	-6.02E-01	-4.73E-01	8.28E-02	1.52E+00	-1.38E-01	3.98E-01	3.99E+00	7.77E-01	0.00E+00	1.02E+00	6.31E-01	-3.19E-01	-5.89E-01	-4.57E-01	9.53E-02	1.54E+00	-1.23E-01	4.15E-01	3.99E+00	7.90E-01	1.39E-02	1.04E+00	6.44E-01	-7.96E-01	-1.16E+00	-1.36E-01	9.69E-01	-2.71E-01	3.72E-01	3.98E+00	6.12E-01	-3.31E-01	7.36E-01	3.27E-01	-1.50E+00	-3.53E-01	5.16E-02	-5.76E-02	-1.01E+00	2.10E+00	2.13E-01	-6.02E-01	2.88E-01	-4.56E-02	-1.40E-01	1.17E+00	-9.38E-01	-1.65E+00	1.52E+00	3.96E-01	-4.73E-01	8.22E-01	3.74E-01	1.31E+00	1.32E-02	3.94E-01	3.98E+00	7.10E-01	8.28E-02	3.16E-01	2.09E-01	8.75E-01	7.34E-01	4.06E+00	2.47E+00	1.52E+00	3.12E+00	2.58E+00	-9.02E-01	2.24E+00	6.56E-01	-1.38E-01	6.83E-01	3.81E-01	6.93E-01	4.88E-01	3.98E-01	6.55E-01	6.14E-01	3.94E+00	3.99E+00	4.02E+00	4.01E+00	7.77E-01	7.77E-01	7.77E-01	1.02E+00	6.31E-01	1.03E+00
MEK	-2.35E-03	-3.36E-01	-5.96E-01	-4.64E-01	7.72E-02	1.58E+00	-1.23E-01	4.20E-01	-2.90E-01	8.03E-01	0.00E+00	1.05E+00	6.56E-01	-3.39E-01	-5.98E-01	-4.65E-01	7.32E-02	1.58E+00	-1.24E-01	4.20E-01	-2.92E-01	8.02E-01	-2.35E-03	1.04E+00	6.55E-01	-7.91E-01	-1.15E+00	-1.48E-01	1.02E+00	-2.57E-01	3.96E-01	-2.90E-01	6.34E-01	-3.36E-01	7.42E-01	3.41E-01	-1.49E+00	-3.50E-01	5.01E-02	-3.76E-02	-1.01E+00	-6.87E-01	2.37E-01	-5.96E-01	3.05E-01	-2.22E-02	-1.28E-01	1.20E+00	-9.22E-01	-1.64E+00	-9.21E-01	4.25E-01	-4.64E-01	8.37E-01	3.98E-01	1.37E+00	2.54E-02	4.15E-01	-2.90E-01	7.32E-01	7.72E-02	3.11E-01	2.06E-01	9.18E-01	7.41E-01	-2.82E-01	2.40E+00	1.58E+00	2.77E+00	2.48E+00	-9.00E-01	-6.42E-01	6.90E-01	-1.23E-01	7.12E-01	4.16E-01	-1.38E+00	5.03E-01	4.20E-01	6.66E-01	6.28E-01	-2.94E-01	-2.90E-01	-2.86E-01	-2.87E-01	8.03E-01	8.03E-01	8.03E-01	1.05E+00	6.56E-01	1.06E+00
PI3K	-3.29E-04	7.27E-02	5.57E-01	-3.82E-01	-2.31E-01	-2.90E-01	3.58E-01	1.15E+00	1.63E+00	-2.19E+00	0.00E+00	1.94E+00	1.41E+00	7.24E-02	5.57E-01	-3.82E-01	-2.32E-01	-2.90E-01	3.57E-01	1.16E+00	1.63E+00	-2.19E+00	-3.29E-04	1.94E+00	1.41E+00	6.56E-01	-3.70E-01	-9.59E-02	-2.09E-01	4.46E-01	1.21E+00	1.65E+00	-2.10E+00	7.27E-02	1.96E+00	1.45E+00	-3.25E-01	6.17E-01	-5.09E-02	1.65E+00	2.11E+00	2.04E+00	-1.82E+00	5.57E-01	2.05E+00	1.61E+00	-1.11E+00	-4.14E-01	-3.49E-01	-3.31E-01	-3.29E-01	-2.91E+00	-3.82E-01	1.87E+00	1.29E+00	-8.84E-01	2.98E-01	1.11E+00	1.58E+00	-2.77E+00	-2.31E-01	2.70E-01	7.94E-02	-1.09E-01	1.04E+00	1.63E+00	-2.51E+00	-2.90E-01	1.90E+00	1.32E+00	1.74E+00	1.71E+00	-1.88E+00	3.58E-01	2.00E+00	1.54E+00	1.77E+00	-1.66E+00	1.15E+00	2.24E+00	1.94E+00	-1.67E+00	1.63E+00	2.38E+00	2.19E+00	-2.19E+00	-2.19E+00	-2.19E+00	1.94E+00	1.41E+00	1.95E+00
PIP3	-3.29E-04	7.27E-02	5.57E-01	-3.82E-01	-2.31E-01	-2.90E-01	3.58E-01	1.15E+00	1.63E+00	-2.19E+00	0.00E+00	1.94E+00	1.41E+00	7.24E-02	5.56E-01	-3.82E-01	-2.32E-01	-2.90E-01	3.58E-01	1.16E+00	1.63E+00	-2.19E+00	-3.29E-04	1.93E+00	1.41E+00	6.55E-01	-3.70E-01	-9.60E-02	-2.10E-01	4.46E-01	1.21E+00	1.65E+00	-2.10E+00	7.27E-02	1.96E+00	1.45E+00	-3.25E-01	6.17E-01	-5.09E-02	1.65E+00	2.11E+00	2.04E+00	-1.82E+00	5.57E-01	2.05E+00	1.61E+00	-1.11E+00	-4.14E-01	-3.49E-01	-3.31E-01	-3.29E-01	-2.91E+00	-3.82E-01	1.87E+00	1.29E+00	-8.84E-01	2.98E-01	1.11E+00	1.58E+00	-2.77E+00	-2.31E-01	2.70E-01	7.93E-02	-1.09E-01	1.04E+00	1.63E+00	-2.51E+00	-2.90E-01	1.90E+00	1.32E+00	1.74E+00	1.71E+00	-1.88E+00	3.58E-01	2.00E+00	1.54E+00	1.77E+00	-1.66E+00	1.15E+00	2.24E+00	1.94E+00	-1.67E+00	1.63E+00	2.38E+00	2.19E+00	-2.19E+00	-2.19E+00	-2.19E+00	1.94E+00	1.41E+00	1.95E+00
PDK1	-2.37E-04	5.18E-02	3.77E-01	-2.84E-01	-1.69E-01	-2.14E-01	2.48E-01	7.26E-01	9.59E-01	-1.83E+00	0.00E+00	-2.23E+00	8.57E-01	5.16E-02	3.76E-01	-2.84E-01	-1.70E-01	-2.14E-01	2.47E-01	7.30E-01	9.59E-01	-1.83E+00	-2.37E-04	-2.23E+00	8.57E-01	4.38E-01	-2.75E-01	-6.96E-02	-1.53E-01	3.06E-01	7.55E-01	9.68E-01	-1.75E+00	5.18E-02	-2.22E+00	8.76E-01	-2.40E-01	4.14E-01	-3.67E-02	9.71E-01	1.16E+00	1.13E+00	-1.49E+00	3.77E-01	-2.19E+00	9.52E-01	-8.70E-01	-3.09E-01	-2.58E-01	-2.45E-01	-2.43E-01	-2.51E+00	-2.84E-01	-2.26E+00	7.98E-01	-6.84E-01	2.07E-01	7.02E-01	9.35E-01	-2.37E+00	-1.69E-01	-3.13E+00	5.64E-02	-7.88E-02	6.64E-01	9.58E-01	-2.13E+00	-2.14E-01	-2.25E+00	8.11E-01	1.01E+00	9.93E-01	-1.54E+00	2.48E-01	-2.21E+00	9.20E-01	1.02E+00	-1.35E+00	7.26E-01	-2.12E+00	1.09E+00	-1.36E+00	9.59E-01	-2.07E+00	1.19E+00	-1.83E+00	-5.15E+00	-1.83E+00	-2.23E+00	8.57E-01	-2.23E+00
