1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	-2.10E-03	-1.42E-01	-9.44E-01	2.39E-01	-4.72E-04	-1.89E+00	1.34E+00	3.26E+00	4.45E+00	2.77E-01	0.00E+00	-2.30E-02	-1.91E-02	-1.45E-01	-9.46E-01	2.40E-01	-2.70E-03	-1.89E+00	1.34E+00	3.28E+00	4.45E+00	2.79E-01	-2.10E-03	-2.52E-02	-2.13E-02	-9.82E-01	1.08E-01	-1.38E-01	-2.23E+00	1.33E+00	3.31E+00	4.47E+00	6.09E-01	-1.42E-01	-1.61E-01	-1.57E-01	-1.52E+00	-9.41E-01	-3.17E+00	1.14E+00	2.13E+00	1.98E+00	-6.98E-01	-9.44E-01	-9.58E-01	-9.52E-01	2.38E-01	-1.63E+00	7.60E-01	8.01E-01	7.80E-01	3.51E-01	2.39E-01	2.39E-01	2.39E-01	-1.89E+00	1.34E+00	3.26E+00	4.45E+00	2.86E-01	-4.72E-04	-8.59E-03	-5.09E-03	-7.05E-01	2.90E+00	4.44E+00	-1.84E+00	-1.89E+00	-1.92E+00	-1.91E+00	4.74E+00	4.65E+00	1.80E+00	1.34E+00	1.32E+00	1.33E+00	4.81E+00	1.64E+00	3.26E+00	3.27E+00	3.27E+00	1.68E+00	4.45E+00	4.47E+00	4.46E+00	2.77E-01	2.76E-01	2.77E-01	-2.30E-02	-1.91E-02	-2.30E-02
GAB1	-2.89E-03	2.24E-01	1.26E+00	-5.37E+00	-5.83E-03	-1.22E+00	8.12E-01	1.91E+00	2.61E+00	1.13E+00	0.00E+00	2.44E-03	2.13E-03	2.21E-01	1.26E+00	-5.37E+00	-8.97E-03	-1.22E+00	8.10E-01	1.92E+00	2.61E+00	1.13E+00	-2.89E-03	-6.59E-04	-9.59E-04	1.44E+00	-5.33E+00	2.26E-01	-8.62E-01	9.82E-01	2.00E+00	2.64E+00	1.36E+00	2.24E-01	2.34E-01	2.32E-01	-5.07E+00	1.27E+00	-1.79E-01	2.73E+00	3.60E+00	3.45E+00	1.66E+00	1.26E+00	1.26E+00	1.26E+00	-5.57E+00	-5.25E+00	-5.55E+00	-5.57E+00	-5.56E+00	-6.90E+00	-5.37E+00	-5.37E+00	-5.37E+00	-1.26E+00	8.15E-01	1.91E+00	2.61E+00	1.13E+00	-5.83E-03	-8.91E-04	-5.64E-03	-4.75E-01	1.70E+00	2.60E+00	-2.59E-01	-1.22E+00	-1.22E+00	-1.22E+00	2.78E+00	2.73E+00	-6.39E-01	8.12E-01	8.18E-01	8.15E-01	2.83E+00	-1.33E+00	1.91E+00	1.92E+00	1.92E+00	-1.15E+00	2.61E+00	2.63E+00	2.62E+00	1.13E+00	1.13E+00	1.13E+00	2.44E-03	2.13E-03	2.46E-03
IRS	1.65E-03	-4.03E-01	-1.91E+00	2.64E-01	-3.26E+00	1.18E-01	-1.62E+00	-2.20E+00	-2.27E+00	1.49E+00	0.00E+00	2.03E+00	1.94E+00	-3.99E-01	-1.91E+00	2.64E-01	-3.26E+00	1.15E-01	-1.61E+00	-2.21E+00	-2.27E+00	1.49E+00	1.65E-03	2.03E+00	1.94E+00	-1.96E+00	3.96E-01	-3.69E+00	1.60E-01	-1.73E+00	-2.18E+00	-2.23E+00	1.67E+00	-4.03E-01	2.18E+00	2.04E+00	4.15E-01	-5.20E+00	3.17E-01	-2.25E+00	-2.22E+00	-2.23E+00	1.70E+00	-1.91E+00	2.48E+00	2.05E+00	-1.72E+00	3.76E-01	1.61E-01	1.51E-01	1.56E-01	-2.25E+00	2.64E-01	2.67E-01	2.67E-01	-3.11E+00	-4.90E+00	-5.49E+00	-5.56E+00	-1.93E-01	-3.26E+00	4.99E-01	-2.90E-01	-1.71E-01	-2.17E+00	-2.27E+00	8.26E-01	1.18E-01	1.62E+00	1.54E+00	-2.28E+00	-2.27E+00	4.96E-01	-1.62E+00	2.31E+00	2.00E+00	-2.28E+00	5.63E-02	-2.20E+00	2.64E+00	2.04E+00	1.77E-01	-2.27E+00	2.81E+00	2.12E+00	1.49E+00	1.49E+00	1.49E+00	2.03E+00	1.94E+00	2.03E+00
RasGAP	1.64E-03	3.15E-02	-5.53E-01	1.02E+00	9.45E-03	-2.89E+00	-4.38E-01	-7.59E-01	-6.14E-01	-4.66E-01	0.00E+00	-3.02E-02	-2.83E-02	3.32E-02	-5.52E-01	1.02E+00	1.12E-02	-2.89E+00	-4.37E-01	-7.58E-01	-6.14E-01	-4.65E-01	1.64E-03	-2.85E-02	-2.66E-02	-5.00E-01	1.13E+00	3.55E-02	-2.84E+00	-3.81E-01	-6.69E-01	-5.48E-01	-4.29E-01	3.15E-02	-2.92E-03	4.11E-04	1.09E+00	-5.54E-01	-3.18E+00	-5.24E-01	-3.38E-03	-1.09E-01	-5.88E-01	-5.53E-01	-5.72E-01	-5.68E-01	1.04E+00	-2.24E+00	9.67E-01	9.62E-01	9.65E-01	1.17E+00	1.02E+00	1.02E+00	1.02E+00	-2.87E+00	-4.38E-01	-7.58E-01	-6.14E-01	-4.59E-01	9.45E-03	-4.59E-03	2.42E-03	-3.17E+00	-4.08E+00	-3.94E+00	-3.20E+00	-2.89E+00	-2.92E+00	-2.92E+00	-5.38E-01	-5.64E-01	3.20E-01	-4.38E-01	-4.62E-01	-4.58E-01	-5.14E-01	5.17E-01	-7.59E-01	-7.67E-01	-7.65E-01	4.70E-01	-6.14E-01	-6.11E-01	-6.13E-01	-4.66E-01	-4.66E-01	-4.66E-01	-3.02E-02	-2.83E-02	-3.02E-02
RAS	-3.86E-03	-1.79E-01	-4.03E-01	-7.97E-01	-1.02E-02	1.03E+00	-6.21E-02	4.82E+00	5.92E+00	7.75E-01	0.00E+00	7.39E-03	9.42E-03	-1.83E-01	-4.07E-01	-7.97E-01	-1.43E-02	1.03E+00	-6.50E-02	4.85E+00	5.92E+00	7.76E-01	-3.86E-03	3.42E-03	5.44E-03	-4.96E-01	-1.04E+00	-1.79E-01	6.20E-01	-1.22E-01	4.76E+00	5.90E+00	1.09E+00	-1.79E-01	-1.63E-01	-1.62E-01	-2.65E+00	-3.99E-01	-8.66E-03	-1.68E-01	2.31E+00	2.25E+00	-1.15E-01	-4.03E-01	-3.98E-01	-3.97E-01	-8.21E-01	6.24E-01	-1.98E+00	-1.65E-01	-1.89E-01	-8.43E-01	-7.97E-01	-7.97E-01	-7.97E-01	1.01E+00	-6.09E-02	4.82E+00	5.92E+00	7.78E-01	-1.02E-02	-4.14E-03	-7.75E-03	5.51E-01	6.28E+00	6.32E+00	1.42E+00	1.03E+00	1.04E+00	1.04E+00	2.44E+00	2.42E+00	-3.42E-01	-6.21E-02	-5.69E-02	-5.51E-02	6.03E+00	1.18E+00	4.82E+00	4.85E+00	4.84E+00	1.27E+00	5.92E+00	5.93E+00	5.92E+00	7.75E-01	7.74E-01	7.75E-01	7.39E-03	9.42E-03	7.43E-03
RAF	1.18E-02	-1.95E-01	-3.45E-01	-6.78E-01	-9.49E-03	1.13E+00	7.55E-03	3.86E-01	3.97E+00	9.17E-01	0.00E+00	1.42E-02	1.44E-02	-1.86E-01	-3.34E-01	-6.61E-01	2.08E-03	1.15E+00	2.04E-02	4.02E-01	3.97E+00	9.33E-01	1.18E-02	2.59E-02	2.61E-02	-4.41E-01	-9.12E-01	-1.96E-01	6.73E-01	-5.48E-02	3.64E-01	3.97E+00	1.32E+00	-1.95E-01	-1.73E-01	-1.75E-01	-2.51E+00	-3.41E-01	-1.94E-02	-6.94E-02	-1.02E+00	2.09E+00	-1.65E-02	-3.45E-01	-3.29E-01	-3.34E-01	-7.00E-01	6.71E-01	-1.84E+00	-3.13E+00	-9.10E-02	-7.23E-01	-6.78E-01	-6.78E-01	-6.78E-01	1.11E+00	8.76E-03	3.84E-01	3.97E+00	9.10E-01	-9.49E-03	-5.47E-04	-5.81E-03	6.57E-01	7.21E-01	4.04E+00	1.59E+00	1.13E+00	1.15E+00	1.15E+00	-9.24E-01	2.21E+00	-2.99E-01	7.55E-03	2.24E-02	1.85E-02	6.79E-01	-1.92E+00	3.86E-01	3.99E-01	3.93E-01	1.25E+00	3.97E+00	3.97E+00	3.97E+00	9.17E-01	9.16E-01	9.17E-01	1.42E-02	1.44E-02	1.43E-02
MEK	-5.15E-03	-2.02E-01	-3.32E-01	-6.56E-01	-9.43E-03	1.19E+00	2.92E-02	4.18E-01	-2.91E-01	9.79E-01	0.00E+00	1.61E-02	1.64E-02	-2.08E-01	-3.37E-01	-6.55E-01	-1.48E-02	1.19E+00	2.57E-02	4.17E-01	-2.93E-01	9.82E-01	-5.15E-03	1.09E-02	1.12E-02	-4.29E-01	-8.89E-01	-2.03E-01	7.13E-01	-3.34E-02	3.98E-01	-2.91E-01	1.41E+00	-2.02E-01	-1.78E-01	-1.80E-01	-2.49E+00	-3.28E-01	-2.27E-02	-3.92E-02	-1.01E+00	-6.90E-01	1.07E-02	-3.32E-01	-3.15E-01	-3.20E-01	-6.78E-01	6.98E-01	-1.82E+00	-3.12E+00	-1.92E+00	-7.00E-01	-6.56E-01	-6.56E-01	-6.56E-01	1.17E+00	3.04E-02	4.17E-01	-2.91E-01	9.69E-01	-9.43E-03	-3.55E-05	-5.32E-03	7.05E-01	7.39E-01	-2.83E-01	1.67E+00	1.19E+00	1.22E+00	1.21E+00	-9.12E-01	-6.47E-01	-2.94E-01	2.92E-02	4.48E-02	4.14E-02	-1.38E+00	-1.91E+00	4.18E-01	4.31E-01	4.25E-01	-1.06E+00	-2.91E-01	-2.91E-01	-2.91E-01	9.79E-01	9.78E-01	9.79E-01	1.61E-02	1.64E-02	1.61E-02
PI3K	-2.54E-03	2.00E-01	1.08E+00	-3.44E+00	-1.82E-02	-1.05E+00	7.02E-01	1.60E+00	2.08E+00	-2.42E+00	0.00E+00	4.59E-02	4.21E-02	1.97E-01	1.08E+00	-3.44E+00	-2.10E-02	-1.05E+00	7.00E-01	1.61E+00	2.08E+00	-2.42E+00	-2.54E-03	4.32E-02	3.94E-02	1.23E+00	-3.34E+00	1.94E-01	-7.32E-01	8.51E-01	1.67E+00	2.10E+00	-2.24E+00	2.00E-01	2.54E-01	2.47E-01	-3.29E+00	1.08E+00	-1.52E-01	2.16E+00	2.61E+00	2.54E+00	-2.01E+00	1.08E+00	1.11E+00	1.10E+00	-3.66E+00	-3.35E+00	-3.54E+00	-3.55E+00	-3.55E+00	-7.16E+00	-3.44E+00	-3.44E+00	-3.44E+00	-1.11E+00	7.02E-01	1.60E+00	2.08E+00	-2.43E+00	-1.82E-02	5.24E-03	-7.52E-03	-4.16E-01	1.44E+00	2.08E+00	-3.57E+00	-1.05E+00	-9.87E-01	-9.94E-01	2.19E+00	2.15E+00	-3.91E+00	7.02E-01	7.44E-01	7.34E-01	2.22E+00	-4.49E+00	1.60E+00	1.63E+00	1.62E+00	-4.34E+00	2.08E+00	2.10E+00	2.09E+00	-2.42E+00	-2.42E+00	-2.42E+00	4.59E-02	4.21E-02	4.60E-02
PIP3	-2.54E-03	2.00E-01	1.08E+00	-3.44E+00	-1.82E-02	-1.05E+00	7.02E-01	1.60E+00	2.08E+00	-2.42E+00	0.00E+00	4.58E-02	4.20E-02	1.97E-01	1.08E+00	-3.44E+00	-2.10E-02	-1.05E+00	7.00E-01	1.61E+00	2.08E+00	-2.42E+00	-2.54E-03	4.31E-02	3.93E-02	1.23E+00	-3.34E+00	1.94E-01	-7.32E-01	8.51E-01	1.67E+00	2.10E+00	-2.24E+00	2.00E-01	2.54E-01	2.47E-01	-3.29E+00	1.08E+00	-1.52E-01	2.16E+00	2.61E+00	2.54E+00	-2.01E+00	1.08E+00	1.11E+00	1.10E+00	-3.66E+00	-3.35E+00	-3.54E+00	-3.55E+00	-3.55E+00	-7.16E+00	-3.44E+00	-3.44E+00	-3.44E+00	-1.11E+00	7.02E-01	1.60E+00	2.08E+00	-2.43E+00	-1.82E-02	5.28E-03	-7.52E-03	-4.16E-01	1.44E+00	2.08E+00	-3.57E+00	-1.05E+00	-9.87E-01	-9.94E-01	2.19E+00	2.15E+00	-3.91E+00	7.02E-01	7.44E-01	7.34E-01	2.22E+00	-4.49E+00	1.60E+00	1.63E+00	1.62E+00	-4.34E+00	2.08E+00	2.10E+00	2.09E+00	-2.42E+00	-2.42E+00	-2.42E+00	4.58E-02	4.20E-02	4.59E-02
PDK1	-2.00E-03	1.55E-01	7.75E-01	-3.13E+00	-1.43E-02	-8.80E-01	5.22E-01	1.08E+00	1.33E+00	-2.14E+00	0.00E+00	-3.29E+00	3.30E-02	1.53E-01	7.73E-01	-3.13E+00	-1.65E-02	-8.82E-01	5.21E-01	1.09E+00	1.33E+00	-2.14E+00	-2.00E-03	-3.29E+00	3.09E-02	8.67E-01	-3.04E+00	1.50E-01	-6.04E-01	6.24E-01	1.12E+00	1.34E+00	-1.98E+00	1.55E-01	-3.13E+00	1.91E-01	-2.98E+00	7.76E-01	-1.21E-01	1.36E+00	1.55E+00	1.53E+00	-1.76E+00	7.75E-01	-2.53E+00	7.89E-01	-3.34E+00	-3.04E+00	-3.23E+00	-3.24E+00	-3.23E+00	-6.82E+00	-3.13E+00	-6.45E+00	-3.13E+00	-9.34E-01	5.22E-01	1.08E+00	1.33E+00	-2.15E+00	-1.43E-02	-3.32E+00	-5.92E-03	-3.37E-01	9.91E-01	1.33E+00	-3.26E+00	-8.80E-01	-4.15E+00	-8.32E-01	1.38E+00	1.36E+00	-3.59E+00	5.22E-01	-2.77E+00	5.44E-01	1.39E+00	-4.17E+00	1.08E+00	-2.22E+00	1.09E+00	-4.01E+00	1.33E+00	-1.98E+00	1.33E+00	-2.14E+00	-5.46E+00	-2.14E+00	-3.29E+00	3.30E-02	-3.29E+00
