1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	
GS	-2.45E-03	-3.32E-01	-2.65E+00	-6.31E-01	1.06E+00	1.40E-04	1.52E-08	1.67E-08	1.48E-08	-6.29E-01	0.00E+00	5.57E-05	1.56E-07	-3.36E-01	-2.66E+00	-6.31E-01	1.05E+00	-2.31E-03	-2.45E-03	-2.45E-03	-2.45E-03	-6.29E-01	-2.45E-03	-2.40E-03	-2.45E-03	-3.51E+00	-1.20E+00	9.19E-01	-3.32E-01	-3.32E-01	-3.32E-01	-3.32E-01	-1.20E+00	-3.32E-01	-3.32E-01	-3.32E-01	-3.22E+00	-1.92E+00	-2.65E+00	-2.65E+00	-2.65E+00	-2.65E+00	-3.11E+00	-2.65E+00	-2.70E+00	-2.65E+00	-4.07E-01	-6.31E-01	-6.31E-01	-6.31E-01	-6.31E-01	-7.41E-01	-6.31E-01	-6.31E-01	-6.31E-01	1.06E+00	1.06E+00	1.06E+00	1.06E+00	-2.70E-01	1.06E+00	1.06E+00	1.06E+00	1.40E-04	1.40E-04	1.40E-04	-6.28E-01	1.40E-04	1.95E-04	1.40E-04	1.69E-08	1.67E-08	-6.29E-01	1.52E-08	5.57E-05	1.71E-07	1.69E-08	-6.29E-01	1.67E-08	5.57E-05	1.72E-07	-6.29E-01	1.48E-08	5.57E-05	1.70E-07	-6.29E-01	-6.29E-01	-6.29E-01	5.57E-05	1.56E-07	5.57E-05
GAB1	-6.22E-03	1.30E-02	1.20E-01	-3.30E+00	1.91E+00	1.47E-04	2.87E-08	3.15E-08	2.79E-08	-2.87E+00	0.00E+00	9.49E-05	3.92E-07	6.81E-03	1.14E-01	-3.31E+00	1.90E+00	-6.08E-03	-6.22E-03	-6.22E-03	-6.22E-03	-2.88E+00	-6.22E-03	-6.13E-03	-6.22E-03	1.32E-01	-3.29E+00	1.93E+00	1.32E-02	1.30E-02	1.30E-02	1.30E-02	-2.86E+00	1.30E-02	1.31E-02	1.30E-02	-3.18E+00	2.03E+00	1.21E-01	1.20E-01	1.20E-01	1.20E-01	-2.70E+00	1.20E-01	1.21E-01	1.20E-01	-1.37E+00	-3.30E+00	-3.30E+00	-3.30E+00	-3.30E+00	-6.17E+00	-3.30E+00	-3.30E+00	-3.30E+00	1.91E+00	1.91E+00	1.91E+00	1.91E+00	-8.38E-01	1.91E+00	1.91E+00	1.91E+00	1.47E-04	1.47E-04	1.47E-04	-2.87E+00	1.47E-04	2.42E-04	1.47E-04	3.19E-08	3.16E-08	-2.87E+00	2.87E-08	9.49E-05	4.21E-07	3.19E-08	-2.87E+00	3.15E-08	9.50E-05	4.23E-07	-2.87E+00	2.79E-08	9.49E-05	4.20E-07	-2.87E+00	-2.87E+00	-2.87E+00	9.49E-05	3.92E-07	9.50E-05
IRS	-1.23E-04	3.02E-04	4.37E-03	-1.12E-02	7.96E-01	3.54E-06	1.14E-09	1.25E-09	1.10E-09	-2.58E+00	0.00E+00	-9.30E-05	7.82E-07	1.78E-04	4.24E-03	-1.12E-02	7.96E-01	-1.20E-04	-1.23E-04	-1.23E-04	-1.23E-04	-2.58E+00	-1.23E-04	-2.16E-04	-1.22E-04	4.65E-03	-1.11E-02	7.96E-01	3.05E-04	3.02E-04	3.02E-04	3.02E-04	-2.58E+00	3.02E-04	2.09E-04	3.03E-04	3.36E-02	8.16E-01	4.38E-03	4.37E-03	4.37E-03	4.37E-03	-2.75E+00	4.37E-03	2.05E-02	4.37E-03	7.89E-01	-1.12E-02	-1.12E-02	-1.12E-02	-1.12E-02	-2.57E+00	-1.12E-02	-1.13E-02	-1.12E-02	7.96E-01	7.96E-01	7.96E-01	7.96E-01	-2.03E+00	7.96E-01	7.96E-01	7.96E-01	3.54E-06	3.54E-06	3.54E-06	-2.58E+00	3.54E-06	-8.94E-05	4.32E-06	1.26E-09	1.25E-09	-2.58E+00	1.14E-09	-9.30E-05	7.83E-07	1.26E-09	-2.58E+00	1.25E-09	-9.30E-05	7.83E-07	-2.58E+00	1.10E-09	-9.30E-05	7.83E-07	-2.58E+00	-2.57E+00	-2.58E+00	-9.30E-05	7.82E-07	-9.29E-05
RasGAP	-5.46E-05	1.09E-02	1.24E-02	-1.14E-02	9.13E-01	-3.32E+00	2.05E-10	2.25E-10	1.99E-10	-1.90E-03	0.00E+00	8.25E-07	-4.05E-09	1.08E-02	1.24E-02	-1.14E-02	9.13E-01	-3.32E+00	-5.46E-05	-5.46E-05	-5.46E-05	-1.91E-03	-5.46E-05	-5.38E-05	-5.46E-05	2.18E-02	-5.62E-04	9.19E-01	-3.31E+00	1.09E-02	1.09E-02	1.09E-02	9.05E-03	1.09E-02	1.09E-02	1.09E-02	1.11E-04	9.21E-01	-3.31E+00	1.24E-02	1.24E-02	1.24E-02	9.82E-03	1.24E-02	1.24E-02	1.24E-02	8.90E-01	-3.33E+00	-1.14E-02	-1.14E-02	-1.14E-02	-3.46E-03	-1.14E-02	-1.14E-02	-1.14E-02	-2.41E+00	9.13E-01	9.13E-01	9.13E-01	9.09E-01	9.13E-01	9.13E-01	9.13E-01	-3.32E+00	-3.32E+00	-3.32E+00	-3.32E+00	-3.32E+00	-3.32E+00	-3.32E+00	2.28E-10	2.26E-10	-1.90E-03	2.05E-10	8.25E-07	-3.85E-09	2.28E-10	-1.90E-03	2.25E-10	8.25E-07	-3.83E-09	-1.90E-03	1.99E-10	8.25E-07	-3.85E-09	-1.90E-03	-1.90E-03	-1.90E-03	8.25E-07	-4.05E-09	8.24E-07
RAS	-2.38E-03	-3.43E-01	-2.63E+00	-5.98E-01	1.00E+00	2.18E-02	-1.70E+00	9.75E-09	8.65E-09	-5.64E-01	0.00E+00	5.23E-05	1.54E-07	-3.47E-01	-2.63E+00	-5.99E-01	9.93E-01	1.94E-02	-1.70E+00	-2.38E-03	-2.38E-03	-5.64E-01	-2.38E-03	-2.33E-03	-2.38E-03	-3.50E+00	-1.17E+00	8.51E-01	-3.22E-01	-2.04E+00	-3.43E-01	-3.43E-01	-1.12E+00	-3.43E-01	-3.43E-01	-3.43E-01	-3.01E+00	-1.89E+00	-2.61E+00	-4.33E+00	-2.63E+00	-2.63E+00	-2.98E+00	-2.63E+00	-2.63E+00	-2.63E+00	-4.02E-01	-5.76E-01	-2.30E+00	-5.98E-01	-5.98E-01	-6.66E-01	-5.98E-01	-5.98E-01	-5.98E-01	1.04E+00	-7.00E-01	1.00E+00	1.00E+00	-2.83E-01	1.00E+00	1.00E+00	1.00E+00	-1.68E+00	2.18E-02	2.18E-02	-5.41E-01	2.18E-02	2.18E-02	2.18E-02	-1.70E+00	-1.70E+00	-2.26E+00	-1.70E+00	-1.70E+00	-1.70E+00	9.89E-09	-5.64E-01	9.75E-09	5.23E-05	1.64E-07	-5.64E-01	8.65E-09	5.23E-05	1.63E-07	-5.64E-01	-5.64E-01	-5.64E-01	5.23E-05	1.54E-07	5.23E-05
RAF	5.32E-03	-4.18E-01	-2.53E+00	-4.41E-01	8.11E-01	1.61E-02	-1.70E+00	-3.04E+00	1.86E-09	-4.08E-01	0.00E+00	1.24E-04	1.26E-07	-4.14E-01	-2.52E+00	-4.33E-01	8.17E-01	2.14E-02	-1.69E+00	-3.03E+00	5.32E-03	-4.00E-01	5.32E-03	5.45E-03	5.32E-03	-3.55E+00	-1.05E+00	6.02E-01	-4.02E-01	-2.12E+00	-3.46E+00	-4.18E-01	-1.01E+00	-4.18E-01	-4.18E-01	-4.18E-01	-2.79E+00	-1.97E+00	-2.51E+00	-4.23E+00	-5.56E+00	-2.53E+00	-2.76E+00	-2.53E+00	-2.53E+00	-2.53E+00	-3.21E-01	-4.25E-01	-2.14E+00	-3.48E+00	-4.41E-01	-4.78E-01	-4.41E-01	-4.41E-01	-4.41E-01	8.43E-01	-8.87E-01	-2.23E+00	8.11E-01	-2.29E-01	8.11E-01	8.11E-01	8.11E-01	-1.68E+00	-3.02E+00	1.61E-02	-3.92E-01	1.61E-02	1.62E-02	1.61E-02	-4.73E+00	-1.70E+00	-2.11E+00	-1.70E+00	-1.70E+00	-1.70E+00	-3.04E+00	-3.45E+00	-3.04E+00	-3.04E+00	-3.04E+00	-4.08E-01	1.86E-09	1.24E-04	1.28E-07	-4.08E-01	-4.08E-01	-4.08E-01	1.24E-04	1.26E-07	1.24E-04
MEK	-1.36E+00	-4.00E-01	-2.42E+00	-3.94E-01	1.97E+00	1.43E-02	-1.63E+00	-2.96E+00	-1.49E+00	-3.56E-01	0.00E+00	1.27E-04	1.02E-07	-1.76E+00	-3.78E+00	-1.75E+00	6.08E-01	-1.35E+00	-2.99E+00	-4.31E+00	-2.85E+00	-1.71E+00	-1.36E+00	-1.36E+00	-1.36E+00	-3.46E+00	-9.82E-01	1.77E+00	-3.85E-01	-2.05E+00	-3.38E+00	-1.89E+00	-9.35E-01	-4.00E-01	-4.00E-01	-4.00E-01	-2.67E+00	-6.63E-01	-2.41E+00	-4.11E+00	-5.45E+00	-3.91E+00	-2.63E+00	-2.42E+00	-2.42E+00	-2.42E+00	9.60E-01	-3.80E-01	-2.04E+00	-3.37E+00	-1.88E+00	-4.19E-01	-3.94E-01	-3.94E-01	-3.94E-01	1.99E+00	3.76E-01	-9.35E-01	4.81E-01	1.06E+00	1.97E+00	1.97E+00	1.97E+00	-1.62E+00	-2.94E+00	-1.47E+00	-3.41E-01	1.43E-02	1.44E-02	1.43E-02	-4.64E+00	-3.12E+00	-2.01E+00	-1.63E+00	-1.63E+00	-1.63E+00	-4.44E+00	-3.33E+00	-2.96E+00	-2.96E+00	-2.96E+00	-1.84E+00	-1.49E+00	-1.49E+00	-1.49E+00	-3.56E-01	-3.56E-01	-3.56E-01	1.27E-04	1.02E-07	1.27E-04
PI3K	-1.25E-04	3.06E-04	2.57E-03	-2.50E-02	2.03E+00	3.50E-06	6.40E-10	7.01E-10	6.22E-10	-3.45E+00	0.00E+00	-2.71E-06	4.83E-08	1.81E-04	2.43E-03	-2.50E-02	2.03E+00	-1.21E-04	-1.25E-04	-1.25E-04	-1.25E-04	-3.45E+00	-1.25E-04	-1.28E-04	-1.25E-04	2.85E-03	-2.49E-02	2.03E+00	3.10E-04	3.06E-04	3.06E-04	3.06E-04	-3.45E+00	3.06E-04	3.03E-04	3.06E-04	-2.47E-02	2.03E+00	2.57E-03	2.57E-03	2.57E-03	2.57E-03	-3.45E+00	2.57E-03	2.56E-03	2.57E-03	2.01E+00	-2.50E-02	-2.50E-02	-2.50E-02	-2.50E-02	-3.46E+00	-2.50E-02	-2.50E-02	-2.50E-02	2.03E+00	2.03E+00	2.03E+00	2.03E+00	-1.34E+00	2.03E+00	2.03E+00	2.03E+00	3.50E-06	3.50E-06	3.50E-06	-3.45E+00	3.50E-06	7.85E-07	3.54E-06	7.11E-10	7.03E-10	-3.45E+00	6.40E-10	-2.71E-06	4.90E-08	7.11E-10	-3.45E+00	7.01E-10	-2.71E-06	4.90E-08	-3.45E+00	6.22E-10	-2.71E-06	4.90E-08	-3.45E+00	-3.45E+00	-3.45E+00	-2.71E-06	4.83E-08	-2.71E-06
PIP3	-1.24E-04	3.04E-04	2.51E-03	-1.16E-02	2.02E+00	3.48E-06	1.57E-09	1.72E-09	1.52E-09	-3.45E+00	0.00E+00	-5.30E-05	3.24E-07	1.80E-04	2.38E-03	-1.16E-02	2.02E+00	-1.21E-04	-1.24E-04	-1.24E-04	-1.24E-04	-3.45E+00	-1.24E-04	-1.77E-04	-1.24E-04	2.79E-03	-1.16E-02	2.02E+00	3.08E-04	3.04E-04	3.04E-04	3.04E-04	-3.45E+00	3.04E-04	2.52E-04	3.05E-04	-1.13E-02	2.03E+00	2.51E-03	2.51E-03	2.51E-03	2.51E-03	-3.45E+00	2.51E-03	2.46E-03	2.51E-03	2.02E+00	-1.16E-02	-1.16E-02	-1.16E-02	-1.16E-02	-3.44E+00	-1.16E-02	-1.17E-02	-1.16E-02	2.02E+00	2.02E+00	2.02E+00	2.02E+00	-1.34E+00	2.02E+00	2.02E+00	2.02E+00	3.48E-06	3.48E-06	3.48E-06	-3.45E+00	3.48E-06	-4.95E-05	3.80E-06	1.74E-09	1.72E-09	-3.45E+00	1.57E-09	-5.30E-05	3.25E-07	1.74E-09	-3.45E+00	1.72E-09	-5.30E-05	3.25E-07	-3.45E+00	1.52E-09	-5.30E-05	3.25E-07	-3.45E+00	-3.45E+00	-3.45E+00	-5.30E-05	3.24E-07	-5.29E-05
PDK1	-1.24E-04	3.04E-04	2.51E-03	-1.16E-02	2.02E+00	3.48E-06	1.56E-09	1.71E-09	1.52E-09	-3.45E+00	0.00E+00	-3.32E+00	3.24E-07	1.80E-04	2.37E-03	-1.16E-02	2.02E+00	-1.21E-04	-1.24E-04	-1.24E-04	-1.24E-04	-3.45E+00	-1.24E-04	-3.32E+00	-1.24E-04	2.79E-03	-1.15E-02	2.02E+00	3.08E-04	3.04E-04	3.04E-04	3.04E-04	-3.45E+00	3.04E-04	-3.32E+00	3.05E-04	-1.13E-02	2.02E+00	2.51E-03	2.51E-03	2.51E-03	2.51E-03	-3.45E+00	2.51E-03	-3.32E+00	2.51E-03	2.02E+00	-1.16E-02	-1.16E-02	-1.16E-02	-1.16E-02	-3.44E+00	-1.16E-02	-3.33E+00	-1.16E-02	2.02E+00	2.02E+00	2.02E+00	2.02E+00	-1.34E+00	2.02E+00	-1.30E+00	2.02E+00	3.48E-06	3.48E-06	3.48E-06	-3.45E+00	3.48E-06	-3.32E+00	3.80E-06	1.73E-09	1.71E-09	-3.45E+00	1.56E-09	-3.32E+00	3.25E-07	1.73E-09	-3.45E+00	1.71E-09	-3.32E+00	3.25E-07	-3.45E+00	1.52E-09	-3.32E+00	3.25E-07	-3.45E+00	-6.78E+00	-3.45E+00	-3.32E+00	3.24E-07	-3.32E+00
