	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-0.0021	-0.0028899999999999998	0.00165	0.00164	-0.00386	0.0118	-0.00515	-0.0025399999999999997	-0.0025399999999999997	-0.002	-0.0109	-0.00585	-0.0109
2	-0.142	0.22399999999999998	-0.40299999999999997	0.0315	-0.179	-0.195	-0.20199999999999999	0.2	0.2	0.155	0.774	-0.24100000000000002	0.769
3	-0.9440000000000001	1.26	-1.91	-0.5529999999999999	-0.40299999999999997	-0.345	-0.332	1.08	1.08	0.775	2.24	-0.373	2.24
4	0.239	-5.37	0.264	1.02	-0.797	-0.6779999999999999	-0.6559999999999999	-3.44	-3.44	-3.13	-6.3	-0.731	-6.28
5	-0.000472	-0.00583	-3.26	0.00945	-0.0102	-0.00949	-0.00943	-0.0182	-0.0182	-0.0143	-0.0782	-0.0109	-0.0777
6	-1.89	-1.22	0.11800000000000001	-2.89	1.03	1.13	1.19	-1.05	-1.05	-0.88	-3.13	1.47	-3.12
7	1.34	0.812	-1.62	-0.43799999999999994	-0.0621	0.00755	0.0292	0.7020000000000001	0.7020000000000001	0.522	1.86	0.0561	1.85
8	3.26	1.91	-2.2	-0.759	4.82	0.386	0.418	1.6	1.6	1.08	2.53	0.529	2.54
9	4.45	2.61	-2.27	-0.614	5.92	3.97	-0.29100000000000004	2.08	2.08	1.33	2.69	-0.325	2.71
10	0.27699999999999997	1.13	1.49	-0.466	0.775	0.917	0.9790000000000001	-2.42	-2.42	-2.14	-5.11	1.24	-5.1
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	-0.023	0.00244	2.03	-0.0302	0.007390000000000001	0.0142	0.0161	0.0459	0.0458	-3.29	-6.47	0.0207	-6.46
13	-0.0191	0.00213	1.94	-0.0283	0.00942	0.0144	0.0164	0.0421	0.042	0.033	-2.37	0.0212	0.16399999999999998
14	-0.145	0.221	-0.39899999999999997	0.0332	-0.183	-0.18600000000000003	-0.20800000000000002	0.19699999999999998	0.19699999999999998	0.153	0.7659999999999999	-0.248	0.76
15	-0.946	1.26	-1.91	-0.552	-0.40700000000000003	-0.33399999999999996	-0.337	1.08	1.08	0.773	2.24	-0.379	2.24
16	0.24	-5.37	0.264	1.02	-0.797	-0.6609999999999999	-0.655	-3.44	-3.44	-3.13	-6.3	-0.73	-6.28
17	-0.0027	-0.00897	-3.26	0.0112	-0.0143	0.0020800000000000003	-0.0148	-0.021	-0.021	-0.0165	-0.0903	-0.017	-0.0897
18	-1.89	-1.22	0.115	-2.89	1.03	1.15	1.19	-1.05	-1.05	-0.882	-3.13	1.47	-3.12
19	1.34	0.81	-1.61	-0.43700000000000006	-0.065	0.0204	0.0257	0.7	0.7	0.521	1.86	0.0521	1.85
20	3.28	1.92	-2.21	-0.758	4.85	0.402	0.41700000000000004	1.61	1.61	1.09	2.54	0.527	2.55
21	4.45	2.61	-2.27	-0.614	5.92	3.97	-0.293	2.08	2.08	1.33	2.69	-0.327	2.71
22	0.27899999999999997	1.13	1.49	-0.465	0.7759999999999999	0.9329999999999999	0.982	-2.42	-2.42	-2.14	-5.11	1.25	-5.1
23	-0.0021	-0.0028899999999999998	0.00165	0.00164	-0.00386	0.0118	-0.00515	-0.0025399999999999997	-0.0025399999999999997	-0.002	-0.0109	-0.00585	-0.0109
24	-0.0252	-0.000659	2.03	-0.0285	0.0034200000000000003	0.0259	0.0109	0.0432	0.0431	-3.29	-6.47	0.0149	-6.46
25	-0.0213	-0.000959	1.94	-0.0266	0.0054399999999999995	0.0261	0.0112	0.0394	0.0393	0.0309	-2.38	0.0153	0.153
26	-0.982	1.44	-1.96	-0.5	-0.496	-0.441	-0.429	1.23	1.23	0.867	2.34	-0.485	2.34
27	0.10800000000000001	-5.33	0.396	1.13	-1.04	-0.912	-0.889	-3.34	-3.34	-3.04	-6.19	-0.99	-6.18
28	-0.138	0.226	-3.69	0.0355	-0.179	-0.196	-0.203	0.19399999999999998	0.19399999999999998	0.15	0.753	-0.243	0.748
29	-2.23	-0.862	0.16	-2.84	0.62	0.6729999999999999	0.713	-0.732	-0.732	-0.604	-2.47	0.9159999999999999	-2.46
30	1.33	0.982	-1.73	-0.381	-0.122	-0.0548	-0.0334	0.851	0.851	0.624	2.03	-0.0187	2.03
31	3.31	2.0	-2.18	-0.669	4.76	0.364	0.39799999999999996	1.67	1.67	1.12	2.56	0.505	2.57
32	4.47	2.64	-2.23	-0.5479999999999999	5.9	3.97	-0.29100000000000004	2.1	2.1	1.34	2.7	-0.325	2.71
33	0.609	1.36	1.67	-0.429	1.09	1.32	1.41	-2.24	-2.24	-1.98	-4.9	1.67	-4.89
34	-0.142	0.22399999999999998	-0.40299999999999997	0.0315	-0.179	-0.195	-0.20199999999999999	0.2	0.2	0.155	0.774	-0.24100000000000002	0.769
35	-0.161	0.23399999999999999	2.18	-0.00292	-0.163	-0.17300000000000001	-0.17800000000000002	0.254	0.254	-3.13	-6.29	-0.212	-6.28
36	-0.157	0.23199999999999998	2.04	0.000411	-0.162	-0.175	-0.18	0.247	0.247	0.191	-1.66	-0.214	0.91
37	-1.52	-5.07	0.415	1.09	-2.65	-2.51	-2.49	-3.29	-3.29	-2.98	-6.13	-2.7	-6.11
38	-0.941	1.27	-5.2	-0.5539999999999999	-0.39899999999999997	-0.341	-0.32799999999999996	1.08	1.08	0.7759999999999999	2.24	-0.368	2.24
39	-3.17	-0.179	0.317	-3.18	-0.00866	-0.0194	-0.0227	-0.152	-0.152	-0.121	-0.655	-0.03	-0.65
40	1.14	2.73	-2.25	-0.524	-0.168	-0.0694	-0.0392	2.16	2.16	1.36	2.71	-0.0178	2.73
41	2.13	3.6	-2.22	-0.0033799999999999998	2.31	-1.02	-1.01	2.61	2.61	1.55	2.8	-1.13	2.82
42	1.98	3.45	-2.23	-0.109	2.25	2.09	-0.69	2.54	2.54	1.53	2.79	-0.777	2.81
43	-0.698	1.66	1.7	-0.588	-0.115	-0.0165	0.0107	-2.01	-2.01	-1.76	-4.6	0.0373	-4.59
44	-0.9440000000000001	1.26	-1.91	-0.5529999999999999	-0.40299999999999997	-0.345	-0.332	1.08	1.08	0.775	2.24	-0.373	2.24
45	-0.958	1.26	2.48	-0.5720000000000001	-0.39799999999999996	-0.32899999999999996	-0.315	1.11	1.11	-2.53	-5.59	-0.353	-5.58
46	-0.9520000000000001	1.26	2.05	-0.568	-0.397	-0.33399999999999996	-0.32	1.1	1.1	0.789	-0.46399999999999997	-0.358	2.25
47	0.23800000000000002	-5.57	-1.72	1.04	-0.821	-0.7	-0.6779999999999999	-3.66	-3.66	-3.34	-6.53	-0.7559999999999999	-6.52
48	-1.63	-5.25	0.376	-2.24	0.624	0.6709999999999999	0.698	-3.35	-3.35	-3.04	-6.19	0.862	-6.18
49	0.76	-5.55	0.161	0.9670000000000001	-1.98	-1.84	-1.82	-3.54	-3.54	-3.23	-6.4	-2.0	-6.39
50	0.8009999999999999	-5.57	0.151	0.9620000000000001	-0.165	-3.13	-3.12	-3.55	-3.55	-3.24	-6.42	-3.35	-6.4
51	0.78	-5.56	0.156	0.965	-0.18899999999999997	-0.091	-1.92	-3.55	-3.55	-3.23	-6.41	-2.11	-6.4
52	0.35100000000000003	-6.9	-2.25	1.17	-0.843	-0.723	-0.7	-7.16	-7.16	-6.82	-10.1	-0.78	-10.1
53	0.239	-5.37	0.264	1.02	-0.797	-0.6779999999999999	-0.6559999999999999	-3.44	-3.44	-3.13	-6.3	-0.731	-6.28
54	0.239	-5.37	0.267	1.02	-0.797	-0.6779999999999999	-0.6559999999999999	-3.44	-3.44	-6.45	-9.77	-0.731	-9.76
55	0.239	-5.37	0.267	1.02	-0.797	-0.6779999999999999	-0.6559999999999999	-3.44	-3.44	-3.13	-8.76	-0.731	-6.28
56	-1.89	-1.26	-3.11	-2.87	1.01	1.11	1.17	-1.11	-1.11	-0.934	-3.24	1.45	-3.23
