	SFK	SHC	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	EGF	I
1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1
2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0.01	1
3	0	0	-1	0	0	0	0	0	0	0	0	0	0	0.01	1
4	0	0	0	-1	0	0	0	0	0	0	0	0	0	0.01	1
5	0	0	0	0	-1	0	0	0	0	0	0	0	0	0.01	1
6	0	0	0	0	0	-1	0	0	0	0	0	0	0	0.01	1
7	0	0	0	0	0	0	-1	0	0	0	0	0	0	0.01	1
8	0	0	0	0	0	0	0	-1	0	0	0	0	0	0.01	1
9	0	0	0	0	0	0	0	0	-1	0	0	0	0	0.01	1
10	0	0	0	0	0	0	0	0	0	-1	0	0	0	0.01	1
11	0	0	0	0	0	0	0	0	0	0	-1	0	0	0.01	1
12	0	0	0	0	0	0	0	0	0	0	0	-1	0	0.01	1
13	0	0	0	0	0	0	0	0	0	0	0	0	-1	0.01	1
14	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0.01	1
15	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0.01	1
16	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0.01	1
17	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0.01	1
18	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0.01	1
19	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0.01	1
20	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0.01	1
21	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0.01	1
22	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0.01	1
23	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0.01	1
24	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0.01	1
25	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0.01	1
26	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0.01	1
27	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0.01	1
28	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0.01	1
29	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0.01	1
30	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0.01	1
31	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0.01	1
32	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0.01	1
33	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0.01	1
34	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0.01	1
35	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0.01	1
36	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0.01	1
37	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0.01	1
38	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0.01	1
39	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0.01	1
40	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0.01	1
41	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0.01	1
42	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0.01	1
43	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0.01	1
44	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0.01	1
45	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0.01	1
46	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0.01	1
47	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0.01	1
48	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0.01	1
49	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0.01	1
50	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0.01	1
51	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0.01	1
52	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0.01	1
53	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0.01	1
54	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0.01	1
55	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0.01	1
56	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0.01	1
57	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0.01	1
58	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0.01	1
59	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0.01	1
60	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0.01	1
61	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0.01	1
62	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0.01	1
63	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0.01	1
64	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0.01	1
65	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0.01	1
66	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0.01	1
67	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0.01	1
68	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0.01	1
69	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0.01	1
70	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0.01	1
71	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0.01	1
72	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0.01	1
73	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0.01	1
74	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0.01	1
75	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0.01	1
76	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0.01	1
77	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0.01	1
78	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0.01	1
79	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0.01	1
80	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0.01	1
81	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0.01	1
82	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0.01	1
83	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0.01	1
84	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0.01	1
85	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0.01	1
86	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0.01	1
