	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	0.007640000000000001	0.00267	-0.000828	0.00041799999999999997	0.006940000000000001	0.011	-0.00165	0.00148	0.00148	0.000371	9.690000000000001e-05	-0.000404	0.000143
2	0.0343	0.132	-0.0416	0.0593	-0.0425	-0.0572	-0.0642	0.11800000000000001	0.11800000000000001	0.0946	0.23	-0.0749	0.22899999999999998
3	-1.76	1.2	-0.21600000000000003	-0.16399999999999998	-2.67	-1.61	-1.12	0.873	0.8740000000000001	0.584	1.07	-0.649	1.07
4	-1.8	-6.32	-0.606	0.9279999999999999	-3.11	-1.99	-1.5	-4.11	-4.12	-3.5	-7.56	-1.01	-7.56
5	0.0038399999999999997	0.00355	-2.9	0.00825	0.00206	-0.000604	-0.00116	-0.007409999999999999	-0.00598	-0.00249	-0.008	-0.00137	-0.00806
6	-0.226	-0.245	0.0259	-3.16	1.52	0.9179999999999999	0.691	-0.23199999999999998	-0.23199999999999998	-0.226	-0.266	0.521	-0.266
7	0.8540000000000001	0.659	-0.258	-0.265	-2.29	-1.25	-0.777	0.562	0.562	0.41600000000000004	0.883	-0.311	0.882
8	1.92	1.43	-0.309	-0.32899999999999996	2.04	-1.87	-1.39	1.18	1.18	0.8059999999999999	1.28	-0.899	1.29
9	2.43	1.75	-0.311	-0.21899999999999997	2.37	1.52	-2.25	1.4	1.41	0.9159999999999999	1.34	-1.91	1.36
10	-0.9109999999999999	-0.185	0.23800000000000002	-0.0026	-1.72	-0.7170000000000001	-0.252	-3.49	-3.5	-2.91	-6.8	0.21899999999999997	-6.79
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.00895	0.0196	1.33	-0.0269	0.013	0.0176	0.0154	0.0421	0.0427	-3.29	-7.28	0.0145	-7.27
13	0.00687	0.0174	1.27	-0.0259	0.011	0.0121	0.0123	0.0389	0.0392	0.0336	-2.61	0.0127	0.0793
14	0.0425	0.134	-0.042	0.0597	-0.0348	-0.0465	-0.0656	0.12	0.12	0.095	0.22899999999999998	-0.0753	0.228
15	-1.75	1.2	-0.21600000000000003	-0.163	-2.67	-1.59	-1.12	0.8740000000000001	0.875	0.583	1.07	-0.649	1.07
16	-1.8	-6.32	-0.607	0.9279999999999999	-3.11	-1.97	-1.5	-4.11	-4.12	-3.5	-7.56	-1.01	-7.56
17	0.0113	0.0061	-2.9	0.0087	0.008870000000000001	0.0103	-0.0028	-0.00598	-0.00455	-0.00216	-0.00793	-0.00179	-0.00793
18	-0.218	-0.242	0.0247	-3.16	1.52	0.925	0.688	-0.23	-0.23	-0.225	-0.264	0.52	-0.264
19	0.858	0.6609999999999999	-0.258	-0.264	-2.29	-1.23	-0.778	0.562	0.563	0.41600000000000004	0.883	-0.311	0.882
20	1.93	1.43	-0.309	-0.327	2.05	-1.86	-1.4	1.19	1.19	0.8079999999999999	1.28	-0.912	1.29
21	2.43	1.75	-0.311	-0.21899999999999997	2.37	1.52	-2.25	1.4	1.4	0.9159999999999999	1.34	-1.91	1.36
22	-0.909	-0.188	0.23600000000000002	-0.0011099999999999999	-1.72	-0.703	-0.254	-3.49	-3.5	-2.91	-6.8	0.217	-6.8
23	0.007640000000000001	0.00267	-0.000828	0.00041799999999999997	0.006940000000000001	0.011	-0.00165	0.00148	0.00148	0.000371	9.690000000000001e-05	-0.000404	0.000143
24	0.0166	0.0222	1.33	-0.0265	0.0199	0.0285	0.0138	0.0435	0.0441	-3.29	-7.28	0.014	-7.27
25	0.0145	0.0201	1.27	-0.0255	0.0179	0.0232	0.0107	0.0403	0.0406	0.034	-2.61	0.0123	0.0791
26	-1.73	1.32	-0.188	-0.0971	-2.74	-1.67	-1.19	0.965	0.966	0.644	1.13	-0.7170000000000001	1.14
27	-2.03	-6.26	-0.479	1.04	-3.78	-2.62	-2.13	-4.01	-4.02	-3.4	-7.45	-1.74	-7.45
28	0.0266	0.131	-2.92	0.0654	-0.0482	-0.0593	-0.0648	0.11	0.111	0.093	0.225	-0.0746	0.22399999999999998
29	-0.207	-0.128	0.0284	-3.09	1.42	0.809	0.5820000000000001	-0.126	-0.127	-0.136	-0.154	0.433	-0.153
30	0.8859999999999999	0.755	-0.23800000000000002	-0.196	-2.33	-1.29	-0.815	0.647	0.647	0.47700000000000004	0.968	-0.34700000000000003	0.9690000000000001
31	1.95	1.48	-0.275	-0.258	2.01	-1.89	-1.41	1.22	1.22	0.826	1.29	-0.914	1.3
32	2.45	1.78	-0.27699999999999997	-0.163	2.36	1.51	-2.25	1.42	1.42	0.925	1.35	-1.92	1.36
33	-0.81	-0.35600000000000004	0.209	0.24100000000000002	-1.94	-0.932	-0.469	-3.63	-3.65	-3.06	-6.96	0.0329	-6.96
34	0.0343	0.132	-0.0416	0.0593	-0.0425	-0.0572	-0.0642	0.11800000000000001	0.11800000000000001	0.0946	0.23	-0.0749	0.22899999999999998
35	0.0431	0.151	1.44	0.0313	-0.0296	-0.0385	-0.0474	0.161	0.161	-3.19	-7.17	-0.0587	-7.17
36	0.0423	0.149	1.36	0.0327	-0.0309	-0.0444	-0.0512	0.157	0.158	0.128	-2.38	-0.0613	0.312
37	-3.7	-5.98	-0.451	1.01	-5.27	-4.07	-3.58	-3.95	-3.95	-3.34	-7.38	-3.35	-7.37
38	-1.75	1.21	-3.05	-0.162	-2.67	-1.6	-1.12	0.877	0.879	0.589	1.07	-0.648	1.08
39	-2.87	0.201	0.10800000000000001	-3.16	0.171	0.0449	0.00659	0.0251	0.0252	-0.0589	-0.191	-0.0108	-0.188
40	-0.42700000000000005	2.33	-0.22899999999999998	0.139	-3.47	-2.37	-1.89	1.69	1.7	1.04	1.4	-1.48	1.42
41	0.00685	2.74	-0.22399999999999998	0.42	-1.27	-3.54	-3.07	1.9	1.9	1.12	1.44	-2.83	1.46
42	-0.0673	2.66	-0.225	0.364	-1.29	-0.41200000000000003	-2.7	1.87	1.87	1.11	1.44	-2.42	1.45
43	-1.87	1.31	0.884	-0.182	-2.75	-1.65	-1.16	-2.42	-2.43	-1.9	-5.34	-0.648	-5.34
44	-1.76	1.2	-0.21600000000000003	-0.16399999999999998	-2.67	-1.61	-1.12	0.873	0.8740000000000001	0.584	1.07	-0.649	1.07
45	-1.76	1.21	1.71	-0.174	-2.67	-1.59	-1.11	0.8959999999999999	0.897	-2.72	-6.62	-0.633	-6.61
46	-1.75	1.21	1.55	-0.174	-2.66	-1.59	-1.11	0.895	0.8959999999999999	0.599	-1.67	-0.638	1.09
47	-1.8	-6.53	-2.62	0.9440000000000001	-3.12	-2.0	-1.51	-4.33	-4.33	-3.71	-7.8	-1.02	-7.79
48	-2.68	-6.24	-0.535	-2.35	0.0151	0.162	0.223	-4.05	-4.05	-3.44	-7.49	0.273	-7.49
49	-1.42	-6.45	-0.675	0.893	-4.77	-3.58	-3.1	-4.18	-4.18	-3.56	-7.64	-2.84	-7.63
50	-1.4	-6.46	-0.68	0.89	-2.84	-4.82	-4.34	-4.19	-4.19	-3.57	-7.64	-4.16	-7.64
51	-1.41	-6.45	-0.6779999999999999	0.892	-2.85	-1.74	-3.39	-4.18	-4.19	-3.57	-7.64	-3.17	-7.63
