	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.4706316000000001	1.2063992000000001	-0.77586251	-0.37480677	-1.9062752	-1.1335114	-0.87503124	0.96526379	0.96565667	0.67572007	1.5473603999999999	-0.73547649	1.5508973
2	-0.83953426	-5.6302009	-0.46092172	1.0840379	-2.391732	-1.5807258	-1.3201469	-3.6035446	-3.6039953999999996	-3.1777781000000003	-6.8948662	-1.2076185	-6.882411299999999
3	-0.007186263000000001	-0.0018604693	-2.9815727	0.01323972	-0.014821682	-0.0069650326	-0.0051588778	-0.026243576	-0.025768031	-0.017542268	-0.066489708	-0.0052214073	-0.066151683
4	-0.70571309	-0.79804343	0.62108181	-2.8463003	1.3689975	0.87906167	0.76505311	-0.70233487	-0.70275833	-0.63539126	-1.4203223	0.7926844	-1.4125364
5	0.96812631	0.67585568	-0.68190197	-0.3166672	-1.565909	-0.80976013	-0.55398147	0.57021208	0.57047998	0.4215334	1.1920691	-0.38807858	1.1894735
6	2.1090537	1.3907428999999998	-0.85856634	-0.50869438	2.5008114	-1.1288042	-0.86452643	1.1534666999999998	1.1539283	0.79404341	1.6602922999999998	-0.70022489	1.6676349
7	3.0699874	1.9852303	-0.90948666	-0.47480127	3.6459839	2.6587758	-1.2816112	1.6010189	1.6015829	1.046582	1.8595183999999998	-1.20139	1.8747711
8	-0.50839167	0.09510105099999999	0.31467029	0.012571836000000001	-1.1182138000000001	-0.38260915	-0.12795618	-3.2664584	-3.2685381000000002	-2.8567706000000004	-6.4941283	0.078243968	-6.4818096
9	-0.83669008	-6.0346918	-3.6633776	1.1303738	-2.4302007000000003	-1.618054	-1.3575548000000002	-4.0699505	-7.3928308000000005	-6.9294554	-10.829564999999999	-1.248062	-10.816831
10	-0.0037673892	0.0064967646	1.6842771	-0.043842808	0.022503155	0.022351631	0.018955157	0.07637456599999999	0.07656755900000001	-3.2620054	-6.9795292	0.017159905	-6.967038900000001
11	-0.0033408493	0.0044894621	1.6025665	-0.039878528999999996	0.020658423000000002	0.017370806000000003	0.015252378999999998	0.069588386	0.069660363	0.054492711	-2.4108614	0.013497555	0.19770505
12	-2.6187810000000002	-5.296682	-0.30849057	1.1736891999999999	-4.370881400000001	-3.5043547	-3.2471074	-3.4251116	-3.425559	-3.0044265	-6.6950384000000005	-3.3199741	-6.6826162
13	-1.4722528999999998	1.2085153	-3.7256487000000003	-0.37516435	-1.9054374	-1.1323078000000002	-0.87369142	0.96552061	0.96616219	0.67742488	1.5497623	-0.73339842	1.5533132
14	-2.9905601	0.048596720999999996	0.16094671	-3.2220102	0.13167995	0.040499169	0.023174008	-0.019473884	-0.019489661999999998	-0.040027225	-0.17847333	0.023935152	-0.17644723
15	-0.038161976	2.2455161	-0.85621254	-0.30713306	-2.3753227999999997	-1.5582371000000002	-1.2947776000000002	1.7322692	1.7328493999999999	1.1030307	1.8914098999999998	-1.2023765	1.9083566000000003
16	0.9062075	3.0253107000000004	-0.85786855	0.10049701	0.21139624	-2.3445489	-2.0858616000000003	2.2000306	2.2006778	1.3177459999999999	2.005086	-2.0988710999999998	2.028526
17	0.67885241	2.8258883	-0.86035811	-0.028368677999999998	0.084021975	0.69347806	-1.7399448	2.0917733	2.0924096000000003	1.2714961999999999	1.9831098000000003	-1.7182177	2.0051873
18	-1.4875582	1.3945906000000001	0.94895027	-0.35255766	-1.9192535	-1.1214211	-0.85808002	-2.2733287	-2.2746386000000003	-1.9109509999999998	-5.2422769	-0.69620743	-5.2305137
19	-2.6299153	-5.7364600999999995	-3.4673505	1.2297183999999999	-4.428178599999999	-3.5614902	-3.3043649	-3.9050337	-7.227850900000001	-6.7648268	-10.663329	-3.3790037000000006	-10.650591
20	-1.4805104	1.2144018	2.1968626	-0.40784615	-1.8927873	-1.1093283999999999	-0.85086168	1.0271708000000002	1.0276446	-2.6064919	-6.2171596	-0.70944546	-6.2048042
21	-1.4778066	1.2001957	1.4922608999999998	-0.38911502	-1.9041552	-1.1315266000000002	-0.87316703	0.98966766	0.9900708	0.69068637	-1.1702667	-0.73355335	1.5651332
22	-0.83743229	-5.9048916	-1.9531566000000002	1.1174521000000002	-2.4187088	-1.6071499	-1.3466831	-3.8912430000000002	-3.8905968	-3.456835	-7.212935099999999	-1.2365267	-7.200398
23	-2.2153606	-5.5830989	-0.38167025	-2.1511512	0.10907003	0.25181521	0.29830298	-3.5261271	-3.5266457	-3.1024388	-6.809213000000001	0.37128279	-6.7967671
