	SS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.7004080000000001	1.2041711000000002	-0.14592601	-0.15427542	-2.2718562999999996	-1.295556	-0.98405585	0.54114254	0.54131824	0.36824251	0.54507221	-0.83245271	0.55299498
2	-1.5144313	-3.2299107000000005	0.33463374	0.23050735	-1.2584902	-0.71452951	-0.58241832	-0.47906209	-0.47898431	-0.32487712	-0.90327964	-0.60016631	-0.90057773
3	-0.28609676	-0.03708233	-2.9095484000000003	0.15555118	-0.25261809	-0.09822807800000001	-0.056238922000000004	-0.34473115	-0.34446943	-0.20399083	-0.45069229	-0.037603585	-0.4520402
4	-0.44229143	-0.56913842	0.18550565	-3.1127488	1.2088953000000002	0.90255667	0.837413	-0.22010278	-0.22020759	-0.18442419	-0.52134343	0.87288485	-0.51882245
5	0.83603231	0.65655281	-0.12615005	-0.18553356	-1.8734776000000002	-0.91811521	-0.6106431	0.31905	0.31916747	0.22392797	0.3734761	-0.43644631	0.37742766
6	1.9213078999999997	1.4279283	-0.20629333	-0.31635315	2.2269373	-1.2382908000000001	-0.91797102	0.80209253	0.80234776	0.52602091	0.68290469	-0.72578563	0.69577504
7	2.8544332000000003	2.0302697	-0.22409642	-0.22952651	3.3530523999999997	2.5350682	-1.3661534	1.1936178	1.1939531	0.74244837	0.83550235	-1.2623838	0.85518235
8	-0.76766088	0.079044684	1.2280138	-0.46411041	-0.25391066	0.10751002	0.18141905	-2.7961955	-2.7977842999999996	-2.23513	-6.2073654000000005	0.21994492	-6.193746599999999
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	-0.08337187900000001	-0.06936159900000001	3.0350639	-1.3947456	0.45544374	0.49395915	0.50925012	1.5595417	1.5599359	-2.4092362	-6.541535400000001	0.58860671	-6.5274327
11	-0.010169652	-0.029676425	1.8670106	-0.6809726	0.30548886	0.26952152	0.25115558	0.87924185	0.87950823	0.55957275	-2.0656198	0.26036117	0.71249574
12	-2.99895	-2.3417564	0.26923763	0.24625703	-3.4417571000000002	-2.4041802000000003	-2.0864606	-0.42124124	-0.4211389	-0.2839394	-0.76420701	-1.9866031000000002	-0.76219352
13	-1.8108529999999998	1.1423223	-3.356957	-0.16730788	-2.2562892000000003	-1.2713645	-0.95735853	0.46702455	0.46741461	0.34560185	0.53327053	-0.7954425	0.54041878
14	-3.0085534	0.15641445	0.040343265	-3.2244968999999997	0.02553092	0.015446726000000001	0.015936991	-0.030117801	-0.030132995	-0.026170332999999997	-0.052722081	0.023803615	-0.053045852000000004
15	-0.29694803	2.3008108	-0.18939808	-0.032328336	-2.7146764	-1.6842697	-1.3648536	1.2581004	1.2584396	0.76671394	0.84784172	-1.2468687	0.86823718
16	0.62454614	3.0626659	-0.17798804	0.39987041	-0.13876848	-2.4822135	-2.1675953999999997	1.6920471999999998	1.6924455000000003	0.96324707	0.94800305	-2.1569576	0.97428384
17	0.40107877	2.8642646000000003	-0.18318684	0.26439882	-0.25882485	0.56240637	-1.8225058	1.5905399	1.5909284	0.92051196	0.92826612	-1.7770584999999999	0.95330059
18	-1.9036723999999998	1.4132791999999998	1.5939254999999999	-0.46243437	-2.1156355	-1.1126334999999998	-0.79340583	-2.2617995	-2.2629237	-1.740952	-5.399197200000001	-0.58873812	-5.386352
19	-1.7004080000000001	1.2041711000000002	-0.14592601	-0.15427542	-2.2718562999999996	-1.295556	-0.98405585	0.54114254	0.54131824	0.36824251	0.54507221	-0.83245271	0.55299498
20	-1.7726133999999998	1.3098106000000003	3.1334333	-0.88579495	-1.8094595000000002	-0.83452718	-0.52151619	1.7025514	1.7029634999999999	-2.3531865	-6.4637884	-0.31622566	-6.4497169
