	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-2.4434965	0.80806673	0.57642627	0.35530821	-3.2515537	-2.1742258999999997	-0.69596545	0.74648956	0.75323633	0.73761454	0.81692188	-0.84444728	0.81687208
2	-4.2454554	-7.2981675	-4.7309567999999995	-0.55020398	-4.2418332	-2.0055834	-0.45996074	-5.181545099999999	-5.1343785	-5.107609200000001	-5.211318	-0.52494991	-5.2156192
3	0.10219045	0.1139014	-1.2153603000000002	0.047934752000000004	0.19776017	0.089704895	0.07839988099999999	-0.052710411	-0.031058236	-0.028859836	-0.029178625	0.10403564	-0.031059405
4	-0.053869636	-0.043049473	-0.031144928	-3.3352572	1.6525123	0.14458375	0.053879663	-0.039280277	-0.039440109	-0.038777675	-0.041790724	0.07314369	-0.041838391
5	0.1923512	0.1564436	0.10925029	0.052131504	-2.5790146000000003	-1.4170107	-0.41246267	0.14091846	0.14086207	0.13819535	0.14949916	-0.50783516	0.14984699
6	0.28578989	0.23530011	0.16036188	0.080086614	0.2609051	-3.4358082000000003	-1.3820805	0.20983405	0.20896937	0.20473858	0.22170792	-1.5711419	0.22243773
7	0.29068924	0.24037169	0.1627394	0.081974962	0.26225774	0.031101371000000003	-1.8647086	0.21371247	0.21257779	0.2082108	0.22542366	-2.0503467	0.22623112
8	-4.0648957	-6.4308551	-7.7624933	-0.48488408	-4.1178327	-1.9446956999999998	-0.38094172	-8.720947500000001	-8.6983091	-8.6714669	-8.778594	-0.43560958	-8.782348599999999
9	-4.3122419	-7.979899400000001	-8.727817	-0.55126617	-4.3101711	-2.05967	-0.47924673	-5.865329900000001	-9.1482125	-9.1209448	-9.227714599999999	-0.54621317	-9.231880499999999
10	0.0063745582	0.0066008879000000005	0.0061714278000000004	0.0020862635000000003	0.0073194455000000005	0.0019573339	0.00058180429	0.0065185616	0.007410196700000001	-3.3146164	-3.4149252	0.00076149151	-3.4150913999999997
11	0.00012991165	0.00013793566000000002	0.00028350349	4.3431863999999995e-05	0.00011937971999999999	1.8216129e-05	2.0195588e-06	0.00016574383	0.00022959511000000002	0.00022553757000000002	-2.4599928	2.5217084e-06	7.7177725e-06
12	-6.5832272	-6.847314900000001	-4.5902843	-0.46673399	-6.696628	-4.7236782999999996	-2.1223668	-5.0356098	-4.9894414000000005	-4.9629463	-5.066538400000001	-2.3107033	-5.0706358
13	-2.3541397999999996	0.89985694	-0.57991434	0.40361913	-3.1790822999999997	-1.8340083999999999	-0.43634053	0.687284	0.71246384	0.69934741	0.77511559	-0.53368878	0.77337848
14	-2.5255308	0.73939925	0.53481982	-2.9966033	-1.1032617	-0.66528154	-0.17058185	0.68676368	0.69420746	0.68045168	0.75228028	-0.24063301	0.75184811
15	-2.386794	0.85526647	0.60504766	0.37654172	-5.059882599999999	-3.9968686	-1.9206208999999999	0.78762966	0.79396445	0.7770247	0.86170277	-2.1754491000000002	0.86191245
16	-2.3786379	0.86215942	0.60911037	0.37967836	-3.2099957999999997	-5.452318	-3.1677899	0.79356325	0.79981211	0.78267309	0.86812586	-3.461961	0.86838177
