	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.8685198	1.1742118000000001	-0.19506329	0.24000456	-2.5898087000000003	-1.5060267	-1.099457	0.30621618	0.30667035	0.21898576	0.57437073	-0.86980668	0.57610189
2	-2.2884816000000003	-2.9397782	0.12535734	-0.21487804	-1.6665354	-0.78810714	-0.52050518	-0.25622685	-0.25538886	-0.15728511	-0.64352813	-0.43450263	-0.64820668
3	-0.24602554	-0.034637117	-2.5032196	0.37620063	-0.20709016	-0.12868661	-0.10955898	-1.1326812	-1.1325264	-0.97661648	-1.4572201999999999	-0.10767639	-1.4628
4	-0.25450312	-0.46205239	-0.042346273	-3.3035992	1.3109696000000002	0.89522728	0.77082946	-0.150895	-0.15114043	-0.13710031	-0.17227234	0.72521179	-0.17252187
5	0.87939672	0.71902373	-0.13457724	0.10290252	-2.1611177	-1.0844951	-0.68916463	0.15007358	0.15030991	0.1027915	0.323654	-0.43861269	0.32466231
6	2.0771128	1.6694518	-0.565167	0.32791575	2.0279591	-1.5162038999999998	-1.1020964	0.45583789	0.45652302	0.34232347	1.0697515	-0.84033574	1.0679481000000002
7	2.950441	2.3594501	-0.98468865	0.58732401	2.9099899	2.1687411	-1.6092757	0.83416605	0.83528981	0.64906914	1.9783607	-1.4460034	1.9718866000000002
8	-1.2376306000000001	0.40532918	-2.0385085	0.29861205	-1.5301993	-0.47506347	-0.066328343	-4.1256584	-4.137137200000001	-3.7823941	-6.7818057000000005	0.27120894	-6.774606599999999
9	-2.5162632	-5.665810400000001	-6.7967084	0.51073094	-2.8621893	-1.7092509999999999	-1.2954192	-5.3651075	-8.6893038	-8.3133158	-11.414205	-1.0364345	-11.406925
10	0.011418623000000001	-0.0195445	0.55104238	-0.19504312	0.06667094	0.061783364	0.060109710999999996	0.37875621	0.37960634	-3.0017275000000003	-5.9267233	0.06323212	-5.9196722
11	0.007821927	-0.017674491	0.54544616	-0.19154121	0.064340491	0.059784737000000004	0.05926052	0.37805447	0.37870851	0.32038436	-1.6434275	0.064090668	0.95804247
12	-3.3905027999999997	-1.205026	0.083460545	-0.12810621	-3.3586788	-2.1846092	-1.7586796999999998	-0.14342453	-0.14252002	-0.066272434	-0.24314778	-1.5760508999999998	-0.24975565
13	-1.9547093	1.1253051	-2.7603006000000003	0.4439479	-2.7289951	-1.6306638999999998	-1.2191981	-0.36542275	-0.36431854	-0.32253307	-0.30188568	-0.97857176	-0.30384431
14	-2.8868014	0.25288947	-0.030452847999999998	-3.2259778	0.21560277	0.094247206	0.038920872	0.031569245	0.031617383	0.00259093	0.040103112	-0.029209604	0.041949402000000004
15	-0.35884643	2.4031957000000004	-0.953865	0.66531797	-3.1739705000000002	-2.0127556	-1.5885871999999999	0.85063691	0.8517439	0.64447118	1.9226893	-1.3996895	1.9176563999999998
16	0.50788084	3.1131501	-1.1967718999999999	1.062315	-0.61284275	-2.850873	-2.4328766	1.3701999	1.3716901000000001	1.0319125	2.7059197999999998	-2.3600038	2.7033869999999998
