	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.8178253	1.2587853999999998	0.0030320649	-0.32936783	-2.6512429	-1.5310751	-1.0936423000000002	0.53119412	0.5314249	0.32638589	0.31202334	-0.73520057	0.32149628
2	-1.2302957	-3.4782101	0.1249137	0.5631361	-1.7892580000000002	-0.93502413	-0.63496895	-0.6726237	-0.67261196	-0.4319546	-0.7904229	-0.50590745	-0.79417671
3	-0.25285911	-0.058432369000000005	-3.1880296	0.042321181	-0.3378974	-0.10404438	-0.02891683	-0.20176471	-0.20137274	-0.07609199	-0.055850269	0.021201606	-0.058268134000000006
4	-0.30299692	-0.31472689	0.043352604	-3.0285493	1.3791596000000002	0.9485964	0.81095786	-0.19548432	-0.19559353	-0.16510069	-0.29885043	0.76640475	-0.30022594
5	0.74124797	0.62820703	-0.029110135	-0.35551415	-2.217372	-1.1330966	-0.70450255	0.35259486	0.35276439	0.23026344	0.239071	-0.35637219	0.24556309
6	1.7219189	1.3406328	-0.033702308	-0.63949628	1.9810338	-1.5357399999999999	-1.0924326000000002	0.79349434	0.79382694	0.47461946	0.40680763	-0.71537724	0.42094267
7	2.3060275000000003	1.7098159	-0.027347795	-0.65572114	2.7184061	2.0427914	-1.7461117	1.0006467	1.0010335	0.573048	0.45886196	-1.4930736	0.47598901
8	-0.67606986	0.10141057	1.2874222	-0.723101	-0.45250839	0.09115538	0.24337462	-2.7975421000000003	-2.8001373	-2.0601264	-5.8977656	0.332339	-5.8921679000000005
9	-1.0103989	-2.7370281000000003	-0.57003301	0.4661863	-2.3435525	-1.2102916000000001	-0.76973383	-1.0138593	-4.3372975	-3.5006966	-7.966220799999999	-0.36669301	-7.959384700000001
10	0.013818833999999999	0.089106534	2.6736199000000003	-1.3331436	0.47854179	0.49330117	0.49474531	1.1648501	1.1652943999999998	-2.6809844	-6.9204774	0.54116095	-6.9138630999999995
11	0.029713116	0.062821787	1.9017936000000002	-0.81827661	0.361579	0.32939539	0.30821162	0.78828034	0.78860347	0.46388877	-2.3933779	0.30779946	0.40981505
12	-2.7579615	-2.7494575	0.090601167	0.5458542	-3.9698062000000007	-2.7696556	-2.3259365	-0.60500177	-0.60494641	-0.38532153	-0.67575017	-2.0677997	-0.67972858
13	-1.9254296000000002	1.0887468999999999	-3.2373855	-0.40550141	-2.6185708	-1.4918225	-1.0525311000000002	0.5004598	0.50099101	0.33243749	0.32385228	-0.68302902	0.33353413
14	-2.9986203	0.2133792	0.042108898	-3.1435205	0.018459059	0.011821052	0.014624365	-0.08237693900000001	-0.082427795	-0.066301028	-0.089696284	0.025461632999999997	-0.091221995
15	-0.62176964	2.3244165	0.022839362000000002	-0.36059065	-3.2437272999999998	-2.070665	-1.6301605	1.1773166000000002	1.1777455	0.63993841	0.48818899	-1.347664	0.50721547
16	-0.12746866	2.8245223999999998	0.036932302	-0.11465382	-0.98225599	-3.1407272	-2.7076486	1.3991298	1.3995965	0.72630756	0.52486974	-2.559997	0.54634469
17	-0.25051266	2.6872564	0.032810892	-0.19674369	-1.0340813	-0.049743866	-2.252568	1.3474283	1.3478877	0.707455	0.51729982	-2.0620675	0.53825105
18	-1.9946335	1.3893923000000001	1.5513846000000002	-0.73105037	-2.4451362000000003	-1.3011685	-0.85834291	-2.4008587	-2.4027636	-1.7069751	-5.1305097	-0.44720866	-5.1261969
19	-2.6343075000000002	-2.451911	-0.45847259	0.43239485	-4.1157351	-2.8968694	-2.4581587000000003	-0.88444451	-4.2075751	-3.3760165	-7.813974000000001	-2.2832327	-7.8071845
20	-1.8175766	1.4135077	2.7874302	-0.98860301	-2.1840997000000004	-1.0688188	-0.63224611	1.3102935	1.310773	-2.6281076	-6.8458141	-0.23338631	-6.8392337
21	-1.8215152	1.336134	2.0053418	-0.7134462	-2.3939122000000004	-1.2828023000000002	-0.84495788	1.01573	1.0161193000000002	0.56649478	-2.3474890999999998	-0.46669129	0.46813434
22	-0.86196236	-3.8888238	-1.9008697	1.0684274999999999	-2.7239240000000002	-1.5741809	-1.1333756000000001	-1.7191633000000002	-1.7185457999999998	-1.1221267	-3.3372636	-0.76760353	-3.3382184
23	-1.9652452	-3.8212718	0.13956287	-2.6946122000000003	0.82138341	0.62521376	0.58007239	-0.69441483	-0.69442151	-0.45018835	-0.84572289	0.61036461	-0.84904365
24	-0.40827626	-3.0866342999999996	0.1051159	0.4544963	-3.3928226	-2.2141852	-1.7702681	-0.64321965	-0.64318298	-0.41002356	-0.73389533	-1.4463979999999999	-0.73780059
25	-0.13771081	-3.0168352	0.1015661	0.40892979	-0.97315352	-3.2747099	-2.8342873	-0.63806218	-0.63801902	-0.40616926	-0.72426358	-2.6545313	-0.72818604
26	-0.14254541	-3.0128880000000002	0.10130469	0.4091356	-0.97256197	-0.11833118	-2.3883092999999995	-0.63759728	-0.63755412	-0.40580588	-0.72329	-2.2058872000000003	-0.72721686
27	-1.2069208	-3.3638226	0.6915724	0.029023165	-2.1045307999999996	-0.99471867	-0.55897039	-3.6560171	-3.6570150999999997	-2.8516849	-7.139458900000001	-0.16390097	-7.1329338
28	-0.93299506	-7.030502900000001	-1.3421573	1.069819	-2.7999487999999997	-1.6395988000000001	-1.196982	-1.9117255000000002	-5.234792	-4.3739761	-8.9652173	-0.83098571	-8.9582031
29	-1.5889239	-3.0912857000000002	2.5499487000000003	-1.442579	-0.85779576	-0.086007059	0.17238606	0.99938153	0.9999426	-2.7429363999999996	-7.0072578	0.35156526	-7.0005934000000005
30	-1.4753745	-3.1547676	1.7732305	-0.70421846	-1.1145365	-0.34956319	-0.094042322	0.51185144	0.51230338	0.33832853	-2.4573319	0.035263476	0.32973996
31	-0.65044992	-0.50583313	-3.0650121	-2.8259646000000003	1.2943505	0.89126892	0.76056467	-0.56057812	-0.56027656	-0.37049099	-0.70661177	0.72326349	-0.70809985
32	0.58788447	0.56693423	-3.2615007	-0.36035268	-2.2324053	-1.1332659999999999	-0.69901838	0.24329275	0.24378615	0.20305104	0.23283551	-0.32078002	0.23847765
33	1.5922256000000001	1.2192364	-3.2770493999999997	-0.62864484	1.9123806	-1.5446189	-1.1013723	0.68082842	0.68139764	0.43702483	0.39146958	-0.72653184	0.40447698
34	2.1759432999999997	1.5629951000000002	-3.2733214	-0.659996	2.6562286	2.0287446	-1.7472546000000002	0.88419307	0.88478286	0.53198299	0.44219713	-1.4944642	0.45810613
35	-0.75102405	0.05342505	-1.1906155	-0.21997723	-1.3931095	-0.41059535	-0.035668039	-3.3259635000000003	-3.327434	-2.542009	-6.708039200000001	0.21095647	-6.7016602
