	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.2735673	1.1231482	-0.42994752	-0.5811555	-0.71778772	-0.68354809	-0.68402218	0.85930054	0.85929298	0.5223142	0.56008922	-0.80668418	0.57592644
2	0.35935032	-4.5935692	2.6941976000000003	1.5033961999999998	-1.1787914	-1.1153078	-1.1177409	-2.5588311000000004	-2.5587120999999997	-2.1079152000000003	-6.229206700000001	-1.3013715000000001	-6.2133232000000005
3	-0.00052733933	0.005619745600000001	-3.2741281000000004	0.0007158667	-0.001298552	-0.0009886209900000001	-0.00091974632	-0.0019091975	-0.0019083307	-0.0012903982000000002	-0.0020697682	-0.0010095183	-0.0021040995
4	-1.7134543000000002	-1.2754784	1.8547531000000004	-2.5805136	0.91548701	0.85613739	0.85270864	-0.96032771	-0.96029302	-0.71373774	-2.5852562000000003	0.9573818	-2.5784807
5	1.0134508	0.68735286	-0.34847286	-0.43021584	-0.41876643	-0.39452911	-0.39383247	0.53564354	0.53564409	0.33993255	0.41344308	-0.46687318	0.42336196
6	2.1643588	1.3573883999999998	-0.48968998	-0.75580505	3.3891614999999997	-0.51015903	-0.50499895	1.0200361999999998	1.0200514999999999	0.6062505	0.61635199	-0.59247981	0.63484611
7	3.1600252	1.8991247	-0.52610344	-0.86294308	4.969539599999999	3.3828282999999995	-0.79139847	1.3641365	1.3641443000000002	0.77081556	0.71049606	-0.93119211	0.73411881
8	-0.1218453	0.17324956	3.0325153	-0.013055249	-0.11353334	-0.086528374	-0.082393015	-3.2174454	-3.2169552	-2.725895	-7.0906201	-0.09338992	-7.0744022
9	0.38772259	-4.8276699	0.25178987	1.6241588	-1.2729542	-1.2091221	-1.212593	-2.9338504000000003	-6.2552386	-5.7010311	-10.39356	-1.4081948999999998	-10.376696
10	-0.052737759	-0.0065203917	3.9734022000000007	-0.066714836	0.014557941999999999	0.023120217999999998	0.0234759	0.096282585	0.09628834800000001	-3.2574577000000002	-7.7465884	0.02848657	-7.729938400000001
11	-0.0352233	-0.044136032	3.0621568999999997	-0.010649211	-0.025689554	-0.024336995	-0.024496293	0.018237523999999998	0.01822421	0.012320273999999999	-2.6704124	-0.029422715	0.016483546
12	-1.4598674999999999	-4.262658	2.8257007	1.559025	-3.0746787999999996	-2.9847207	-2.9927132000000003	-2.391682	-2.3916223999999997	-1.9540596999999997	-5.987428599999999	-3.3118866000000002	-5.971700900000001
13	-1.2733068	1.1270171999999998	-3.7253643	-0.58143079	-0.71723732	-0.68282008	-0.6832293	0.86004789	0.86004069	0.52271521	0.56037416	-0.80570347	0.57622379
14	-3.1229035	-0.13807498	0.13325716	-3.1847827	0.054923473	0.052461124000000005	0.052686573	-0.10568605	-0.10569794	-0.072398847	-0.12551179	0.063053111	-0.1270203
15	0.068701819	2.1366994	-0.49228582	-0.77666487	-0.98305766	-0.92761766	-0.92482841	1.5003901000000002	1.5004049	0.83035929	0.74020339	-1.0794538999999999	0.76560837
16	0.96414981	2.9945539	-0.45568932	-0.50005732	1.5820645	-1.7118586	-1.7164479	1.8937697	1.8937713	0.98478525	0.80835468	-1.9624452000000001	0.83820101
17	0.72427346	2.7420228	-0.47048689	-0.62028426	1.4471477	1.3126606	-1.2921725	1.7927656000000003	1.7927751	0.94756537	0.79300298	-1.4965347	0.8218033
18	-1.2606766	1.2945275	3.4232127	-0.55854635	-0.72773769	-0.67516257	-0.673821	-2.4372639	-2.4373748	-1.9961262999999998	-6.0551511	-0.79333186	-6.039239599999999
19	-1.4654817	-4.5348883	0.46571988	1.6970406000000002	-3.2190184	-3.1297735	-3.1385017000000004	-2.7697827999999998	-6.0912738	-5.5381606	-10.225583	-3.4629907999999996	-10.208708999999999
20	-1.3068478000000001	1.1197583	4.3421358	-0.62086558	-0.71122787	-0.6633071	-0.66347061	0.91430325	0.91429602	-2.7703994	-7.148117599999999	-0.78266066	-7.1316136
21	-1.304122	1.0861812	2.7276447	-0.57802723	-0.75239101	-0.71633637	-0.7170308	0.85119531	0.85118499	0.51796577	-2.2096622000000004	-0.84493881	0.57123607
22	0.38369144	-4.888457900000001	1.0148539	1.6140135	-1.266727	-1.2032421	-1.2067208999999999	-2.8780297000000004	-2.8779988999999997	-2.405599	-6.6621891	-1.4016617	-6.645999799999999
23	-1.3415108	-4.693377099999999	2.7657055	-1.7230151000000002	0.39858861	0.38335114	0.3840986	-2.5145444	-2.5144558	-2.0670278000000004	-6.166343599999999	0.45656128	-6.1504984
24	0.86567886	-4.731577	2.612746	1.4506673	-2.3717111	-2.2864279	-2.2930611	-2.6491005000000003	-2.6489402	-2.1915616	-6.3550014	-2.5796115	-6.33905
25	0.91626356	-4.7522207000000005	2.6023366	1.4448482	-0.54780003	-3.5685549	-3.5777608	-2.6610472	-2.6608772000000003	-2.2026546000000002	-6.3714154999999995	-3.9143279000000004	-6.3554580000000005
26	0.88422899	-4.739136	2.6088041	1.4483298	-0.58440742	-0.53938479	-2.395202	-2.6535784	-2.6534159	-2.1957206	-6.3611633	-2.6876868999999997	-6.3452088
27	0.53208124	-6.118968799999999	0.77728317	1.8312297999999998	-1.3367755	-1.2718707	-1.2752835	-6.348654499999999	-6.348250900000001	-5.7935018	-10.488706	-1.4781161	-10.471819
28	0.38607906	-8.598302	-0.13978219	1.7533044999999998	-1.4060736	-1.3399521	-1.3442176000000001	-3.3710279	-6.692427599999999	-6.135875599999999	-10.839502	-1.5548167	-10.822623
29	0.35920774	-4.5860807	2.7211857999999998	1.5008956	-1.1763865	-1.1129353000000002	-1.1153795	-2.5510022	-2.5507632	-5.422494	-10.105856	-1.2987349	-10.089027
30	0.35933223	-4.5869774	2.7179556000000002	1.5011843	-1.1765538999999998	-1.1131941	-1.1156368	-2.5519501	-2.5517092999999997	-2.1014405	-8.6841277	-1.2990218	-6.2050072
31	-1.6920738000000002	-1.3083326000000002	-1.1110364	-2.5354664000000002	0.89006296	0.83322236	0.83012929	-1.0355566999999999	-1.0355364	-0.77445577	-2.8950134	0.93592882	-2.8866492999999998
32	1.0132943	0.6899326	-3.637397	-0.42951372	-0.41956296	-0.39518562	-0.39446025	0.53457084	0.5345717	0.33929913	0.41286599	-0.46757932	0.42276381
33	2.1645416	1.3580968999999998	-3.7838662000000003	-0.75500987	3.3883089	-0.51056638	-0.50539461	1.0189358	1.0189511999999998	0.60569156	0.61599853	-0.59293018	0.63447465
34	3.1591937999999997	1.89865	-3.82216	-0.86241896	4.9679268	3.3823867999999995	-0.79145081	1.3629216999999998	1.3629296	0.77027054	0.71021458	-0.93125151	0.73382074
35	-0.11089304	0.17152184	1.4183409	0.011399781999999999	-0.12757916	-0.099119678	-0.09479776599999999	-3.2490107000000004	-3.2489137	-2.7563039000000003	-7.1297618	-0.10796657	-7.1135348
36	0.39168457	-4.8997155999999995	-1.8043837	1.6487294999999997	-1.2939436000000002	-1.2301223999999997	-1.2338345	-3.0037252	-6.3255547	-5.7709306	-10.465492999999999	-1.4320325	-10.448617
37	-0.02089334	0.0041593634	2.3797064	-0.023001517000000003	0.0021848116000000002	0.011024468	0.011203868	0.033195143999999996	0.033194382	-3.2995419999999998	-7.796346099999999	0.013593401000000001	-7.7796768
