	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-2.3329133	0.1903865	0.042478380999999996	0.054223347000000005	-2.3120082	-2.2284617	-1.8555313000000002	0.04467461599999999	0.044036270999999995	0.043982385	0.043933825	-1.8630571	0.04398644
2	-0.15156484	-3.4570053	-0.20089749	-0.005667884200000001	-0.13106864	-0.10047718	-0.065473534	-0.25459088	-0.21181422	-0.21139339	-0.21098786	-0.065019824	-0.21140353
3	0.32706435	1.729136	0.33487504	0.052064385	0.29060547	0.23854514	0.19326321	1.6884152	1.7034412	1.7034096999999997	1.7038775000000002	0.19350802	1.7038178
4	0.00027289295	0.00037405321000000003	0.00010976298999999998	-3.3216855000000005	0.17872755	0.12157734	0.06936637799999999	0.00011356864	0.00011304323999999998	0.00011289986000000001	0.00011276963	0.068055142	0.0001129099
5	6.275434799999999e-06	3.8594154e-05	5.9619605e-06	9.871475e-08	-1.7153450000000001	-1.7002015	-1.4447581	6.48045e-06	6.5304792999999994e-06	6.465898e-06	6.4004147e-06	-1.4554844	6.4643235e-06
6	7.052874299999999e-06	4.3466268e-05	6.7008692e-06	1.1169234e-07	3.3326594e-06	-3.0574649	-2.7154071	7.2936635e-06	7.346911200000001e-06	7.2735429e-06	7.199146599999999e-06	-2.7291531000000004	7.271743299999999e-06
7	6.3003367e-06	3.8850985000000004e-05	5.9859718e-06	9.9959304e-08	2.973664e-06	8.6510491e-07	-1.4922597	6.517991599999999e-06	6.5648162000000006e-06	6.4990805e-06	6.432423e-06	-1.4949091	6.4974654e-06
8	-0.10441906	-2.8798077999999996	-3.0733165000000002	0.038907698	-0.08648358	-0.048159224	0.010818541000000001	-3.594119	-3.5931330000000004	-3.5927227	-3.5925008000000003	0.012508247	-3.5928755
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.00010862903000000001	0.00097712296	0.00074291382	4.2226798e-06	0.00011236961000000001	0.00011703301000000002	9.361495500000001e-05	0.00019519121999999998	0.00068671336	-3.3212407999999995	-3.3214046	9.499112300000001e-05	-3.3214052000000005
11	2.0804657999999997e-08	1.905997e-07	5.063897e-07	8.0667217e-10	1.7109425e-08	1.1977451000000002e-08	7.160379e-09	4.854252e-08	2.1559106e-07	2.1546082e-07	-2.4594327000000002	7.0549802e-09	-1.592017e-07
12	-2.4181939999999997	-3.2876693	-0.1871433	0.047984947	-2.3833273	-2.2814895	-1.8980404999999998	-0.24037893	-0.19764858	-0.19723174	-0.19682846	-1.9047314999999998	-0.19724046
13	-2.1372467	1.912824	0.3717437	0.10618723	-2.1467723999999997	-2.0986414	-1.7157436000000001	1.7259988999999998	1.7406407	1.7405547	1.7409858	-1.7246706000000003	1.7409771
14	-2.3326309	0.19078819	0.042602039	-3.2674516	-2.1275294999999996	-2.1017455000000003	-1.7603625	0.044802762	0.044163703	0.044109643	0.04406092599999999	-1.7706699000000001	0.04411371
15	-2.3329128	0.19038958	0.042478867000000003	0.05422336	-4.0154128	-3.9295562999999993	-3.4923550000000003	0.044675187000000005	0.044036839	0.043982948	0.043934382	-3.5028057999999995	0.043987002000000004
16	-2.3329128	0.19038987	0.042478914000000007	0.054223362000000004	-2.312008	-5.2693788	-4.8131638	0.044675241	0.04403689400000001	0.043983002	0.04393443599999999	-4.8242971	0.043987056
17	-2.3329128	0.19038949	0.042478854	0.05422336	-2.312008	-2.2284617	-3.3428712	0.044675171	0.044036824	0.043982932	0.043934367	-3.3511224000000004	0.043986987000000005
18	-2.3727862999999996	-2.6417177000000005	-3.0453011	0.094348159	-2.34078	-2.2301572999999997	-1.8142610000000001	-3.5756455000000003	-3.575529	-3.5751277000000004	-3.5749148999999996	-1.8199217	-3.5752806000000006
19	-2.3329133	0.1903865	0.042478380999999996	0.054223347000000005	-2.3120082	-2.2284617	-1.8555313000000002	0.04467461599999999	0.044036270999999995	0.043982385	0.043933825	-1.8630571	0.04398644
20	-2.3328487	0.19139829	0.043241206	0.054228150999999995	-2.3119441000000003	-2.2283977999999998	-1.8554714	0.044895675999999995	0.044757538	-3.2772239	-3.2774417999999996	-1.8629971	-3.2773898
21	-2.3329133	0.1903867	0.042478907999999996	0.054223348	-2.3120082	-2.2284617	-1.8555311999999997	0.04467467	0.044036497	0.043982611	-2.4154989	-1.8630571	0.043986279
22	-0.11493024	-1.7308858	0.12970202	0.033854101	-0.10256328	-0.07825678700000001	-0.016577891	1.4301416999999998	1.4857615	1.4861426000000002	1.4869383999999999	-0.016010572	1.4864829
23	-0.15130326	-3.4566677	-0.20083624	-3.3273539	0.047449835999999995	0.020613845	0.005067864	-0.25452835	-0.21175192	-0.21133113	-0.21092564	0.0041157486	-0.21134126
