	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.9027961	1.1559178999999997	0.026443645	0.24334159	-2.9371767	-1.8391939999999998	-1.2749829	0.75138627	0.752684	0.42615705	0.46388515	-0.5998558	0.47410392
2	-2.5045802000000004	-7.0244715	-0.75112122	0.84056134	-3.4212086999999998	-2.2526478	-1.669259	-4.6948877	-4.703812	-3.9357068999999996	-8.404186	-0.93994703	-8.396980099999999
3	0.011256768	0.010675914	-2.8353313	0.007876152800000001	0.0086936102	0.0035508487	0.0029173349	0.0039486763000000005	0.0059721306	0.0072097077	0.006817658199999999	0.0044512675	0.0067647
4	-0.1523031	-0.10077067	0.014793531	-3.3097681000000003	1.4831575000000001	0.69035391	0.30930706	-0.078424174	-0.078574338	-0.053695979000000005	-0.089601796	0.078629304	-0.09012589300000001
5	0.7543281	0.55192615	-0.054494352999999995	-0.026105934	-2.5874622000000005	-1.5544228	-1.015205	0.44152418	0.44231117	0.29015871	0.37571287	-0.41348859	0.38202114
6	1.4294354	1.0377238000000002	-0.062851339	0.087737186	1.348438	-2.6688468	-2.1206615	0.80386465	0.80503656	0.49563091	0.53020891	-1.4631017	0.54335326
7	1.6544631	1.1853182	-0.062536665	0.1547148	1.4281674	0.64902939	-2.9849083	0.89522707	0.89647989	0.53803531	0.55307849	-2.4784609	0.56759753
8	-1.4815806999999999	-1.5012014999999999	-0.33656505	0.49655269	-2.4261353999999997	-1.4937046999999999	-0.9786884	-4.6402165	-4.6666407	-3.9189065999999997	-8.2922974	-0.34425928	-8.281715
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0075215237	0.011693385	1.0386826	-0.0061483002	0.008044643800000001	0.010834642	0.0067596748	0.019051537	0.019768481	-3.3060746	-7.6354217	0.0022344613	-7.629502900000001
