	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-2.1627092999999995	1.2796874	0.10601486	0.44451569	-3.3219013	-2.0587399	-1.4162658000000001	0.30713286	0.30742769	0.13741408	0.076258356	-0.65954017	0.080486549
2	-2.0214461999999997	-3.7852688999999997	-0.19830444	0.18993717	-1.991797	-1.0124217	-0.55824311	-0.64132789	-0.64128007	-0.32092668	-0.2415137	-0.18923306	-0.25092047
3	-0.40254451	-0.36379289	-3.2903486000000006	0.15907986	-0.39934233	-0.16659562	-0.074856347	-0.40815262	-0.40746266	-0.16923403	-0.093904283	-0.014830397	-0.099135801
4	-0.063847641	-0.05340986	-0.0044180891	-3.3221538	1.2727243000000001	0.55284019	0.21772726	-0.018220511	-0.018235977	-0.009915798100000001	-0.0068860488	0.046952553	-0.007214981
5	0.545408	0.43559826	0.03821981	0.00302659	-2.8549786	-1.6614781000000003	-1.0454679	0.18293439	0.18309886	0.09552133	0.058293511	-0.39624062	0.061363147
6	1.0440239	0.79841815	0.070132462	0.063728767	1.0185182	-2.8221192999999998	-2.1894982999999995	0.35732766	0.35758647	0.17904902	0.10088301	-1.4582087	0.10660572
7	1.2087073	0.91299467	0.079536664	0.10817335	1.0993667	0.49900427	-3.0763147999999996	0.40293082	0.40321279	0.19799973	0.10925441	-2.500234	0.11555043
8	-0.86782377	-0.46350861	0.050283452	-0.25357408	-0.66805587	-0.17279443	-0.041362319	-3.3987495	-3.407401	-2.2923291	-5.8056695	-0.033350516000000004	-5.814806
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.1835692	0.24299648	1.3288684	-0.36072573	0.3897652	0.25545438	0.12760644	0.48487861	0.48529543	-3.0926237999999997	-7.204538	0.01992141	-7.2122698000000005
11	0.15922148	0.20934993	1.1258852	-0.31785473	0.33037891	0.21542649	0.11171981	0.42290684	0.42314876	0.20507199	-2.6972517999999996	0.017810133	0.11780258
