	GS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
1	-1.0173780000000001	1.288938	-1.2687237	-0.32648884	-0.7198182	-1.0611369	-1.1077742	1.0998367	1.0993502	0.78112196	2.1197836	-0.98014896	2.1328999
2	0.11347597	-5.417871900000001	1.2916595	1.0922768999999999	-1.0143746999999999	-1.6222098	-1.7508296000000003	-3.4992644999999998	-3.499917	-3.1863554	-6.4874767	-1.8823447	-6.4622807
3	-0.010733736	-0.00461227	-3.7268677	0.006446899	-0.018056684	-0.02052049	-0.019427913999999998	-0.0091584648	-0.0092183448	-0.0072479152	-0.03963938	-0.0087786419	-0.03935727
4	-0.37487207	-0.28670525	0.19093433	-3.2588685	3.438843	2.0690834	1.2221693	-0.24218277	-0.24166345	-0.19196835	-1.0225201	0.26834343	-1.021439
5	1.6608891	1.0703159	-1.0920954999999999	-0.3532956	0.079407491	-0.37295056	-0.44920716	0.92227708	0.92200949	0.66731166	1.9801199	-0.33412495	1.9888926
6	3.8711154000000003	2.3814357000000004	-1.5145574	-0.35589514	5.1623706	-0.86457843	-1.0562637	1.921186	1.9205554	1.2417038	2.4988767000000003	-1.1327038999999999	2.5272607000000002
7	4.4686579	2.7483044999999997	-1.5524056999999998	-0.21425437	5.421931900000001	2.4956905	-1.9947544999999998	2.1524827999999996	2.1517392999999996	1.3504028000000001	2.5589106	-2.2495086	2.5908078
8	1.6196698	1.3534561	2.5586328	-0.010573735	1.7835014999999999	0.56772757	0.26892735	-2.2650181000000003	-2.2748378	-2.006954	-5.0656385	0.024150871	-5.0397818
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.015294975	0.036823542	2.8058752	-0.021448228	0.038595006	0.031500963	0.027424492	0.063084812	0.063670373	-3.272253	-6.581490299999999	0.011398274	-6.558288900000001
11	0.016912983	0.034471628	2.6554979	-0.020033385	0.03880796	0.024435973	0.020673564	0.05760996	0.058078898	0.04533621400000001	-2.3193264	0.0084538221	0.22450375
12	-1.7066699	-5.122089599999999	1.4499962	1.177292	-2.9455355	-3.5809248	-3.737398	-3.3491251	-3.3496696000000004	-3.0398264	-6.3218163	-4.120435	-6.2966758
13	-1.0197755	1.2892998	-4.7929855	-0.32419632	-0.72467383	-1.072392	-1.1204365	1.0991575	1.0986649	0.7806788	2.1192067999999997	-0.99691162	2.1323314
14	-3.2389891	-0.34937881	0.22028476	-3.1616744999999997	-0.08536564	-0.01700529	-0.0054442512	-0.30462357	-0.30452475	-0.24414949	-1.2861219	0.0007834746499999999	-1.276918
15	1.5527977	3.2479465	-1.6160773000000002	0.08669633	-0.4149813	-1.2488351	-1.4346961	2.4305979	2.4299772999999996	1.4693158000000002	2.6168282000000005	-1.5806433000000002	2.6521726
16	2.0521765	3.7344845999999996	-1.5942058000000001	0.4331849	1.7710162	-2.4862592999999995	-2.6884908	2.6478572	2.6471063	1.5529785	2.6527243	-3.0291104	2.6905513
17	1.9750375	3.6553786	-1.597348	0.37323925	1.7509518	0.65159411	-2.3761614	2.6155892000000005	2.6148518	1.5410329	2.6477907000000003	-2.6823462000000005	2.6852739
18	-0.58760074	1.7337320999999999	2.7293021	-0.33013174	-0.27090822	-0.71370198	-0.78758902	-1.9693566999999998	-1.9702206000000002	-1.7190102999999999	-4.6668734	-0.66070871	-4.643307
19	-1.0173780000000001	1.288938	-1.2687237	-0.32648884	-0.7198182	-1.0611369	-1.1077742	1.0998367	1.0993502	0.78112196	2.1197836	-0.98014896	2.1328999
20	-1.0266034	1.290405	3.1335456	-0.33465798	-0.72091502	-1.0452667	-1.0916059	1.1183624	1.1179192	-2.5291427000000004	-5.723378299999999	-0.96077614	-5.6990155
21	-1.0111073	1.2997447	2.9092717999999995	-0.33575238	-0.70382168	-1.0481676	-1.0956095	1.1234136000000001	1.1229026000000002	0.79591164	-0.58923029	-0.96689585	2.1475975
