	4EBP1_pS65_V	Rb_pS807_V	MAPK_pT202	MEK1_2_pS217	AKT_pS473_V	BIM_V	CyclinB1_V	CyclinD1_V	p38_pT180_V	SRC_pY527_V	STAT3_pY705	TSC2_pT1462	p27_mouse	c-Myc	PLK1	S6_pS240_V	cellprol	aMEK12	aAKT	aHDAC	aBRAFm	aPKC	aSTAT3	amTOR	aPI3K
1	-0.43	-0.61	-0.86	-0.71	0.1	0.37	-0.34	-0.56	-0.3	-0.31	0.13	-0.28	0.32	-0.11	-0.02	-0.48	0.24	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	-0.31	-0.32	-1.0	-0.59	0.09	0.65	-0.11	-0.56	-0.2	-0.15	0.0	-0.27	0.44	-0.31	-0.01	-0.32	0.43	-0.7	0.0	-0.11	0.0	0.0	0.0	0.0	0.0
3	-0.61	-1.1	-1.23	-0.93	0.0	0.73	-0.8	-0.83	-0.21	-0.24	0.15	-0.34	0.71	-0.41	-0.3	-0.83	0.28	-0.7	0.0	0.0	-0.55	0.0	0.0	0.0	0.0
4	-0.65	-0.49	-0.29	-0.49	-0.02	0.1	-0.13	-0.38	-0.11	-0.24	-0.4	0.15	0.1	-0.38	0.05	-1.25	-0.58	-0.7	0.0	0.0	0.0	-0.74	0.0	0.0	0.0
5	-0.57	-0.54	-0.87	-0.69	-0.05	0.51	-0.31	-0.59	-0.17	-0.26	0.13	-0.38	0.34	-0.12	0.02	-0.44	-0.13	-0.7	0.0	0.0	0.0	0.0	-0.23	0.0	0.0
6	-0.65	-0.93	-1.08	-0.6	1.51	0.4	-1.12	-0.38	-0.23	-0.19	0.05	-0.09	0.36	0.09	-0.34	-4.13	-0.89	-0.7	0.0	0.0	0.0	0.0	0.0	-0.98	0.0
7	-1.09	-1.14	-1.09	-0.7	-1.72	0.45	-1.46	-0.38	-0.24	-0.23	0.15	-0.4	0.59	-0.13	-0.51	-1.76	-0.29	-0.7	0.0	0.0	0.0	0.0	0.0	0.0	-0.97
8	-0.07	-0.88	-1.09	-0.73	0.29	0.59	-0.81	-0.83	-0.03	0.01	0.03	0.12	0.59	-0.54	-0.31	-0.76	0.24	-0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	-0.54	-0.24	-0.31	-0.2	-2.84	0.08	-0.68	-0.26	-0.13	0.11	0.03	-0.41	0.06	-0.19	-0.45	-1.26	-1.1	0.0	-0.99	0.0	0.0	0.0	0.0	0.0	0.0
10	-0.76	-0.46	-0.43	-0.54	-2.53	0.23	-0.39	-0.15	-0.12	-0.32	0.18	-0.65	0.02	-0.04	-0.05	-0.95	-0.26	0.0	-0.99	0.0	0.0	0.0	0.0	0.0	0.0
11	-0.79	-1.02	-1.23	-0.69	-2.16	0.56	-0.85	-0.75	-0.04	-0.34	0.2	-0.52	0.44	-0.27	-0.39	-1.87	0.04	-0.7	-0.99	0.0	0.0	0.0	0.0	0.0	0.0
12	-0.82	-0.31	-0.72	-0.45	-2.7	0.38	-0.35	-0.1	-0.27	-0.14	0.15	-0.6	0.2	-0.3	-0.08	-0.99	-0.23	0.0	-0.99	-0.11	0.0	0.0	0.0	0.0	0.0
13	-0.68	-0.59	-0.84	-0.79	-2.23	0.44	-0.49	-0.47	-0.23	-0.28	0.26	-0.6	0.26	-0.2	-0.19	-1.24	-0.29	0.0	-0.99	0.0	-0.55	0.0	0.0	0.0	0.0
14	-0.85	-0.56	-0.05	-0.24	-2.31	-0.07	-0.33	-0.29	-0.13	-0.12	-0.5	-0.44	-0.02	-0.18	-0.45	-3.05	-2.25	0.0	-0.99	0.0	0.0	-0.74	0.0	0.0	0.0
15	-0.71	-0.31	-0.45	-0.57	-2.77	0.25	-0.35	-0.17	-0.19	-0.32	0.04	-0.67	0.01	-0.02	-0.14	-0.88	-1.48	0.0	-0.99	0.0	0.0	0.0	-0.23	0.0	0.0
16	-0.83	-0.44	-0.64	-0.52	-0.83	0.28	-0.91	0.09	-0.27	-0.28	0.01	-0.5	-0.09	0.12	-0.54	-3.76	-1.44	0.0	-0.99	0.0	0.0	0.0	0.0	-0.98	0.0
17	-1.38	-0.88	-0.75	-0.75	-3.31	0.36	-1.16	-0.19	-0.14	-0.25	0.13	-0.61	0.11	0.07	-0.79	-2.45	-1.36	0.0	-0.99	0.0	0.0	0.0	0.0	0.0	-0.97
18	-0.08	0.11	0.0	0.15	0.05	0.43	-0.46	0.12	-0.08	0.31	0.06	0.06	0.57	-0.45	0.05	0.06	-0.2	0.0	0.0	-0.51	0.0	0.0	0.0	0.0	0.0
19	-0.17	0.08	-0.14	0.1	-0.07	0.16	-0.15	0.15	0.05	0.1	-0.14	-0.17	0.12	-0.13	0.07	0.04	0.1	0.0	0.0	-0.11	0.0	0.0	0.0	0.0	0.0
20	-0.53	-0.26	0.26	0.0	0.45	0.01	-0.21	0.23	0.01	0.11	-0.49	0.21	0.06	-0.32	-0.15	-1.24	-0.67	0.0	0.0	-0.11	0.0	-0.74	0.0	0.0	0.0
21	-0.49	-0.04	-0.43	-0.02	1.35	0.12	-0.62	0.26	-0.02	0.11	-0.2	0.21	-0.04	-0.03	-0.21	-2.33	-1.14	0.0	0.0	-0.11	0.0	0.0	0.0	-0.98	0.0
22	-0.21	-0.54	-0.65	-0.9	0.23	0.31	-0.47	-0.67	-0.1	0.05	0.13	0.05	0.36	-0.38	-0.17	-0.25	0.25	0.0	0.0	0.0	-0.57	0.0	0.0	0.0	0.0
