1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
4EBP1_pS65_V	-0.43 	-0.31 	-0.61 	-0.65 	-0.57 	-0.65 	-1.09 	-0.07 	-0.54 	-0.76 	-0.79 	-0.82 	-0.68 	-0.85 	-0.71 	-0.83 	-1.38 	-0.08 	-0.17 	-0.53 	-0.49 	-0.21 	-0.33 	-0.28 	-0.49 	-0.46 	-0.46 	-0.55 	-0.46 	-0.58 	-0.37 	-0.50 	-0.62 	-0.73 	-0.54 	-0.49 	-0.51 	-0.62 	-0.78 	-0.74 	-1.15 	-0.73 	-1.25 	-0.61 
Rb_pS807_V	-0.61 	-0.32 	-1.10 	-0.49 	-0.54 	-0.93 	-1.14 	-0.88 	-0.24 	-0.46 	-1.02 	-0.31 	-0.59 	-0.56 	-0.31 	-0.44 	-0.88 	0.11 	0.08 	-0.26 	-0.04 	-0.54 	-0.36 	-0.22 	-0.40 	-0.30 	-0.55 	-0.29 	-0.42 	-0.19 	-0.08 	0.11 	-0.38 	-0.38 	-0.12 	-0.24 	-0.14 	-0.19 	-0.16 	-0.73 	-0.59 	-0.32 	-0.66 	-0.29 
MAPK_pT202	-0.86 	-1.00 	-1.23 	-0.29 	-0.87 	-1.08 	-1.09 	-1.09 	-0.31 	-0.43 	-1.23 	-0.72 	-0.84 	-0.05 	-0.45 	-0.64 	-0.75 	0.00 	-0.14 	0.26 	-0.43 	-0.65 	-0.63 	-0.88 	-0.12 	-0.62 	-0.86 	0.19 	0.29 	0.48 	-0.14 	-0.37 	0.33 	-0.22 	0.07 	-0.26 	-0.15 	-0.33 	-0.47 	-0.66 	0.08 	-0.25 	-0.44 	-0.08 
MEK1_2_pS217	-0.71 	-0.59 	-0.93 	-0.49 	-0.69 	-0.60 	-0.70 	-0.73 	-0.20 	-0.54 	-0.69 	-0.45 	-0.79 	-0.24 	-0.57 	-0.52 	-0.75 	0.15 	0.10 	0.00 	-0.02 	-0.90 	-0.78 	-0.71 	-0.70 	-0.78 	-0.67 	-0.20 	-0.14 	0.04 	0.08 	0.12 	0.03 	-0.47 	-0.29 	-0.08 	-0.34 	-0.21 	-0.38 	-0.70 	-0.38 	-0.34 	-0.41 	-0.33 
AKT_pS473_V	0.10 	0.09 	0.00 	-0.02 	-0.05 	1.51 	-1.72 	0.29 	-2.84 	-2.53 	-2.16 	-2.70 	-2.23 	-2.31 	-2.77 	-0.83 	-3.31 	0.05 	-0.07 	0.45 	1.35 	0.23 	0.18 	0.02 	0.03 	0.14 	1.62 	-0.16 	0.34 	0.14 	-0.08 	0.03 	-0.20 	1.40 	0.06 	1.26 	1.67 	-2.16 	-2.36 	-1.86 	-2.35 	-2.10 	0.02 	-2.29 
BIM_V	0.37 	0.65 	0.73 	0.10 	0.51 	0.40 	0.45 	0.59 	0.08 	0.23 	0.56 	0.38 	0.44 	-0.07 	0.25 	0.28 	0.36 	0.43 	0.16 	0.01 	0.12 	0.31 	0.26 	0.41 	0.03 	0.22 	0.21 	-0.10 	-0.08 	0.12 	0.05 	0.21 	-0.09 	0.12 	0.07 	0.13 	0.08 	0.01 	0.27 	0.22 	-0.03 	0.10 	0.12 	0.02 
CyclinB1_V	-0.34 	-0.11 	-0.80 	-0.13 	-0.31 	-1.12 	-1.46 	-0.81 	-0.68 	-0.39 	-0.85 	-0.35 	-0.49 	-0.33 	-0.35 	-0.91 	-1.16 	-0.46 	-0.15 	-0.21 	-0.62 	-0.47 	-0.15 	-0.28 	0.00 	-0.21 	-0.99 	0.27 	-0.23 	0.04 	-0.11 	-0.03 	-0.08 	-1.01 	-0.17 	-0.84 	-0.94 	-0.16 	-0.64 	-1.09 	-0.61 	-0.70 	-1.54 	-1.19 
CyclinD1_V	-0.56 	-0.56 	-0.83 	-0.38 	-0.59 	-0.38 	-0.38 	-0.83 	-0.26 	-0.15 	-0.75 	-0.10 	-0.47 	-0.29 	-0.17 	0.09 	-0.19 	0.12 	0.15 	0.23 	0.26 	-0.67 	-0.34 	-0.32 	-0.40 	-0.38 	-0.14 	-0.24 	-0.02 	-0.22 	-0.07 	0.02 	-0.31 	0.16 	-0.10 	0.12 	0.26 	0.25 	0.11 	-0.27 	-0.24 	0.05 	0.11 	0.27 
p38_pT180_V	-0.30 	-0.20 	-0.21 	-0.11 	-0.17 	-0.23 	-0.24 	-0.03 	-0.13 	-0.12 	-0.04 	-0.27 	-0.23 	-0.13 	-0.19 	-0.27 	-0.14 	-0.08 	0.05 	0.01 	-0.02 	-0.10 	-0.15 	-0.12 	0.02 	-0.10 	-0.13 	0.05 	0.00 	0.48 	-0.01 	-0.09 	0.00 	-0.08 	-0.09 	-0.06 	-0.09 	-0.14 	-0.14 	-0.20 	-0.14 	-0.12 	-0.18 	0.01 
SRC_pY527_V	-0.31 	-0.15 	-0.24 	-0.24 	-0.26 	-0.19 	-0.23 	0.01 	0.11 	-0.32 	-0.34 	-0.14 	-0.28 	-0.12 	-0.32 	-0.28 	-0.25 	0.31 	0.10 	0.11 	0.11 	0.05 	-0.23 	0.00 	-0.17 	-0.24 	-0.08 	0.00 	0.00 	0.14 	-0.07 	0.03 	-0.11 	-0.03 	0.05 	0.03 	0.19 	-0.16 	0.08 	-0.18 	-0.17 	-0.14 	-0.06 	0.12 
