	aMEK12	aAKT	aHDAC	aBRAFm	aPKC	aSTAT3	amTOR	aPI3K
1	-0.86	0	0	0	0	0	0	0
2	0	-2.56	0	0	0	0	0	0
3	0	0	-0.11	0	0	0	0	0
4	0	0	0	-0.62	0	0	0	0
5	0	0	0	0	0	0	-2.25	0
6	0	0	0	0	0	0	0	-2.18
7	-0.86	-2.56	0	0	0	0	0	0
8	-0.86	0	-0.11	0	0	0	0	0
9	-0.86	0	0	-0.62	0	0	0	0
10	-0.86	0	0	0	-0.94	0	0	0
11	-0.86	0	0	0	0	-0.23	0	0
12	-0.86	0	0	0	0	0	-2.25	0
13	-0.86	0	0	0	0	0	0	-2.18
14	0	-2.56	-0.11	0	0	0	0	0
15	0	-2.56	0	-0.62	0	0	0	0
16	0	-2.56	0	0	-0.94	0	0	0
17	0	-2.56	0	0	0	-0.23	0	0
18	0	-2.56	0	0	0	0	-2.25	0
19	0	-2.56	0	0	0	0	0	-2.18
20	0	0	-0.11	-0.62	0	0	0	0
21	0	0	-0.11	0	-0.94	0	0	0
22	0	0	-0.11	0	0	-0.23	0	0
23	0	0	-0.11	0	0	0	-2.25	0
24	0	0	-0.12	0	0	0	0	-2.18
25	0	0	0	-0.62	-0.94	0	0	0
26	0	0	0	-0.62	0	-0.23	0	0
27	0	0	0	-0.62	0	0	-2.25	0
28	0	0	0	-0.62	0	0	0	-2.18
29	0	0	0	0	-0.94	0	-2.25	0
30	0	0	0	0	-0.94	0	0	-2.18
31	0	0	0	0	0	-0.23	-2.25	0
32	0	0	0	0	0	-0.23	0	-2.18
33	0	0	0	0	0	0	-2.25	-2.18
