	IGF1R	PI3K	mTOR	PKCdelta	p-MEK	EGFR	p-ERK	p-AKT	p-P70S6K	p-eIF4E	p-RAF	p-S6	G1-arrest	apoptosis
1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
7	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
8	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0
9	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
10	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0
11	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0
12	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0
13	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0
14	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0
15	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0
16	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0
17	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0
18	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0
19	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0
20	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0
21	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0
