1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
IGF1R	-1	0	0	0	0	0	-1	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	0
PI3K	0	-1	0	0	0	0	-1	0	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0
mTOR	0	0	-1	0	0	0	0	-1	-1	0	0	-1	0	0	-1	0	0	0	-1	0	0
PKCdelta	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	-1	0	0	0	-1	0
p-MEK	0	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	-1
EGFR	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1
p-ERK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-AKT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-P70S6K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-eIF4E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-RAF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-S6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G1-arrest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
