	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.1847092	0.1093594	-0.16129674	-0.16083969	-0.085153109	-0.27002459	0.28655768	2.8155256e-11
2	1.5565813	-0.22046587	-2.2676091	-2.2658828	0.32921142	-3.1953647000000003	-0.52292887	7.2079825e-09
3	-0.12909547	0.014894289	0.2691385	-0.53968376	-0.04120112	-0.012421533	0.028559088	1.6629554
4	-0.18177956	0.022750769	0.22687246	-0.42785141	-0.038160437	-0.02530877	0.031681667999999996	2.5675838e-09
5	-0.49216962	-2.1230036	0.58415121	0.58219106	0.3618919	0.94556849	-3.2264279	1.4292123000000001e-11
6	-0.16096542	0.017493977	0.34739433	-0.79598207	-0.053737982000000004	-0.013924798	0.035767533	-3.3219281
7	-1.5886231000000002	0.081127401	-2.617404	-2.6144582	0.088378254	-3.5716089	0.20046694	7.2258769e-09
8	-3.3023097999999997	0.11101212	0.09475049699999999	-0.71264198	-0.11316572	-0.27161439	0.289999	1.6629554
9	-3.3546812000000004	0.11260972	0.066190532	-0.5933393	-0.11082624	-0.2741308	0.29126067	2.6074374e-09
10	-3.7820744	-1.926938	0.54108081	0.53921984	0.3632587	0.84620959	-3.0204686	1.7121082e-11
11	-3.3297019999999997	0.1112569	0.1652048	-0.96998554	-0.12158897	-0.27177099	0.29077156	-3.3219281
12	1.5462591	-0.21623219	-2.2104467	-3.0127598	0.32627345	-3.1983192000000003	-0.51803631	1.6629554
13	1.5436781000000002	-0.21564212	-2.216866	-2.8685866	0.32615513	-3.1992222000000003	-0.5176798	1.0829153999999998e-08
14	1.1085188999999998	-2.5103546000000003	-1.4673386	-1.4682853	0.7036645	-2.3232174999999997	-3.648828	7.2105069e-09
15	1.545108	-0.21557731	-2.1969521	-3.3125370000000003	0.32573852	-3.1987405	-0.51733262	-3.3219281
16	-0.33353329	0.038876772999999996	0.56556131	-1.6831401999999998	-0.091484359	-0.040045622	0.061933197999999995	1.6629554
17	-0.7323549	-2.0855843000000003	0.9393999	0.13024724	0.26453093	0.93918164	-3.189155	1.6629554
18	-0.1753653	0.019069143	0.38065959	-0.90695981	-0.059001552	-0.015268901999999999	0.038804384	-1.6589726999999999
19	-0.81548632	-2.0770407	0.87037785	0.24203733	0.28450209	0.93357908	-3.1869083	2.5826364e-09
20	-0.37078695	0.041438306	0.6590139	-2.6604316000000003	-0.10770147	-0.041538697	0.06933987	-3.3219281
21	-0.80138115	-2.0768216	1.0626881000000001	-0.11634611	0.2264721	0.93810688	-3.1786235	-3.3219281
