	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.24	0.22	-0.28	-0.27899999999999997	-0.278	-0.418	0.782	-1.6e-11
2	0.39899999999999997	-0.113	-2.37	-2.37	0.114	-3.17	-0.33399999999999996	1.61e-11
3	-0.0019399999999999999	0.00297	0.228	-0.581	-0.00662	-0.013	0.00842	1.74
4	-0.0038200000000000005	0.00457	0.19	-0.45399999999999996	-0.00585	-0.0247	0.008870000000000001	-9.95e-09
5	-1.09	-1.64	1.24	1.24	0.265	1.44	-2.92	2.7199999999999997e-11
6	-0.00214	0.00344	0.294	-0.858	-0.00859	-0.0146	0.0105	-3.32
7	-2.84	0.207	-2.89	-2.89	-0.22399999999999998	-3.72	0.73	7.0300000000000005e-12
8	-3.24	0.22	-0.0686	-0.8759999999999999	-0.28300000000000003	-0.419	0.782	1.74
9	-3.24	0.221	-0.0916	-0.743	-0.282	-0.42200000000000004	0.7829999999999999	-1.6e-08
10	-4.24	-1.33	1.11	1.11	0.255	1.27	-2.46	2.57e-11
11	-3.24	0.22	-0.0123	-1.15	-0.284	-0.42	0.782	-3.32
12	0.4	-0.11199999999999999	-2.33	-3.13	0.114	-3.17	-0.33399999999999996	1.74
13	0.4	-0.11199999999999999	-2.33	-2.98	0.114	-3.17	-0.33299999999999996	-8.67e-09
14	-0.0541	-2.03	-1.01	-1.01	0.426	-1.75	-3.38	4.02e-11
15	0.401	-0.113	-2.32	-3.45	0.114	-3.17	-0.33399999999999996	-3.32
16	-0.00563	0.00787	0.47700000000000004	-1.75	-0.0142	-0.04	0.018	1.74
17	-1.1	-1.62	1.5	0.6970000000000001	0.24	1.43	-2.9	1.74
18	-0.00233	0.00375	0.322	-0.9740000000000001	-0.00942	-0.016	0.0114	-1.58
19	-1.11	-1.62	1.45	0.8420000000000001	0.24600000000000002	1.43	-2.9	-1.1499999999999999e-08
20	-0.0058200000000000005	0.008329999999999999	0.555	-2.76	-0.0166	-0.0417	0.0202	-3.32
21	-1.11	-1.62	1.6	0.39399999999999996	0.23	1.43	-2.9	-3.32
