	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.31	0.364	-0.988	-0.988	-0.384	-0.985	1.29	1.3300000000000001e-15
2	0.0187	-0.0089	-2.95	-2.95	0.0027199999999999998	-2.95	-0.0123	3.33e-16
3	0.000789	-0.000359	-0.01	-0.8029999999999999	0.000113	-0.007370000000000001	-0.000518	1.78
4	0.000807	-0.00037400000000000004	-0.0142	-0.5720000000000001	0.00011499999999999999	-0.0121	-0.00053	-4.8100000000000005e-15
5	-0.515	-1.69	6.56	6.56	0.285	6.58	-3.01	1.3300000000000001e-15
6	0.00103	-0.000465	-0.012	-1.26	0.000146	-0.00842	-0.0006730000000000001	-3.32
7	-3.3	0.363	-4.29	-4.29	-0.384	-4.29	1.29	4.22e-15
8	-3.31	0.364	-0.99	-1.78	-0.384	-0.985	1.29	1.78
9	-3.31	0.364	-0.99	-1.55	-0.384	-0.986	1.29	1.67e-14
10	-3.67	-1.07	5.65	5.65	0.243	5.65	-1.98	9.99e-16
11	-3.31	0.364	-0.991	-2.24	-0.384	-0.985	1.29	-3.32
12	0.0189	-0.00899	-2.96	-3.75	0.00274	-2.95	-0.0124	1.78
13	0.0188	-0.00897	-2.96	-3.51	0.00274	-2.96	-0.0124	-6.73e-15
14	-0.115	-2.0	4.1	4.1	0.301	4.1	-3.25	5.77e-15
15	0.0189	-0.009009999999999999	-2.96	-4.2	0.00275	-2.95	-0.0125	-3.32
16	0.00161	-0.000741	-0.0249	-1.99	0.00022999999999999998	-0.0203	-0.00106	1.78
17	-0.498	-1.7	6.53	5.74	0.285	6.54	-3.02	1.78
18	0.0011	-0.0005009999999999999	-0.0131	-1.41	0.00015800000000000002	-0.00919	-0.000726	-1.54
19	-0.499	-1.7	6.53	5.97	0.285	6.54	-3.01	3.33e-16
20	0.0018399999999999998	-0.0008449999999999999	-0.0269	-3.35	0.000263	-0.0213	-0.00121	-3.32
21	-0.49200000000000005	-1.7	6.52	5.27	0.285	6.53	-3.02	-3.32
