	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.1909972	0.18666367	-0.19480462	-0.19419181	-0.06541481099999999	-0.38563773	0.2696436	-9.6860245e-11
2	1.5942843	-0.34990812	-2.2399845000000003	-2.2382033	0.38663901	-3.2380524	-0.58127656	9.763723199999999e-11
3	-0.18809358	0.02798726	0.30630099	-0.51070068	-0.064449163	-0.0088926307	0.042207755	1.5465501
4	-0.31226772	0.046579925999999994	0.26837172	-0.41934832	-0.06490602	-0.019312905	0.052588181	-6.0144638e-08
5	-0.20678367	-2.5285757	0.34867832	0.34702226	0.38189819	0.81880035	-3.2743863999999996	1.6438773e-10
6	-0.22327032	0.031679341	0.38668031	-0.72342444	-0.08171154900000001	-0.0097904042	0.050573774	-3.3219281
7	-1.5334491000000001	0.13995158	-2.6503351000000004	-2.6472305	0.14881023	-3.6921741999999997	0.17195772	4.2525760999999996e-11
8	-3.3587523999999997	0.18975522	0.07632201200000001	-0.73714584	-0.10513097	-0.38682625	0.27476189	1.5465501
9	-3.4649815000000004	0.19307356	0.05281656	-0.63919259	-0.10344788	-0.38876886	0.27737481	-9.650684500000001e-08
10	-3.5030282999999995	-2.2561240000000002	0.30941585	0.30795982	0.38180856	0.70257946	-3.0432007999999997	1.5553858e-10
11	-3.3889099000000003	0.19009989	0.14356825	-0.95591122	-0.11588294	-0.38692513	0.27563965	-3.3219281
12	1.5750298	-0.34287554	-2.1767323	-2.9847196	0.38160642	-3.2395294999999997	-0.57227599	1.5465501
13	1.5721419	-0.34176192	-2.1830272999999996	-2.8599574	0.3815023	-3.2401412	-0.57200509	-5.2437398e-08
14	1.2540688	-2.9983372999999998	-1.5860604999999999	-1.5864782	0.73887112	-2.4793789	-3.7289824	2.4291236e-10
15	1.5718583000000002	-0.34179665	-2.1626002	-3.2461646	0.380612	-3.2397197999999996	-0.57063719	-3.3219281
16	-0.56334271	0.077461228	0.64396245	-1.7006762999999998	-0.15148611	-0.030409745	0.09780949300000001	1.5465501
17	-0.44161047	-2.4776781000000003	0.74802167	-0.074864655	0.26204653	0.81574084	-3.2280021	1.5465501
18	-0.24491073	0.0346539	0.42382642	-0.82883953	-0.090082066	-0.010765265	0.055072258	-1.775378
19	-0.60480298	-2.4514103	0.68522572	0.012530623999999999	0.28090173	0.81110642	-3.2164904	-6.957553599999998e-08
20	-0.60951075	0.081029932	0.73781583	-2.5817807	-0.17488732	-0.031320468	0.10634431	-3.3219282
21	-0.48887843	-2.4697487000000002	0.86802708	-0.26868491	0.2217831	0.81540548	-3.2182508	-3.3219281
