	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.9306607000000002	0.2093693	0.76175323	0.80460603	-0.23937039	1.3028971999999999	0.43476502	-0.016042873
2	0.89541937	-0.17445365	-1.3174499	-1.2732963	0.18993832	-1.6498153000000002	-0.34488755	-0.016042864
3	-0.89119802	0.10088471	1.1956216999999998	0.4273269	-0.22278745	1.550874	0.21144568	1.6125773
4	-0.98203582	0.11258083	1.1526731000000001	0.53022616	-0.22014547	1.5382568	0.21714185	-0.016042873
5	-0.99965055	-2.2142459	1.321272	1.3620212	0.21952007	2.3661485	-3.0881571	-0.016042873
6	-0.9319429	0.10400759	1.2790758	0.18759463	-0.23917214	1.5495781000000002	0.21970221	-3.337971
7	-2.2602856	0.17659538	-1.6388150000000001	-1.5934624	-0.039648498	-2.0007401000000002	0.3506485	-0.016042864
8	-4.09322	0.21155795	1.0376493	0.27104909	-0.27685279	1.301415	0.43898128	1.6125773
9	-4.1793729	0.21384436	1.0081492	0.38141438	-0.27397897	1.2989553	0.44078144	-0.016042873
10	-4.2982481	-1.9949356	1.2870864	1.3279271000000001	0.21882983	2.2758993	-2.8781995	-0.016042873
11	-4.1292336	0.21185273	1.1125055	0.02881907	-0.28806544	1.3012776000000001	0.43986751	-3.337971
12	0.87729748	-0.16830844	-1.2551622	-2.0161	0.18544857	-1.6524592	-0.33713897	1.6125773
13	0.87420984	-0.16746348	-1.2619236	-1.8791981	0.18535378	-1.6533498	-0.3368743	-0.016042861000000002
14	0.54957404	-2.6264997	-0.6646071	-0.62288724	0.57200863	-0.91722434	-3.508825	-0.016042864
15	0.87443789	-0.16732014	-1.2405876	-2.3038456000000003	0.18455799	-1.6528271	-0.33576744	-3.337971
16	-1.2059444	0.13393688	1.5182114	-0.71438751	-0.29290061	1.5245872	0.25423222	1.6125773
17	-1.2493923999999998	-2.1716889	1.6995929	0.92919701	0.109262	2.3613176	-3.0474063	1.6125773
18	-0.95222075	0.1060913	1.3150669	0.079836241	-0.24630799	1.5483418	0.22342115	-1.7093508000000002
19	-1.3718728	-2.1570537	1.6314031999999998	1.0299565	0.12994613	2.3559734	-3.0419562	-0.016042873
20	-1.2576382	0.13699025	1.6172296999999998	-1.6597642	-0.31471363	1.5232996	0.26272019	-3.337971
21	-1.3132903999999999	-2.1631009	1.825651	0.70434014	0.067804269	2.3606246	-3.0369599	-3.337971
