	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.7395831	0.10367111	0.65538536	0.69154628	-0.22177478	0.75410876	0.52312289	-1.1521983000000001e-05
2	0.85078518	-0.11797	-1.6066661	-1.5704479	0.14581341	-1.7082876	-0.3384557	-1.1521983000000001e-05
3	-0.7385863	0.047482083	1.1504145000000001	0.39264721	-0.13476239	1.2358301	0.20386732	1.7789087
4	-0.71327666	0.046427011	1.1114251	0.58928275	-0.1298764	1.2195878	0.19807564	-1.1521983000000001e-05
5	-1.6832322	-1.843691	2.4119613999999996	2.4466394	0.17820268	3.3795997000000004	-2.9517312	-1.1521983000000001e-05
6	-0.76040482	0.049166652000000005	1.1861276	-0.026233281	-0.13904871	1.2315489	0.20880373	-3.3219396
7	-2.2049779	0.084534169	-2.3878996	-2.3513961	-0.1127113	-2.512897	0.4293735	-1.1521983000000001e-05
8	-3.7773394999999996	0.10411528	0.72758007	-0.030025022999999998	-0.22564685	0.75088486	0.5244461	1.7789087
9	-3.7656417999999996	0.10406715	0.70638511	0.18441078	-0.22445757	0.74769185	0.52403999	-1.1521983000000001e-05
10	-4.9356248	-1.6812957	2.3301586	2.3647766	0.18798099	3.2088422999999997	-2.7697971000000003	-1.1521983000000001e-05
11	-3.7922282	0.10425883	0.75562388	-0.45659033	-0.22719722	0.75045624	0.52495872	-3.3219396
12	0.85837946	-0.11732036	-1.6031558000000001	-2.3608086	0.14693478	-1.7136835	-0.34201986	1.7789087
13	0.85696357	-0.11726353	-1.6060614	-2.1280571	0.14674908	-1.7145325	-0.34135463	-1.1521983000000001e-05
14	0.09687480300000001	-2.2007312000000003	0.13733259	0.17260729	0.50423336	0.17024717	-3.3547526	-1.1521983000000001e-05
15	0.86104359	-0.11726605	-1.6007870000000002	-2.8130908	0.14731558	-1.7145388	-0.34327263	-3.3219396
16	-0.75998767	0.051433133	1.1903291	-0.73965208	-0.13905313	1.1892439	0.20872579	1.7789087
17	-1.9131863999999998	-1.8122736000000002	2.699078	1.9399964	0.10553494	3.3664585	-2.9232963	1.7789087
18	-0.76539493	0.049683480999999995	1.1944096000000002	-0.17082996	-0.14003035	1.2286594	0.20992542	-1.5430194
19	-1.8474944	-1.8127754	2.6179322999999997	2.0955105	0.12697161	3.3594864	-2.9310175	-1.1521983000000001e-05
20	-0.78232559	0.053133159000000006	1.2264893	-2.0590838	-0.14344575	1.1849437	0.21372195	-3.3219396
21	-2.0146512	-1.8030655	2.8225974999999996	1.6087241	0.070993076	3.3638745	-2.9119657	-3.3219396
