	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.2450607999999996	0.17848359	-0.11669129	-0.11626759	-0.071055824	-0.24977841	0.25806326	5.0462967e-11
2	1.5851361000000002	-0.32650965	-2.1430567000000003	-2.1413037	0.38593814	-3.2414959	-0.53794611	1.2916623999999998e-08
3	-0.20849349	0.028458799	0.32952678	-0.48560995	-0.07273856299999999	-0.0091152865	0.043132514000000004	1.5631852
4	-0.3599024	0.049082228	0.28968834	-0.40158419	-0.073324488	-0.020736014	0.055002842999999996	4.6010856e-09
5	-0.14970775	-2.5375933999999996	0.26170017	0.26042858	0.40351658	0.62921995	-3.2887297999999996	2.5609515e-11
6	-0.248204	0.032196307	0.41766906	-0.69120178	-0.092836788	-0.010023536999999999	0.051755337	-3.3219281
7	-1.5971703000000002	0.13585805	-2.4243472	-2.4214219	0.15574917	-3.5572597000000004	0.17218619	1.2948695e-08
8	-3.4407282	0.18166855	0.19127427	-0.62152808	-0.12183137	-0.25101021	0.2633039	1.5631852
9	-3.5815191	0.18548646	0.16378025	-0.53102346	-0.11931509	-0.25326871	0.26629207	4.6724964e-09
10	-3.4540926	-2.2679517000000002	0.23463501	0.23344518	0.40028238	0.54760274	-3.0582675999999998	3.0681457e-11
11	-3.4770233999999998	0.1820215	0.2702848	-0.83112795	-0.13627512	-0.2511104	0.26421981	-3.3219281
12	1.5585145	-0.31752427	-2.0712092	-2.8769462000000003	0.37918489	-3.2433927000000002	-0.52596877	1.5631852
13	1.5540733999999998	-0.31592021	-2.0780819	-2.7587575	0.37899467	-3.2442173999999997	-0.5255461	1.9405726000000004e-08
14	1.336054	-3.0013889	-1.6533743000000003	-1.6536745	0.76262189	-2.6694093999999997	-3.7356144999999996	1.2921148999999998e-08
15	1.5541044	-0.31615923	-2.0551249	-3.1351661	0.37784621	-3.2436342999999996	-0.52377417	-3.3219281
16	-0.64628661	0.080147893	0.70074602	-1.6444959	-0.17386505	-0.032021534	0.10096077	1.5631852
17	-0.3961923	-2.4866062	0.66406353	-0.155683	0.28109633	0.62617127	-3.2423306	1.5631852
18	-0.27245017	0.035214422	0.45825903	-0.79296098	-0.10252633	-0.01102031	0.05635304	-1.7587429
19	-0.57778853	-2.4590039	0.60368751	-0.073062373	0.29939382	0.62141494	-3.2299916	4.6280521e-09
20	-0.70084047	0.083729443	0.80568617	-2.5136336	-0.202173	-0.032928518	0.10976727	-3.3219281
21	-0.44604996	-2.4786808999999996	0.78504033	-0.34663849	0.23989386	0.62583771	-3.2325852999999998	-3.3219281
